symbol,setup_type,signal_date,current_price,entry_price,stop_loss,risk_percent,target_price_1,target_price_2,score,volume_ratio,adr,vcp_pattern,risk_reward_ratio,position_sizing,status
RBLX,Breakout,2026-01-22,137.7899932861328,153.60179626464844,135.64999389648438,11.687234657877296,151.5689926147461,165.34799194335938,5,2.80101647683492,4.274074258201783,False,6.438786569409684,55,New
FLYE,Breakout,2026-01-22,5.980000019073486,6.474960050582886,5.809999942779541,10.269717536612198,6.578000020980835,7.176000022888183,5,1.6968485418626529,11.025612936057973,False,3.5176454913664474,1503,New
STOK,Breakout,2026-01-22,18.489999771118164,19.22700038909912,18.049999237060547,6.12160570145868,20.33899974822998,22.187999725341797,5,1.5269202682068646,6.48535821565501,False,4.2022675746791105,849,New
WULF,Breakout,2026-01-22,8.779999732971191,10.924200038909913,8.680000305175781,20.54337824042695,9.657999706268312,10.53599967956543,5,1.6909450588613952,8.763237569543746,False,8.780049972820137,445,New
ZEPP,Breakout,2026-01-22,39.18000030517578,44.8086003112793,36.0,19.6582804418954,43.098000335693364,47.01600036621094,5,1.564880942235252,14.3334386048597,False,1.2320753630559813,113,New
CTMX,Breakout,2026-01-22,5.369999885559082,5.81399980545044,5.099999904632568,12.28070045940695,5.906999874114991,6.443999862670898,5,1.522153265730419,7.619811215775506,False,1.98888898700354,1400,New
MU,Breakout,2026-01-22,365.0,389.19119750976563,361.3500061035156,7.1536025440429984,401.50000000000006,438.0,5,1.5689291788455124,4.48335524891195,False,10.000016721988594,35,New
NGD,Breakout,2026-01-22,11.199999809265137,11.832000389099123,11.010000228881836,6.947262788924517,12.319999790191652,13.439999771118163,5,1.5686273347537738,5.731163317994578,False,5.894749760326064,1216,New
RAPT,Breakout,2026-01-22,57.56999969482422,58.762200622558595,57.459999084472656,2.2160530482005605,63.32699966430665,69.08399963378906,5,16.415648248595122,6.225217094713892,False,52.33607296435018,767,New
SLVR,Breakout,2026-01-22,71.62999725341797,73.44,70.0,4.684095860566446,78.79299697875977,85.95599670410157,5,1.551559115409803,4.133060732410681,False,4.394485763900271,290,New
TE,Breakout,2026-01-22,8.279999732971191,9.261599922180178,7.800000190734863,15.781287722707575,9.107999706268311,9.935999679565429,5,1.8357846345976325,11.334461158601929,False,1.7250015894587105,684,New
