symbol,sector,rs_score,close_price,sma_30,volume_ratio,relative_strength,above_30w_ma,ma_trending_up,volume_surge,breakout_occurred,positive_rs,sustained_breakout,entry_type,obv_rising,healthy_pattern,resistance_level,market_favorable,date,screening_date
SVT,Industrials,98.86,46.68000030517578,12.877666695912678,7.7340881272949815,1.205409132131007,True,True,True,True,True,True,A형,True,True,44.79250144958496,True,64,2025-07-30
JUNE,Industrials,98.21,16.1200008392334,8.503166659673054,2.2442972229034024,1.473718357690249,True,True,True,True,True,True,A형,True,True,13.699000072479246,True,67,2025-07-30
SUPX,Technology,98.21,16.1200008392334,8.503166659673054,2.2523903554354603,1.473718357690249,True,True,True,True,True,True,A형,True,True,13.699000072479246,True,67,2025-07-30
JOBY,Industrials,97.92,17.780000686645508,8.063666725158692,2.985026774634378,1.4674260102244712,True,True,True,True,True,True,A형,True,True,17.62249927520752,True,67,2025-07-30
VRNA,Healthcare,97.87,104.83000183105467,67.41499926249186,8.575453325871253,1.1484665042692135,True,True,True,True,True,True,A형,True,True,100.225,True,66,2025-07-30
XGN,Healthcare,97.67,8.449999809265137,5.391333325703939,2.043125694195068,1.1656773581880195,True,True,True,True,True,True,A형,True,True,7.55249981880188,True,69,2025-07-30
BE,Industrials,97.6,34.34000015258789,22.47800006866455,2.2750862279452395,1.3536162483114618,True,True,True,True,True,True,A형,True,True,33.040049362182614,True,68,2025-07-30
PVLA,Healthcare,97.4,38.619998931884766,22.45816644032796,2.5918701287931896,1.2891532944480957,True,True,True,True,True,True,A형,True,True,37.34829921722412,True,68,2025-07-30
LASR,Technology,97.31,19.6299991607666,11.246666749318441,2.140355194025098,1.090311622240797,True,True,True,True,True,True,A형,True,True,19.34200057983398,True,64,2025-07-30
ASPI,Basic Materials,97.11,10.489999771118164,6.185166645050049,2.4422375622715258,1.3861446850581864,True,True,True,True,True,True,A형,True,True,10.278999710083008,True,67,2025-07-30
ISSC,Industrials,96.98,16.1299991607666,9.469666624069214,3.8533943739955974,1.1855191218434764,True,True,True,True,True,True,A형,True,True,15.978999710083007,True,67,2025-07-30
ALNT,Technology,95.81,39.81999969482422,27.54333324432373,2.0293147473352295,1.0253624214506296,True,True,True,True,True,True,A형,True,True,38.37049942016601,True,67,2025-07-30
OLO,Technology,95.78,10.119999885559082,7.525333309173584,5.256249357277922,1.1544325312967192,True,True,True,True,True,True,A형,True,True,9.651999855041504,True,65,2025-07-30
KEP,Utilities,95.77,14.15999984741211,8.485333363215128,4.426536921595459,1.276580045882592,True,True,True,True,True,True,A형,True,True,14.050499963760375,True,64,2025-07-30
VERV,Healthcare,95.66,11.0600004196167,6.009500002861023,5.8483908900402675,1.8036723060059943,True,True,True,True,True,True,A형,True,True,10.83474974632263,True,63,2025-07-30
RMNI,Technology,95.29,5.239999771118164,3.3163333336512246,3.0168709575286083,1.260060511277385,True,True,True,True,True,True,A형,True,True,5.111000108718872,True,66,2025-07-30
HWM,Industrials,95.08,184.8999938964844,136.93900044759116,2.312319934567693,1.0309027852796158,True,True,True,True,True,True,A형,True,True,182.029500579834,True,64,2025-07-30
MIR,Industrials,94.25,21.709999084472656,16.74633321762085,2.2126435490400245,1.068311576169316,True,True,True,True,True,True,A형,True,True,21.108999347686762,True,64,2025-07-30
AIBU,,93.9,45.5989990234375,34.62473335266113,2.055488274799075,1.0028494858174353,True,True,True,True,True,True,A형,True,True,44.08000144958496,True,62,2025-07-30
ARKF,,93.86,54.72999954223633,40.32766679128011,2.209887717409917,1.0663657634732562,True,True,True,True,True,True,A형,True,True,53.025201797485344,True,67,2025-07-30
TPB,Consumer Defensive,93.59,78.13999938964844,65.93766733805339,2.0851532840756013,1.0745493313869945,True,True,True,True,True,True,A형,True,True,77.1875,True,67,2025-07-30
INDV,Healthcare,93.45,17.139999389648438,11.767999935150147,2.500917195517699,1.0545835246295914,True,True,True,True,True,True,A형,True,True,16.3875,True,68,2025-07-30
AXIL,Technology,92.16,7.909999847412109,6.160000038146973,2.834387793077782,1.141656226934887,True,True,True,True,True,True,A형,True,True,7.8374999999999995,True,68,2025-07-30
SOC,Energy,92.03,31.690000534057617,24.602000109354655,2.1936492827724074,1.403924948860239,True,True,True,True,True,True,A형,True,True,31.625500869750976,True,67,2025-07-30
BWMN,Industrials,91.96,36.130001068115234,25.167333285013836,2.382047816396495,1.1305630184583078,True,True,True,True,True,True,A형,True,True,35.4730001449585,True,68,2025-07-30
ARKX,,91.94,27.39999961853028,20.4482666015625,4.608262276495736,1.0903927399318702,True,True,True,True,True,True,A형,True,True,26.2570499420166,True,67,2025-07-30
FNGO,,91.68,109.39700317382812,89.4863338470459,2.2242548493928402,1.009066240412688,True,True,True,True,True,True,A형,True,True,107.35,True,67,2025-07-30
DEFI,,90.98,133.25,112.78813273111979,2.1803659128933024,1.0112214263515427,True,True,True,True,True,True,A형,True,True,130.3020034790039,True,69,2025-07-30
PSIL,,90.94,17.204999923706055,13.122066593170166,2.427836966924306,1.032150526560763,True,True,True,True,True,True,A형,True,True,16.5394998550415,True,68,2025-07-30
X,Basic Materials,90.75,52.0099983215332,38.55533339182536,2.4447114440287914,1.3225585886723215,True,True,True,True,True,True,A형,True,True,51.528001594543454,True,64,2025-07-30
ECNS,,90.68,35.380001068115234,28.379333432515462,4.696000314008714,1.009598198864811,True,True,True,True,True,True,A형,True,True,33.95300159454346,True,68,2025-07-30
BPMC,Healthcare,90.28,127.95999908447266,97.04700063069662,2.5569619978575706,1.004448086356521,True,True,True,True,True,True,A형,True,True,123.01550521850585,True,63,2025-07-30
