symbol,company_name,skew_index,expected_return,confidence_score,base_confidence,data_source,data_quality_grade,confidence_numeric,quality_description
PFG,"Principal Financial Group, Inc.",-26.244854736328126,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
REG,Regency Centers Corporation,-23.48609326171876,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CHTR,"Charter Communications, Inc.",-15.362395202636714,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
ETR,Entergy Corporation,-13.891462646484381,0.15,낮음,매우 높음,yfinance_fallback,C,70.0,품질 부족하지만 사용 가능한 데이터
BG,Bunge Global SA,-11.987184814453123,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
WDC,Western Digital Corporation,-9.277250976562495,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
PODD,Insulet Corporation,-8.422767333984382,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
TKO,"TKO Group Holdings, Inc.",-8.410560424804686,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
ORLY,"O'Reilly Automotive, Inc.",-6.787041503906255,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
FOXA,Fox Corporation,-6.68938623046873,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
ULTA,"Ulta Beauty, Inc.",-6.494075683593758,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CSGP,"CoStar Group, Inc.",-6.1522822265625,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
DPZ,"Domino's Pizza, Inc.",-5.682316223144534,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CEG,Constellation Energy Corporation,-5.602971313476546,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
GPC,Genuine Parts Company,-5.041453491210929,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
LNT,Alliant Energy Corporation,-4.248004394531247,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
LHX,"L3Harris Technologies, Inc.",-3.8451763916015542,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
