symbol,company_name,skew_index,expected_return,confidence_score,base_confidence,data_source,data_quality_grade,confidence_numeric,quality_description
FOX,Fox Corporation,-48.90087817382812,0.15,낮음,매우 높음,yfinance_fallback,C,70.0,품질 부족하지만 사용 가능한 데이터
GL,Globe Life Inc.,-6.079040771484384,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
MPC,Marathon Petroleum Corporation,-5.615178222656253,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
HIG,"The Hartford Insurance Group, Inc.",-3.7109003906249995,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
GILD,"Gilead Sciences, Inc.",-3.515589843750011,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
CRWD,"CrowdStrike Holdings, Inc.",-2.6916234741211187,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
RL,Ralph Lauren Corporation,-2.111795288085949,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
AWK,"American Water Works Company, Inc.",-2.099588378906253,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
FTNT,"Fortinet, Inc.",-2.0751745605468774,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
SMCI,"Super Micro Computer, Inc.",-1.4648291015624926,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
NRG,"NRG Energy, Inc.",-1.29393237304688,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
AXON,"Axon Enterprise, Inc.",-1.2786737365722556,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
VST,Vistra Corp.,-1.2695185546875098,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
BSX,Boston Scientific Corporation,-1.0497941894531237,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
DLTR,"Dollar Tree, Inc.",-0.8544836425781188,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
GEV,GE Vernova Inc.,-0.7873456420898373,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
PWR,"Quanta Services, Inc.",-0.7141041870117215,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
ROK,"Rockwell Automation, Inc.",-0.6774834594726609,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
PLTR,Palantir Technologies Inc.,-0.5859316406250037,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
JCI,Johnson Controls International plc,-0.29296582031250185,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
DXCM,"DexCom, Inc.",-0.12206909179687253,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
LUV,Southwest Airlines Co.,-0.09765527343749691,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
MPWR,"Monolithic Power Systems, Inc.",-0.0732414550781213,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
