symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
CBLL,True,True,True,True,True,True,True,True,330,4590592.4140930185,0.12946977510924906,7,21.18000030517578,168400.0,2026-04-24,82.77,SPY,True,True,7,82.77,CBLL,8,complete,,False,55.9698366149979,99.70674486803519,155.6765814830331,15
NI,True,True,True,True,True,True,True,False,330,185926330.08384705,0.017202541902295643,7,47.9900016784668,3402900.0,2026-04-24,68.72,SPY,False,True,7,68.72,NI,8,complete,,False,19.103477167993297,99.70674486803519,118.81022203602848,15
GSIW,True,True,True,True,True,True,True,True,330,90643.00003051758,0.18705796007814846,7,30.0,2200.0,2026-04-24,99.99,SPY,True,False,7,99.99,GSIW,7,complete,,False,100.0,97.33975701717638,197.3397570171764,14
MKDW,True,True,True,True,True,True,True,True,330,191532.49983787537,0.20333332485622835,7,7.170000076293945,17400.0,2026-04-24,99.87,SPY,True,False,7,99.87,MKDW,7,complete,,False,99.70674486803519,97.33975701717638,197.04650188521157,14
QDMI,True,True,True,True,True,True,True,True,330,0.0,0.17410825484952264,7,69.91999816894531,0.0,2026-04-24,99.78,SPY,True,False,7,99.78,QDMI,7,complete,,False,99.53917050691244,97.33975701717638,196.87892752408882,14
SNDK,True,True,True,True,True,True,True,True,300,12487436178.323364,0.012164578146394933,7,989.9000244140624,11603800.0,2026-04-24,99.76,SPY,True,True,7,99.76,SNDK,7,complete,,False,99.49727691663176,97.33975701717638,196.83703393380813,14
PLRZ,True,True,True,True,True,True,True,True,330,497280.0130844116,0.14505495783816502,7,15.5600004196167,64000.0,2026-04-24,99.72,SPY,True,True,7,99.72,PLRZ,7,complete,,False,99.3715961457897,97.33975701717638,196.71135316296608,14
INTJ,True,True,True,True,True,True,True,True,330,48107.00001716614,0.01893946543486147,7,10.359999656677246,0.0,2026-04-24,99.59,SPY,True,True,7,99.59,INTJ,7,complete,,False,99.07834101382488,97.33975701717638,196.41809803100125,14
MOBBW,True,True,True,True,True,True,True,True,330,0.0,9.25993782265877e-05,7,2.1600000858306885,0.0,2026-03-11,99.5,SPY,True,True,7,99.5,MOBBW,7,complete,,False,98.86887306242144,97.33975701717638,196.2086300795978,14
PSIG,True,True,True,True,True,True,True,True,330,872314.5160198212,0.13424657444766908,7,6.320000171661377,828100.0,2026-04-24,99.45,SPY,True,True,7,99.45,PSIG,7,complete,,False,98.78508588186008,97.33975701717638,196.12484289903648,14
ANL,True,True,True,True,True,True,True,True,330,6263995.474720001,0.14202897445015283,7,14.800000190734863,322200.0,2026-04-24,99.42,SPY,True,True,7,99.42,ANL,7,complete,,False,98.74319229157939,97.33975701717638,196.08294930875576,14
AEHR,True,True,True,True,True,True,True,True,330,271520514.34936523,0.06411006517965445,7,95.91000366210938,2648400.0,2026-04-24,99.08,SPY,True,True,7,99.08,AEHR,7,complete,,False,98.2195224130708,97.33975701717638,195.5592794302472,14
BE,True,True,True,True,True,True,True,True,330,1627592513.6314392,0.04555271663557825,7,231.1699981689453,6547300.0,2026-04-24,98.97,SPY,True,True,7,98.97,BE,7,complete,,False,98.0310012568077,97.33975701717638,195.37075827398408,14
MWG,True,True,True,True,True,True,True,True,330,14357.750231027603,0.19465649341218494,7,2.109999895095825,2000.0,2026-04-24,98.9,SPY,True,False,7,98.9,MWG,7,complete,,False,97.90532048596565,97.33975701717638,195.24507750314203,14
NBTX,True,True,True,True,True,True,True,True,330,2047628.053855896,0.19837664549231904,7,33.58000183105469,58400.0,2026-04-24,98.48,SPY,True,False,7,98.48,NBTX,7,complete,,False,97.27691663175534,97.33975701717638,194.61667364893174,14
RYDE,True,True,True,True,True,True,True,True,330,1074904.2246758938,0.19999996923631147,7,1.2400000095367432,177800.0,2026-04-24,98.23,SPY,True,False,7,98.23,RYDE,7,complete,,False,96.69040636782572,97.33975701717638,194.03016338500208,14
TER,True,True,True,True,True,True,True,True,330,883079338.4963989,0.00954727184655535,7,418.0799865722656,3233500.0,2026-04-24,98.12,SPY,True,True,7,98.12,TER,7,complete,,False,96.4390448261416,97.33975701717638,193.77880184331798,14
MU,True,True,True,True,True,True,True,True,330,17852896039.004517,0.02025678851948176,7,496.7200012207031,35308200.0,2026-04-24,98.01,SPY,True,True,7,98.01,MU,7,complete,,False,96.06200251361543,97.33975701717638,193.40175953079182,14
TOYO,True,True,True,True,True,True,True,True,330,2974967.473554611,0.18702025955647583,7,11.649999618530272,256600.0,2026-04-24,96.89,SPY,True,False,7,96.89,TOYO,7,complete,,False,93.98826979472142,97.33975701717638,191.32802681189781,14
SSL,True,True,True,True,True,True,True,True,330,31733765.947437286,0.059210555668645415,7,12.869999885559082,916800.0,2026-04-24,96.51,SPY,True,True,7,96.51,SSL,7,complete,,False,93.12945119396733,97.33975701717638,190.46920821114372,14
AWP,True,True,True,True,True,True,True,True,330,1688971.0353374481,0.06294257972728512,7,11.90999984741211,61400.0,2026-04-24,96.25,SPY,True,True,7,96.25,AWP,7,complete,,False,92.54294093003772,97.33975701717638,189.8826979472141,14
LRCX,True,True,True,True,True,True,True,True,330,2360166466.748047,0.029219829124129792,7,267.7799987792969,12293800.0,2026-04-24,96.01,SPY,True,True,7,96.01,LRCX,7,complete,,False,91.9145370758274,97.33975701717638,189.25429409300378,14
FN,True,True,True,True,True,True,True,True,330,397463008.8256836,0.01986958998152555,7,720.1900024414062,678600.0,2026-04-24,95.95,SPY,True,True,7,95.95,FN,7,complete,,False,91.83074989526602,97.33975701717638,189.17050691244242,14
RMBS,True,True,True,True,True,True,True,True,330,221159401.20010376,0.02101365322091997,7,158.39999389648438,4509200.0,2026-04-24,95.5,SPY,True,True,7,95.5,RMBS,7,complete,,False,90.6158357771261,97.33975701717638,187.95559279430248,14
KEYS,True,True,True,True,True,True,True,True,330,331455830.4840088,0.01649755469232206,7,346.9599914550781,967800.0,2026-04-24,95.15,SPY,True,True,7,95.15,KEYS,7,complete,,False,89.48470883954755,97.33975701717638,186.82446585672392,14
TWN,True,True,True,True,True,True,True,True,330,2489122.9988098145,0.010323809855450228,7,91.06999969482422,36300.0,2026-04-24,95.09,SPY,True,True,7,95.09,TWN,7,complete,,False,89.27524088814411,97.33975701717638,186.61499790532048,14
ADAG,True,True,True,True,True,True,True,True,330,1115083.496952057,0.2231578826904297,7,3.690000057220459,101000.0,2026-04-24,94.88,SPY,True,False,7,94.88,ADAG,7,complete,,False,88.6887306242145,97.33975701717638,186.02848764139088,14
DELL,True,True,True,True,True,True,True,True,330,1239410266.4794922,0.01445771343776292,7,216.08999633789065,4616700.0,2026-04-24,94.1,SPY,True,True,7,94.1,DELL,7,complete,,False,86.76162547130289,97.33975701717638,184.10138248847926,14
KF,True,True,True,True,True,True,True,True,330,890077.513885498,0.05342210377135459,7,55.459999084472656,7600.0,2026-04-24,93.71,SPY,True,True,7,93.71,KF,7,complete,,False,85.63049853372434,97.33975701717638,182.97025555090073,14
FLEX,True,True,True,True,True,True,True,True,330,254074666.67404175,0.005440104233247145,7,91.41000366210938,3630400.0,2026-04-24,93.48,SPY,True,True,7,93.48,FLEX,7,complete,,False,84.91830749895266,97.33975701717638,182.25806451612902,14
LINC,True,True,True,True,True,True,True,True,330,16173274.500846863,0.08728116678996534,7,39.11000061035156,249900.0,2026-04-24,93.26,SPY,True,True,7,93.26,LINC,7,complete,,False,84.4574780058651,97.33975701717638,181.79723502304148,14
CECO,True,True,True,True,True,True,True,True,330,25167543.40991974,0.2059471558939593,7,64.88999938964844,404700.0,2026-04-24,92.68,SPY,True,False,7,92.68,CECO,7,complete,,False,82.90741516547968,97.33975701717638,180.24717218265607,14
PFAI,True,True,True,True,True,True,True,True,255,13462.999844551086,0.18661250131662188,7,4.010000228881836,2800.0,2026-04-24,92.63,SPY,True,False,7,92.63,PFAI,7,complete,,False,82.8236279849183,97.33975701717638,180.16338500209469,14
AAMI,True,True,True,True,True,True,True,True,330,17994895.84350586,0.029912750610094907,7,67.77999877929688,209400.0,2026-04-24,92.1,SPY,True,True,7,92.1,AAMI,7,complete,,False,81.06409719312944,97.33975701717638,178.40385421030584,14
CTRN,True,True,True,True,True,True,True,True,330,3524729.070663452,0.1077844146434932,7,50.65999984741211,69800.0,2026-04-24,91.73,SPY,True,True,7,91.73,CTRN,7,complete,,False,80.10054461667366,97.33975701717638,177.44030163385003,14
PTGX,True,True,True,True,True,True,True,True,330,75274196.40922546,0.07270026524598427,7,100.0,778700.0,2026-04-24,91.26,SPY,True,True,7,91.26,PTGX,7,complete,,False,78.92752408881442,97.33975701717638,176.2672811059908,14
HUHU,True,True,True,True,True,True,True,True,330,457220.5044746399,0.20819672143962298,7,9.65999984741211,8400.0,2026-04-24,90.98,SPY,True,False,7,90.98,HUHU,7,complete,,False,77.92207792207793,97.33975701717638,175.2618349392543,14
LION,True,True,True,True,True,True,True,True,330,28773719.097566605,0.09141491458701756,7,11.43000030517578,2424100.0,2026-04-24,90.44,SPY,True,True,7,90.44,LION,7,complete,,False,76.33012149141182,97.33975701717638,173.6698785085882,14
MITK,True,True,True,True,True,True,True,True,330,11511780.244064331,0.09556963358565662,7,14.289999961853027,617400.0,2026-04-24,89.73,SPY,True,True,7,89.73,MITK,7,complete,,False,74.61248428990365,97.33975701717638,171.95224130708004,14
ANIK,True,True,True,True,True,True,True,True,330,1526123.0076789854,0.053571422279594105,7,15.369999885559082,113100.0,2026-04-24,89.35,SPY,True,True,7,89.35,ANIK,7,complete,,False,73.7746124842899,97.33975701717638,171.11436950146629,14
WDS,True,True,True,True,True,True,True,True,330,25843069.139766693,0.08535131293956943,7,23.040000915527344,743400.0,2026-04-24,89.31,SPY,True,True,7,89.31,WDS,7,complete,,False,73.64893171344784,97.33975701717638,170.98868873062423,14
AUPH,True,True,True,True,True,True,True,True,330,16449514.238595963,0.0533175155969261,7,15.979999542236328,1275200.0,2026-04-24,89.3,SPY,True,True,7,89.3,AUPH,7,complete,,False,73.60703812316716,97.33975701717638,170.94679514034354,14
AROC,True,True,True,True,True,True,True,True,330,46044723.94180298,0.010601582720240144,7,37.33000183105469,1472800.0,2026-04-24,89.13,SPY,True,True,7,89.13,AROC,7,complete,,False,73.06242144951823,97.33975701717638,170.4021784666946,14
