symbol,met_count,rs_score,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile
CGEN,7,94.04,CGEN,9,complete,,False,86.59405111018013,99.97905320485965,186.57310431503979
RRC,7,76.16,RRC,9,complete,,False,38.961038961038966,99.97905320485965,138.94009216589862
AIP,7,96.86,AIP,8,complete,,False,93.92542940930038,99.70674486803519,193.63217427733557
SITM,7,96.77,SITM,8,complete,,False,93.67406786761624,99.70674486803519,193.38081273565143
DAWN,7,96.76,DAWN,8,complete,,False,93.63217427733557,99.70674486803519,193.33891914537077
ADEA,7,95.11,ADEA,8,complete,,False,89.3590280687055,99.70674486803519,189.0657729367407
EDRY,7,94.36,EDRY,8,complete,,False,87.3900293255132,99.70674486803519,187.09677419354838
IMTX,7,90.61,IMTX,8,complete,,False,76.87473816506073,99.70674486803519,176.58148303309594
EB,7,89.47,EB,8,complete,,False,74.02597402597402,99.70674486803519,173.73271889400922
DTIL,7,88.41,DTIL,8,complete,,False,71.09342270632594,99.70674486803519,170.80016757436113
SPNT,7,83.03,SPNT,8,complete,,False,56.68202764976959,99.70674486803519,156.38877251780477
CBLL,7,82.77,CBLL,8,complete,,False,55.9698366149979,99.70674486803519,155.6765814830331
NI,7,68.72,NI,8,complete,,False,19.103477167993297,99.70674486803519,118.81022203602848
GSIW,7,99.99,GSIW,7,complete,,False,100.0,97.33975701717638,197.3397570171764
MKDW,7,99.87,MKDW,7,complete,,False,99.70674486803519,97.33975701717638,197.04650188521157
QDMI,7,99.78,QDMI,7,complete,,False,99.53917050691244,97.33975701717638,196.87892752408882
SNDK,7,99.76,SNDK,7,complete,,False,99.49727691663176,97.33975701717638,196.83703393380813
PLRZ,7,99.72,PLRZ,7,complete,,False,99.3715961457897,97.33975701717638,196.71135316296608
INTJ,7,99.59,INTJ,7,complete,,False,99.07834101382488,97.33975701717638,196.41809803100125
MOBBW,7,99.5,MOBBW,7,complete,,False,98.86887306242144,97.33975701717638,196.2086300795978
PSIG,7,99.45,PSIG,7,complete,,False,98.78508588186008,97.33975701717638,196.12484289903648
ANL,7,99.42,ANL,7,complete,,False,98.74319229157939,97.33975701717638,196.08294930875576
AEHR,7,99.08,AEHR,7,complete,,False,98.2195224130708,97.33975701717638,195.5592794302472
BE,7,98.97,BE,7,complete,,False,98.0310012568077,97.33975701717638,195.37075827398408
MWG,7,98.9,MWG,7,complete,,False,97.90532048596565,97.33975701717638,195.24507750314203
NBTX,7,98.48,NBTX,7,complete,,False,97.27691663175534,97.33975701717638,194.61667364893174
RYDE,7,98.23,RYDE,7,complete,,False,96.69040636782572,97.33975701717638,194.03016338500208
TER,7,98.12,TER,7,complete,,False,96.4390448261416,97.33975701717638,193.77880184331798
MU,7,98.01,MU,7,complete,,False,96.06200251361543,97.33975701717638,193.40175953079182
TOYO,7,96.89,TOYO,7,complete,,False,93.98826979472142,97.33975701717638,191.32802681189781
SSL,7,96.51,SSL,7,complete,,False,93.12945119396733,97.33975701717638,190.46920821114372
AWP,7,96.25,AWP,7,complete,,False,92.54294093003772,97.33975701717638,189.8826979472141
LRCX,7,96.01,LRCX,7,complete,,False,91.9145370758274,97.33975701717638,189.25429409300378
FN,7,95.95,FN,7,complete,,False,91.83074989526602,97.33975701717638,189.17050691244242
RMBS,7,95.5,RMBS,7,complete,,False,90.6158357771261,97.33975701717638,187.95559279430248
KEYS,7,95.15,KEYS,7,complete,,False,89.48470883954755,97.33975701717638,186.82446585672392
TWN,7,95.09,TWN,7,complete,,False,89.27524088814411,97.33975701717638,186.61499790532048
ADAG,7,94.88,ADAG,7,complete,,False,88.6887306242145,97.33975701717638,186.02848764139088
DELL,7,94.1,DELL,7,complete,,False,86.76162547130289,97.33975701717638,184.10138248847926
KF,7,93.71,KF,7,complete,,False,85.63049853372434,97.33975701717638,182.97025555090073
FLEX,7,93.48,FLEX,7,complete,,False,84.91830749895266,97.33975701717638,182.25806451612902
LINC,7,93.26,LINC,7,complete,,False,84.4574780058651,97.33975701717638,181.79723502304148
CECO,7,92.68,CECO,7,complete,,False,82.90741516547968,97.33975701717638,180.24717218265607
PFAI,7,92.63,PFAI,7,complete,,False,82.8236279849183,97.33975701717638,180.16338500209469
