symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count,market,recent_data_quality_pass,trend_template_lite_pass,pattern_pre_gate_pass,pattern_pre_gate_reason,pattern_market_threshold,vcp_detected,vcp_confidence,vcp_confidence_level,vcp_state_detail,vcp_state_bucket,vcp_pattern_start,vcp_pattern_end,vcp_pivot_price,vcp_invalidation_price,vcp_breakout_date,vcp_breakout_price,vcp_breakout_volume,vcp_volume_multiple,vcp_distance_to_pivot_pct,vcp_extended,vcp_dimensional_scores,vcp_metrics,vcp_pivots,cup_handle_detected,cup_handle_confidence,cup_handle_confidence_level,cup_handle_state_detail,cup_handle_state_bucket,cup_handle_pattern_start,cup_handle_pattern_end,cup_handle_pivot_price,cup_handle_invalidation_price,cup_handle_breakout_date,cup_handle_breakout_price,cup_handle_breakout_volume,cup_handle_volume_multiple,cup_handle_distance_to_pivot_pct,cup_handle_extended,cup_handle_dimensional_scores,cup_handle_metrics,cup_handle_pivots,has_forming_pattern,has_completed_pattern,has_recent_breakout_pattern,has_failed_pattern,pattern_included,pattern_stage_summary,max_pattern_confidence,pattern_count,tv_median20_pctile,leader_score_component,pattern_quality_score_component,tightness_dryup_score_component,breakout_readiness_score_component,actual_data_pattern_priority_score,actionable_pattern_pass
TPC,True,True,True,True,True,True,True,True,330,35579455.93910217,0.030722823532219556,7,86.76000213623047,411100.0,2026-04-24,94.64,SPY,True,True,7,94.64,TPC,6,complete,,False,88.14411395056555,68.05613741097612,156.2002513615417,13,us,True,True,True,passed,2649201.0185050964,True,0.983,High,COMPLETED_VCP,COMPLETED,2026-02-11,2026-04-24,89.51000213623047,83.19999694824219,,,,,-0.030722823532219556,False,"{'technical_quality': 1.0, 'volume_confirmation': 1.0, 'temporal_validity': 0.9167, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.1051, 0.0705], 'contraction_bars': [5, 35], 'recovery_bars': [5, 5], 'prior_run_up_pct': 0.6607839213244051, 'resistance_band_pct': 0.015193839547469775, 'last_two_high_gap_pct': 0.015193839547469775, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.05295495196788682, 'volume_ratio_last10_vs_first_half': 0.7498282967032966, 'natr_ratio_last10_vs_first10': 0.6806968159260959, 'range_ratio_last10_vs_first10': 0.6890834104115723}","[{'pivot_index': 279, 'pivot_date': '2026-02-11', 'pivot_type': 'H', 'pivot_price': 89.4, 'prominence_pct': 0.1464, 'source_window': 7}, {'pivot_index': 284, 'pivot_date': '2026-02-19', 'pivot_type': 'L', 'pivot_price': 80.0, 'prominence_pct': 0.1051, 'source_window': 7}, {'pivot_index': 289, 'pivot_date': '2026-02-26', 'pivot_type': 'H', 'pivot_price': 89.51, 'prominence_pct': 0.2149, 'source_window': 7}, {'pivot_index': 324, 'pivot_date': '2026-04-17', 'pivot_type': 'L', 'pivot_price': 83.2, 'prominence_pct': 0.0562, 'source_window': 7}, {'pivot_index': 329, 'pivot_date': '2026-04-24', 'pivot_type': 'H', 'pivot_price': 88.15, 'prominence_pct': 0.0562, 'source_window': 7}]",True,1.0,High,COMPLETED_CWH,COMPLETED,2026-02-11,2026-04-24,88.1500015258789,83.19999694824219,,,,,-0.015768569093448814,False,"{'technical_quality': 1.0, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 1.0}","{'cup_len': 44, 'cup_depth_pct': 0.2531320413485868, 'rim_diff_pct': 0.02885908039171393, 'recovery_ratio': 0.9711409196082861, 'balance_ratio': 0.8333333333333334, 'bottom_zone_width': 12, 'bottom_zone_ratio': 0.2727272727272727, 'v_shape_recovery_ratio': 0.2792752245327292, 'handle_len': 6, 'handle_depth_pct': 0.05615433343110614, 'handle_volume_ratio': 0.8843559617058312, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.24688298375110446, 'prior_run_up_pct': 0.6607839213244051, 'price_only_break_index': None}","[{'pivot_index': 279, 'pivot_date': '2026-02-11', 'pivot_type': 'H', 'pivot_price': 89.4, 'prominence_pct': 0.1464, 'source_window': 7}, {'pivot_index': 299, 'pivot_date': '2026-03-12', 'pivot_type': 'L', 'pivot_price': 66.77, 'prominence_pct': 0.2531, 'source_window': 0}, {'pivot_index': 323, 'pivot_date': '2026-04-16', 'pivot_type': 'H', 'pivot_price': 86.82, 'prominence_pct': 0.2309, 'source_window': 0}]",False,True,False,False,True,COMPLETED,1.0,2,73.7746124842899,23.55,35.0,20.0,18.92,97.47,True
NPKI,True,True,True,True,True,True,True,True,330,9457865.975189209,0.053884690139204716,7,15.100000381469728,656300.0,2026-04-24,90.79,SPY,True,True,7,90.79,NPKI,6,complete,,False,77.37746124842899,68.05613741097612,145.4335986594051,13,us,True,True,True,passed,2649201.0185050964,True,0.875,High,COMPLETED_VCP,COMPLETED,2025-10-31,2026-04-24,13.25,11.84000015258789,,,,,0.13962267029960218,False,"{'technical_quality': 1.0, 'volume_confirmation': 0.7676, 'temporal_validity': 0.6667, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.2136, 0.1064], 'contraction_bars': [10, 13], 'recovery_bars': [19, 14], 'prior_run_up_pct': 0.8348623578003496, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.07169809881246328, 'volume_ratio_last10_vs_first_half': 0.8738328228878763, 'natr_ratio_last10_vs_first10': 0.6452683841585799, 'range_ratio_last10_vs_first10': 0.8847518354547469}","[{'pivot_index': 210, 'pivot_date': '2025-10-31', 'pivot_type': 'H', 'pivot_price': 14.0, 'prominence_pct': 0.125, 'source_window': 7}, {'pivot_index': 220, 'pivot_date': '2025-11-14', 'pivot_type': 'L', 'pivot_price': 11.01, 'prominence_pct': 0.0961, 'source_window': 7}, {'pivot_index': 239, 'pivot_date': '2025-12-12', 'pivot_type': 'H', 'pivot_price': 13.25, 'prominence_pct': 0.0657, 'source_window': 7}, {'pivot_index': 252, 'pivot_date': '2026-01-02', 'pivot_type': 'L', 'pivot_price': 11.84, 'prominence_pct': 0.0662, 'source_window': 7}, {'pivot_index': 266, 'pivot_date': '2026-01-23', 'pivot_type': 'H', 'pivot_price': 14.69, 'prominence_pct': 0.0967, 'source_window': 7}]",True,0.983,High,FORMING_HANDLE,FORMING,2026-02-12,2026-04-24,15.4399995803833,14.18000030517578,,,,,-0.02202067410322639,False,"{'technical_quality': 0.9834, 'volume_confirmation': 0.9577, 'temporal_validity': 1.0, 'market_context': 1.0}","{'cup_len': 43, 'cup_depth_pct': 0.1560880772609633, 'rim_diff_pct': 0.025259028513442208, 'recovery_ratio': 1.025913580379124, 'balance_ratio': 0.7916666666666666, 'bottom_zone_width': 4, 'bottom_zone_ratio': 0.09302325581395349, 'v_shape_recovery_ratio': 0.3941908171841834, 'handle_len': 6, 'handle_depth_pct': 0.08160617289189341, 'handle_volume_ratio': 0.9158561062220164, 'handle_upper_half': False, 'handle_vs_cup_advance': 0.5228213091218764, 'prior_run_up_pct': 0.527918741916763, 'price_only_break_index': None}","[{'pivot_index': 280, 'pivot_date': '2026-02-12', 'pivot_type': 'H', 'pivot_price': 15.05, 'prominence_pct': 0.093, 'source_window': 7}, {'pivot_index': 299, 'pivot_date': '2026-03-12', 'pivot_type': 'L', 'pivot_price': 13.03, 'prominence_pct': 0.1561, 'source_window': 0}, {'pivot_index': 323, 'pivot_date': '2026-04-16', 'pivot_type': 'H', 'pivot_price': 15.44, 'prominence_pct': 0.0816, 'source_window': 7}]",True,True,False,False,True,COMPLETED,0.983,2,57.77126099706745,22.61,34.59,19.3,18.76,95.26,True
PLOW,True,True,True,True,True,True,True,True,330,6558924.2570877075,0.015055112102838941,7,46.45000076293945,163100.0,2026-04-24,89.74,SPY,True,True,7,89.74,PLOW,5,complete,,False,74.65437788018433,38.0184331797235,112.67281105990783,12,us,True,True,True,passed,2649201.0185050964,False,0.553,Low,FORMING_VCP,FORMING,2025-11-13,2026-04-24,34.40999984741211,32.29999923706055,,,,,0.34989831354017986,False,"{'technical_quality': 0.7674, 'volume_confirmation': 0.0277, 'temporal_validity': 0.575, 'market_context': 0.82}","{'contractions': 2, 'depths_pct': [0.0681, 0.0613], 'contraction_bars': [4, 13], 'recovery_bars': [16, 38], 'prior_run_up_pct': 0.17981306414737874, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.04446389423943038, 'volume_ratio_last10_vs_first_half': 1.0361527967257844, 'natr_ratio_last10_vs_first10': 1.237722274331969, 'range_ratio_last10_vs_first10': 1.161653354362923}","[{'pivot_index': 219, 'pivot_date': '2025-11-13', 'pivot_type': 'H', 'pivot_price': 31.56, 'prominence_pct': 0.0532, 'source_window': 7}, {'pivot_index': 223, 'pivot_date': '2025-11-19', 'pivot_type': 'L', 'pivot_price': 29.41, 'prominence_pct': 0.0681, 'source_window': 7}, {'pivot_index': 239, 'pivot_date': '2025-12-12', 'pivot_type': 'H', 'pivot_price': 34.41, 'prominence_pct': 0.0738, 'source_window': 7}, {'pivot_index': 252, 'pivot_date': '2026-01-02', 'pivot_type': 'L', 'pivot_price': 32.3, 'prominence_pct': 0.0464, 'source_window': 7}, {'pivot_index': 290, 'pivot_date': '2026-02-27', 'pivot_type': 'H', 'pivot_price': 47.16, 'prominence_pct': 0.0999, 'source_window': 7}]",True,0.96,High,COMPLETED_CWH,COMPLETED,2026-02-27,2026-04-24,47.09999847412109,44.7599983215332,,,,,-0.013800376480665344,False,"{'technical_quality': 1.0, 'volume_confirmation': 1.0, 'temporal_validity': 0.8, 'market_context': 1.0}","{'cup_len': 32, 'cup_depth_pct': 0.1505512828052035, 'rim_diff_pct': 0.0036047109731837945, 'recovery_ratio': 0.9963952890268162, 'balance_ratio': 0.7777777777777778, 'bottom_zone_width': 9, 'bottom_zone_ratio': 0.28125, 'v_shape_recovery_ratio': 0.4211265501912185, 'handle_len': 7, 'handle_depth_pct': 0.04968153351158998, 'handle_volume_ratio': 0.7860335195530727, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.33766234481118523, 'prior_run_up_pct': 0.6535764056965254, 'price_only_break_index': None}","[{'pivot_index': 290, 'pivot_date': '2026-02-27', 'pivot_type': 'H', 'pivot_price': 47.16, 'prominence_pct': 0.0999, 'source_window': 7}, {'pivot_index': 304, 'pivot_date': '2026-03-19', 'pivot_type': 'L', 'pivot_price': 40.06, 'prominence_pct': 0.1506, 'source_window': 0}, {'pivot_index': 322, 'pivot_date': '2026-04-15', 'pivot_type': 'H', 'pivot_price': 46.99, 'prominence_pct': 0.1139, 'source_window': 7}]",True,True,False,False,True,COMPLETED,0.96,1,53.20485965647256,22.35,32.9,20.0,18.76,94.01,True
IMTX,True,True,True,True,True,True,True,True,330,3094955.5777549744,0.08541494592874033,7,11.350000381469728,246700.0,2026-04-24,90.61,SPY,True,True,7,90.61,IMTX,8,complete,,False,76.87473816506073,99.70674486803519,176.58148303309594,15,us,True,True,True,passed,2649201.0185050964,True,0.994,High,COMPLETED_VCP,COMPLETED,2026-01-22,2026-04-24,10.5,9.390000343322754,,,,,0.08095241728283131,False,"{'technical_quality': 1.0, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.9663}","{'contractions': 2, 'depths_pct': [0.1743, 0.1057], 'contraction_bars': [10, 5], 'recovery_bars': [12, 5], 'prior_run_up_pct': 1.050494881412964, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.06095232282366071, 'volume_ratio_last10_vs_first_half': 0.7717567567567568, 'natr_ratio_last10_vs_first10': 0.7687493789708068, 'range_ratio_last10_vs_first10': 0.5997848655159997}","[{'pivot_index': 265, 'pivot_date': '2026-01-22', 'pivot_type': 'H', 'pivot_price': 10.355, 'prominence_pct': 0.0951, 'source_window': 7}, {'pivot_index': 275, 'pivot_date': '2026-02-05', 'pivot_type': 'L', 'pivot_price': 8.55, 'prominence_pct': 0.1896, 'source_window': 7}, {'pivot_index': 287, 'pivot_date': '2026-02-24', 'pivot_type': 'H', 'pivot_price': 10.5, 'prominence_pct': 0.1057, 'source_window': 7}, {'pivot_index': 292, 'pivot_date': '2026-03-03', 'pivot_type': 'L', 'pivot_price': 9.39, 'prominence_pct': 0.1023, 'source_window': 7}, {'pivot_index': 297, 'pivot_date': '2026-03-10', 'pivot_type': 'H', 'pivot_price': 10.625, 'prominence_pct': 0.1162, 'source_window': 7}]",True,0.665,Medium,FORMING_HANDLE,FORMING,2025-11-25,2026-04-24,11.4399995803833,8.550000190734863,,,,,-0.007867063130657659,False,"{'technical_quality': 0.6804, 'volume_confirmation': 0.4, 'temporal_validity': 0.7833, 'market_context': 0.8812}","{'cup_len': 102, 'cup_depth_pct': 0.2526223335361003, 'rim_diff_pct': 0.038461503192516594, 'recovery_ratio': 1.0399999618530273, 'balance_ratio': 0.8888888888888888, 'bottom_zone_width': 5, 'bottom_zone_ratio': 0.049019607843137254, 'v_shape_recovery_ratio': 0.671280273391095, 'handle_len': 0, 'handle_depth_pct': None, 'handle_volume_ratio': None, 'handle_upper_half': None, 'handle_vs_cup_advance': None, 'prior_run_up_pct': 1.178217739512463, 'price_only_break_index': None}","[{'pivot_index': 227, 'pivot_date': '2025-11-25', 'pivot_type': 'H', 'pivot_price': 11.0, 'prominence_pct': 0.105, 'source_window': 7}, {'pivot_index': 275, 'pivot_date': '2026-02-05', 'pivot_type': 'L', 'pivot_price': 8.55, 'prominence_pct': 0.2526, 'source_window': 0}, {'pivot_index': 329, 'pivot_date': '2026-04-24', 'pivot_type': 'H', 'pivot_price': 11.44, 'prominence_pct': 0.0756, 'source_window': 7}]",True,True,False,False,True,COMPLETED,0.994,2,44.3234185169669,22.09,35.0,18.95,17.45,93.49,True
CECO,True,True,True,True,True,True,True,True,330,25167543.40991974,0.2059471558939593,7,64.88999938964844,404700.0,2026-04-24,92.68,SPY,True,False,7,92.68,CECO,7,complete,,False,82.90741516547968,97.33975701717638,180.24717218265607,14,us,True,True,True,passed,2649201.0185050964,True,0.788,Medium,FORMING_VCP,FORMING,2025-11-05,2026-04-24,63.97999954223633,57.90999984741211,,,,,0.01422319246519188,False,"{'technical_quality': 1.0, 'volume_confirmation': 0.4753, 'temporal_validity': 0.6889, 'market_context': 0.8881}","{'contractions': 2, 'depths_pct': [0.1847, 0.0949], 'contraction_bars': [9, 13], 'recovery_bars': [19, 14], 'prior_run_up_pct': 1.167824014711309, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.08033759653679375, 'volume_ratio_last10_vs_first_half': 1.3046308350381253, 'natr_ratio_last10_vs_first10': 0.82467382690549, 'range_ratio_last10_vs_first10': 0.6998622012066524}","[{'pivot_index': 213, 'pivot_date': '2025-11-05', 'pivot_type': 'H', 'pivot_price': 56.19, 'prominence_pct': 0.1002, 'source_window': 7}, {'pivot_index': 222, 'pivot_date': '2025-11-18', 'pivot_type': 'L', 'pivot_price': 45.81, 'prominence_pct': 0.1542, 'source_window': 7}, {'pivot_index': 241, 'pivot_date': '2025-12-16', 'pivot_type': 'H', 'pivot_price': 63.98, 'prominence_pct': 0.1402, 'source_window': 7}, {'pivot_index': 254, 'pivot_date': '2026-01-06', 'pivot_type': 'L', 'pivot_price': 57.91, 'prominence_pct': 0.0875, 'source_window': 7}, {'pivot_index': 268, 'pivot_date': '2026-01-27', 'pivot_type': 'H', 'pivot_price': 71.69, 'prominence_pct': 0.0773, 'source_window': 7}]",True,0.986,High,FORMING_HANDLE,FORMING,2026-01-27,2026-04-24,67.68000030517578,61.02999877929688,,,,,-0.04122341759673398,False,"{'technical_quality': 0.9633, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 1.0}","{'cup_len': 53, 'cup_depth_pct': 0.30115780767243144, 'rim_diff_pct': 0.055935304779880964, 'recovery_ratio': 0.944064695220119, 'balance_ratio': 0.8928571428571429, 'bottom_zone_width': 9, 'bottom_zone_ratio': 0.16981132075471697, 'v_shape_recovery_ratio': 0.3496990117833311, 'handle_len': 8, 'handle_depth_pct': 0.09825652328447677, 'handle_volume_ratio': 0.691544434857636, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.3782708096270965, 'prior_run_up_pct': 0.6757831810902293, 'price_only_break_index': None}","[{'pivot_index': 268, 'pivot_date': '2026-01-27', 'pivot_type': 'H', 'pivot_price': 71.69, 'prominence_pct': 0.0773, 'source_window': 7}, {'pivot_index': 296, 'pivot_date': '2026-03-09', 'pivot_type': 'L', 'pivot_price': 50.1, 'prominence_pct': 0.3012, 'source_window': 0}, {'pivot_index': 321, 'pivot_date': '2026-04-14', 'pivot_type': 'H', 'pivot_price': 67.68, 'prominence_pct': 0.0983, 'source_window': 7}]",True,False,False,False,True,FORMING,0.986,2,69.04063678257226,22.15,34.1,20.0,16.86,93.11,True
KMT,True,True,True,True,True,True,True,True,330,37777817.87033081,0.06733281224246501,7,39.20000076293945,612000.0,2026-04-24,90.28,SPY,True,True,7,90.28,KMT,6,complete,,False,75.86929199832426,68.05613741097612,143.92542940930036,13,us,True,True,True,passed,2649201.0185050964,True,0.729,Medium,COMPLETED_VCP,COMPLETED,2025-11-12,2026-04-24,29.88999938964844,28.200000762939453,,,,,0.3114754621412026,False,"{'technical_quality': 1.0, 'volume_confirmation': 0.1946, 'temporal_validity': 0.65, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.1126, 0.0565], 'contraction_bars': [6, 5], 'recovery_bars': [15, 35], 'prior_run_up_pct': 0.6135073184487259, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.0709266970617261, 'volume_ratio_last10_vs_first_half': 1.262436999703528, 'natr_ratio_last10_vs_first10': 0.8554229525771937, 'range_ratio_last10_vs_first10': 1.0712063658371342}","[{'pivot_index': 218, 'pivot_date': '2025-11-12', 'pivot_type': 'H', 'pivot_price': 28.43, 'prominence_pct': 0.096, 'source_window': 7}, {'pivot_index': 224, 'pivot_date': '2025-11-20', 'pivot_type': 'L', 'pivot_price': 25.23, 'prominence_pct': 0.0772, 'source_window': 7}, {'pivot_index': 239, 'pivot_date': '2025-12-12', 'pivot_type': 'H', 'pivot_price': 29.89, 'prominence_pct': 0.0713, 'source_window': 7}, {'pivot_index': 244, 'pivot_date': '2025-12-19', 'pivot_type': 'L', 'pivot_price': 28.2, 'prominence_pct': 0.0565, 'source_window': 7}, {'pivot_index': 279, 'pivot_date': '2026-02-11', 'pivot_type': 'H', 'pivot_price': 41.74, 'prominence_pct': 0.1078, 'source_window': 7}]",True,0.928,High,FORMING_HANDLE,FORMING,2026-02-11,2026-04-24,40.27999877929688,38.720001220703125,,,,,-0.026812265369593913,False,"{'technical_quality': 1.0, 'volume_confirmation': 1.0, 'temporal_validity': 0.6667, 'market_context': 0.9659}","{'cup_len': 49, 'cup_depth_pct': 0.19238146313100724, 'rim_diff_pct': 0.034978506000470866, 'recovery_ratio': 0.9650214939995292, 'balance_ratio': 0.8846153846153846, 'bottom_zone_width': 5, 'bottom_zone_ratio': 0.10204081632653061, 'v_shape_recovery_ratio': 0.3972604496780786, 'handle_len': 1, 'handle_depth_pct': 0.03872883827880265, 'handle_volume_ratio': 0.6151681157963512, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.23744256180448625, 'prior_run_up_pct': 1.051105695136711, 'price_only_break_index': None}","[{'pivot_index': 279, 'pivot_date': '2026-02-11', 'pivot_type': 'H', 'pivot_price': 41.74, 'prominence_pct': 0.1078, 'source_window': 7}, {'pivot_index': 305, 'pivot_date': '2026-03-20', 'pivot_type': 'L', 'pivot_price': 33.71, 'prominence_pct': 0.1924, 'source_window': 0}, {'pivot_index': 328, 'pivot_date': '2026-04-23', 'pivot_type': 'H', 'pivot_price': 40.28, 'prominence_pct': 0.0663, 'source_window': 7}]",True,True,False,False,True,COMPLETED,0.928,2,74.52869710934226,23.19,31.5,20.0,18.33,93.02,True
AXSM,True,True,True,True,True,True,True,True,330,99662950.69198608,0.028929468857090357,7,185.9600067138672,527100.0,2026-04-24,88.0,SPY,True,True,7,88.0,AXSM,6,complete,,False,70.04608294930875,68.05613741097612,138.1022203602849,13,us,True,True,True,passed,2649201.0185050964,True,0.925,High,COMPLETED_VCP,COMPLETED,2025-12-31,2026-04-24,191.5,178.0,,,,,-0.028929468857090357,False,"{'technical_quality': 1.0, 'volume_confirmation': 0.7651, 'temporal_validity': 0.9167, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.1011, 0.0705], 'contraction_bars': [5, 11], 'recovery_bars': [9, 4], 'prior_run_up_pct': 0.9189823217814972, 'resistance_band_pct': 0.03710180536573938, 'last_two_high_gap_pct': 0.023655346105988902, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.054255871486414815, 'volume_ratio_last10_vs_first_half': 0.8742380494064806, 'natr_ratio_last10_vs_first10': 0.6353538626749625, 'range_ratio_last10_vs_first10': 0.8864497295184641}","[{'pivot_index': 251, 'pivot_date': '2025-12-31', 'pivot_type': 'H', 'pivot_price': 184.395, 'prominence_pct': 0.1966, 'source_window': 7}, {'pivot_index': 256, 'pivot_date': '2026-01-08', 'pivot_type': 'L', 'pivot_price': 165.75, 'prominence_pct': 0.0959, 'source_window': 7}, {'pivot_index': 265, 'pivot_date': '2026-01-22', 'pivot_type': 'H', 'pivot_price': 191.5, 'prominence_pct': 0.0862, 'source_window': 7}, {'pivot_index': 276, 'pivot_date': '2026-02-06', 'pivot_type': 'L', 'pivot_price': 178.0, 'prominence_pct': 0.0669, 'source_window': 7}, {'pivot_index': 280, 'pivot_date': '2026-02-12', 'pivot_type': 'H', 'pivot_price': 186.97, 'prominence_pct': 0.1104, 'source_window': 7}]",True,0.771,Medium,FORMING_HANDLE,FORMING,2026-01-22,2026-04-24,191.13999938964844,152.27999877929688,,,,,-0.02710051633526256,False,"{'technical_quality': 0.9071, 'volume_confirmation': 0.4, 'temporal_validity': 0.7833, 'market_context': 1.0}","{'cup_len': 64, 'cup_depth_pct': 0.20480418392012076, 'rim_diff_pct': 0.001879898748572128, 'recovery_ratio': 0.9981201012514279, 'balance_ratio': 0.5238095238095238, 'bottom_zone_width': 14, 'bottom_zone_ratio': 0.21875, 'v_shape_recovery_ratio': 0.34191747181870596, 'handle_len': 0, 'handle_depth_pct': None, 'handle_volume_ratio': None, 'handle_upper_half': None, 'handle_vs_cup_advance': None, 'prior_run_up_pct': 0.9929233770246997, 'price_only_break_index': None}","[{'pivot_index': 265, 'pivot_date': '2026-01-22', 'pivot_type': 'H', 'pivot_price': 191.5, 'prominence_pct': 0.0862, 'source_window': 7}, {'pivot_index': 307, 'pivot_date': '2026-03-24', 'pivot_type': 'L', 'pivot_price': 152.28, 'prominence_pct': 0.2048, 'source_window': 0}, {'pivot_index': 329, 'pivot_date': '2026-04-24', 'pivot_type': 'H', 'pivot_price': 191.14, 'prominence_pct': 0.067, 'source_window': 7}]",True,True,False,False,True,COMPLETED,0.925,2,85.50481776288228,23.41,34.13,16.57,18.23,92.34,True
FLKR,True,True,True,True,True,True,True,True,330,18857277.153396606,0.00812041659303342,7,50.08000183105469,351500.0,2026-04-24,93.84,SPY,True,True,7,93.84,FLKR,6,soft_unavailable,ineligible:etf,True,85.96564725596984,68.05613741097612,154.02178466694596,13,us,True,True,True,passed,2649201.0185050964,True,0.655,Medium,FORMING_VCP,FORMING,2025-11-13,2026-04-24,32.31999969482422,29.690000534057617,,,,,0.5495050217798916,False,"{'technical_quality': 1.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.5231, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.0959, 0.0814], 'contraction_bars': [6, 7], 'recovery_bars': [12, 45], 'prior_run_up_pct': 0.6045930248558085, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.09622526731798217, 'volume_ratio_last10_vs_first_half': 2.933665644171779, 'natr_ratio_last10_vs_first10': 1.3543995198992318, 'range_ratio_last10_vs_first10': 1.2430570586927072}","[{'pivot_index': 219, 'pivot_date': '2025-11-13', 'pivot_type': 'H', 'pivot_price': 32.14, 'prominence_pct': 0.0666, 'source_window': 7}, {'pivot_index': 225, 'pivot_date': '2025-11-21', 'pivot_type': 'L', 'pivot_price': 29.058, 'prominence_pct': 0.0593, 'source_window': 7}, {'pivot_index': 237, 'pivot_date': '2025-12-10', 'pivot_type': 'H', 'pivot_price': 32.32, 'prominence_pct': 0.0522, 'source_window': 7}, {'pivot_index': 244, 'pivot_date': '2025-12-19', 'pivot_type': 'L', 'pivot_price': 29.69, 'prominence_pct': 0.0478, 'source_window': 7}, {'pivot_index': 289, 'pivot_date': '2026-02-26', 'pivot_type': 'H', 'pivot_price': 49.95, 'prominence_pct': 0.1888, 'source_window': 7}]",True,0.93,High,FORMING_HANDLE,FORMING,2026-02-26,2026-04-24,50.4900016784668,48.040000915527344,,,,,-0.00812041659303342,False,"{'technical_quality': 1.0, 'volume_confirmation': 1.0, 'temporal_validity': 0.6667, 'market_context': 0.9802}","{'cup_len': 38, 'cup_depth_pct': 0.26084376204842513, 'rim_diff_pct': 0.010695204943073824, 'recovery_ratio': 1.0108108289745612, 'balance_ratio': 0.6521739130434783, 'bottom_zone_width': 7, 'bottom_zone_ratio': 0.18421052631578946, 'v_shape_recovery_ratio': 0.326499513242385, 'handle_len': 2, 'handle_depth_pct': 0.048524473786744605, 'handle_volume_ratio': 0.8028035162746495, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.18602888336557627, 'prior_run_up_pct': 1.0296627193877144, 'price_only_break_index': None}","[{'pivot_index': 289, 'pivot_date': '2026-02-26', 'pivot_type': 'H', 'pivot_price': 49.95, 'prominence_pct': 0.1888, 'source_window': 7}, {'pivot_index': 312, 'pivot_date': '2026-03-31', 'pivot_type': 'L', 'pivot_price': 37.32, 'prominence_pct': 0.2608, 'source_window': 0}, {'pivot_index': 327, 'pivot_date': '2026-04-22', 'pivot_type': 'H', 'pivot_price': 50.49, 'prominence_pct': 0.0887, 'source_window': 7}]",True,False,False,False,True,FORMING,0.93,2,65.27021365731042,23.16,31.5,20.0,17.56,92.22,True
