symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,close,volume,date,rs_score,rs_benchmark,cond8,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
WDS,True,True,True,True,True,True,True,8,22.21999931335449,1103600.0,2026-03-11,88.51,SPY,True,8,88.51,WDS,7,False,25.252525252525253,96.84343434343434,122.09595959595958,15
RIO,True,True,True,True,True,True,True,8,92.08000183105467,2321300.0,2026-03-11,88.31,SPY,True,8,88.31,RIO,7,False,23.484848484848484,96.84343434343434,120.32828282828282,15
GRDN,True,True,True,True,True,True,True,8,33.5099983215332,603400.0,2026-03-11,87.66,SPY,True,8,87.66,GRDN,7,False,19.065656565656568,96.84343434343434,115.9090909090909,15
BHP,True,True,True,True,True,True,True,8,73.3499984741211,3047400.0,2026-03-11,87.09,SPY,True,8,87.09,BHP,7,False,15.530303030303031,96.84343434343434,112.37373737373736,15
LION,True,True,True,True,True,True,True,8,9.770000457763672,2102600.0,2026-03-11,87.01,SPY,True,8,87.01,LION,7,False,14.772727272727272,96.84343434343434,111.6161616161616,15
AUPH,True,True,True,True,True,True,True,8,14.8100004196167,649300.0,2026-03-11,86.76,SPY,True,8,86.76,AUPH,7,False,13.257575757575758,96.84343434343434,110.1010101010101,15
PSMT,True,True,True,True,True,True,True,8,145.97000122070312,181800.0,2026-03-11,86.5,SPY,True,8,86.5,PSMT,7,False,10.85858585858586,96.84343434343434,107.7020202020202,15
LPBBW,True,True,True,True,True,True,True,8,0.210109993815422,0.0,2026-03-11,85.73,SPY,True,8,85.73,LPBBW,7,False,5.1767676767676765,96.84343434343434,102.02020202020202,15
TWN,True,True,True,True,True,True,True,8,61.54999923706055,21200.0,2026-03-11,85.3,SPY,True,8,85.3,TWN,7,False,2.398989898989899,96.84343434343434,99.24242424242424,15
MRSN,True,True,True,True,True,True,True,8,29.07999992370605,0.0,2026-01-06,99.96,SPY,True,8,99.96,,6,False,100.0,80.68181818181817,180.6818181818182,14
BERZ,True,True,True,True,True,True,True,8,56.290000915527344,110600.0,2026-03-11,99.69,SPY,True,8,99.69,,6,False,98.73737373737372,80.68181818181817,179.41919191919192,14
IKNA,True,True,True,True,True,True,True,8,17.15999984741211,457262.0,2025-07-25,99.67,SPY,True,8,99.67,,6,False,98.61111111111111,80.68181818181817,179.29292929292927,14
BREA,True,True,True,True,True,True,True,8,6.5,3700.0,2025-08-19,99.54,SPY,True,8,99.54,,6,False,98.1060606060606,80.68181818181817,178.78787878787878,14
FLYD,True,True,True,True,True,True,True,8,79.56999969482422,2100.0,2026-03-11,99.53,SPY,True,8,99.53,,6,False,97.97979797979798,80.68181818181817,178.66161616161617,14
MUU,True,True,True,True,True,True,True,8,193.16000366210932,2292700.0,2026-03-11,99.22,SPY,True,8,99.22,,6,False,96.0858585858586,80.68181818181817,176.76767676767676,14
MULL,True,True,True,True,True,True,True,8,170.3300018310547,345000.0,2026-03-11,99.21,SPY,True,8,99.21,,6,False,95.95959595959596,80.68181818181817,176.64141414141417,14
CDTX,True,True,True,True,True,True,True,8,221.3800048828125,0.0,2026-01-08,99.05,SPY,True,8,99.05,,6,False,95.70707070707071,80.68181818181817,176.38888888888889,14
AAOI,True,True,True,True,True,True,True,8,127.01000213623048,10231200.0,2026-03-11,99.02,SPY,True,8,99.02,AAOI,6,False,95.45454545454544,80.68181818181817,176.13636363636363,14
ANTE,True,True,True,True,True,True,True,8,2.8299999237060547,284200.0,2025-08-19,99.0,SPY,True,8,99.0,,6,False,95.32828282828282,80.68181818181817,176.01010101010098,14
LITE,True,True,True,True,True,True,True,8,672.0,4056100.0,2026-03-11,98.94,SPY,True,8,98.94,LITE,6,False,95.2020202020202,80.68181818181817,175.88383838383837,14
