symbol,met_count,rs_score,provider_symbol,fin_met_count,has_error,rs_percentile,fin_percentile,total_percentile
CGEN,8,88.64,CGEN,9,False,26.19949494949495,99.93686868686868,126.13636363636363
MPTI,8,87.18,MPTI,9,False,16.28787878787879,99.93686868686868,116.22474747474746
ASRT,8,99.27,ASRT,8,False,96.5909090909091,99.43181818181817,196.02272727272725
FSLY,8,97.47,FSLY,8,False,88.13131313131312,99.43181818181817,187.5631313131313
SCCO,8,93.59,SCCO,8,False,62.37373737373737,99.43181818181817,161.80555555555554
ADEA,8,93.1,ADEA,8,False,59.34343434343434,99.43181818181817,158.7752525252525
EB,8,89.95,EB,8,False,36.36363636363637,99.43181818181817,135.79545454545453
KNOP,8,86.72,KNOP,8,False,13.005050505050505,99.43181818181817,112.43686868686868
BDSX,8,99.82,BDSX,7,False,99.36868686868688,96.84343434343434,196.21212121212122
NCI,8,99.79,NCI,7,False,99.11616161616162,96.84343434343434,195.95959595959596
SNDK,8,99.44,SNDK,7,False,97.6010101010101,96.84343434343434,194.44444444444446
MOBBW,8,99.42,MOBBW,7,False,97.47474747474747,96.84343434343434,194.3181818181818
MWG,8,99.3,MWG,7,False,96.84343434343434,96.84343434343434,193.68686868686868
PSIG,8,99.2,PSIG,7,False,95.83333333333334,96.84343434343434,192.67676767676767
NBTX,8,98.78,NBTX,7,False,94.44444444444444,96.84343434343434,191.28787878787878
NCEW,8,98.55,NCEW,7,False,93.43434343434343,96.84343434343434,190.27777777777777
MTC,8,98.49,MTC,7,False,93.18181818181817,96.84343434343434,190.0252525252525
BE,8,98.41,BE,7,False,92.92929292929293,96.84343434343434,189.77272727272725
AWP,8,97.66,AWP,7,False,89.14141414141415,96.84343434343434,185.9848484848485
TER,8,96.94,TER,7,False,85.22727272727273,96.84343434343434,182.07070707070707
ORKA,8,95.34,ORKA,7,False,75.63131313131312,96.84343434343434,172.47474747474746
ASA,8,94.6,ASA,7,False,70.2020202020202,96.84343434343434,167.04545454545453
LINC,8,94.57,LINC,7,False,69.82323232323232,96.84343434343434,166.66666666666666
TOYO,8,94.38,TOYO,7,False,68.68686868686868,96.84343434343434,165.530303030303
SSL,8,93.9,SSL,7,False,65.02525252525253,96.84343434343434,161.86868686868686
ADAG,8,93.72,ADAG,7,False,63.76262626262626,96.84343434343434,160.6060606060606
PAAS,8,93.64,PAAS,7,False,63.005050505050505,96.84343434343434,159.84848484848484
KF,8,93.61,KF,7,False,62.62626262626263,96.84343434343434,159.46969696969697
FN,8,92.82,FN,7,False,56.94444444444444,96.84343434343434,153.78787878787878
IVA,8,92.76,IVA,7,False,56.56565656565656,96.84343434343434,153.4090909090909
IPX,8,92.62,IPX,7,False,55.80808080808081,96.84343434343434,152.65151515151516
SRL,8,89.43,SRL,7,False,33.08080808080808,96.84343434343434,129.92424242424244
AROC,8,89.42,AROC,7,False,32.95454545454545,96.84343434343434,129.7979797979798
WT,8,89.06,WT,7,False,29.67171717171717,96.84343434343434,126.5151515151515
WDS,8,88.51,WDS,7,False,25.252525252525253,96.84343434343434,122.09595959595958
RIO,8,88.31,RIO,7,False,23.484848484848484,96.84343434343434,120.32828282828282
GRDN,8,87.66,GRDN,7,False,19.065656565656568,96.84343434343434,115.9090909090909
