symbol,fin_met_count,rs_score,met_count,total_met_count,added_date
LSCC,0,88.46,8,8,2026-03-14
LSTA,0,96.26,8,8,2026-03-14
LUNR,5,95.08,8,13,2026-03-14
LVO,5,98.11,8,13,2026-03-14
LWLG,5,96.33,8,13,2026-03-14
LXRX,0,96.28,8,8,2026-03-14
LXU,5,92.89,8,13,2026-03-14
MAG,6,88.44,8,14,2026-03-14
MAMA,0,93.07,8,8,2026-03-14
MATX,0,86.37,8,8,2026-03-14
MAZE,0,97.43,8,8,2026-03-14
MBBC,0,85.15,8,8,2026-03-14
MULL,6,99.21,8,14,2026-03-14
MUU,6,99.22,8,14,2026-03-14
MUX,0,95.69,8,8,2026-03-14
MWG,7,99.3,8,15,2026-03-14
NOK,5,89.65,8,13,2026-03-14
NOV,0,86.09,8,8,2026-03-14
NPK,0,88.56,8,8,2026-03-14
NRGU,6,94.37,8,14,2026-03-14
NRT,0,93.15,8,8,2026-03-14
NRXS,0,97.16,8,8,2026-03-14
NTR,5,88.19,8,13,2026-03-14
NUKKW,0,98.5,8,8,2026-03-14
NVAX,6,90.39,8,14,2026-03-14
NVGS,4,85.01,8,12,2026-03-14
NVMI,5,92.21,8,13,2026-03-14
NVST,5,87.29,8,13,2026-03-14
NWPX,0,91.16,8,8,2026-03-14
NXE,0,93.78,8,8,2026-03-14
NXST,0,85.96,8,8,2026-03-14
NXT,0,93.82,8,8,2026-03-14
NXTC,0,99.57,8,8,2026-03-14
NYAX,0,86.28,8,8,2026-03-14
NYT,4,87.06,8,12,2026-03-14
OBE,0,90.46,8,8,2026-03-14
OCGN,4,96.84,8,12,2026-03-14
NOC,0,87.97,8,8,2026-03-14
NMRA,0,96.04,8,8,2026-03-14
NMM,0,88.09,8,8,2026-03-14
NCI,7,99.79,8,15,2026-03-14
MYE,0,86.52,8,8,2026-03-14
MYRG,0,91.59,8,8,2026-03-14
NANR,6,87.61,8,14,2026-03-14
NAT,0,93.37,8,8,2026-03-14
