symbol,met_count,rs_score,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile
AAMI,7,91.15,AAMI,7,complete,,False,65.0,100.0,165.0
AAOI,7,99.12,AAOI,6,complete,,False,95.0,77.5,172.5
AAUC,7,94.69,AAUC,6,complete,,False,80.0,77.5,157.5
ACTG,7,88.5,ACTG,6,complete,,False,60.0,77.5,137.5
AAXJ,7,79.65,AAXJ,6,soft_unavailable,ineligible:etf,True,45.0,77.5,122.5
AAVM,7,77.88,AAVM,6,soft_unavailable,ineligible:etf,True,40.0,77.5,117.5
ACES,7,73.45,ACES,6,soft_unavailable,ineligible:etf,True,30.0,77.5,107.5
ABFL,7,66.37,ABFL,6,soft_unavailable,ineligible:etf,True,15.0,77.5,92.5
ABCS,7,58.41,ABCS,6,soft_unavailable,ineligible:etf,True,10.0,77.5,87.5
ACLS,7,92.04,ACLS,5,complete,,False,70.0,55.00000000000001,125.0
AA,7,95.58,AA,4,complete,,False,85.0,45.0,130.0
ABEV,7,83.19,ABEV,4,complete,,False,50.0,45.0,95.0
ABCB,7,76.99,ABCB,4,complete,,False,35.0,45.0,80.0
ABX,7,84.96,ABX,3,complete,,False,55.00000000000001,35.0,90.0
ACRE,7,71.68,ACRE,2,complete,,False,25.0,25.0,50.0
ACNB,7,68.14,ACNB,2,complete,,False,20.0,25.0,45.0
AAON,7,49.56,AAON,2,complete,,False,5.0,25.0,30.0
ABVX,7,100.0,ABVX,1,complete,,False,100.0,10.0,110.0
ACRS,7,97.35,ACRS,1,complete,,False,90.0,10.0,100.0
ACLX,7,92.92,ACLX,1,complete,,False,75.0,10.0,85.0
