symbol,met_count,rs_score,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile
AA,7,93.77,AA,5,complete,,False,86.92551505546751,100.0,186.9255150554675
GSIW,7,99.99,,0,skipped_local_only,local_only_no_cached_financials,False,100.0,50.0,150.0
MRSN,7,99.96,,0,skipped_local_only,local_only_no_cached_financials,False,99.96038034865293,50.0,149.96038034865293
NKTR,7,99.92,,0,skipped_local_only,local_only_no_cached_financials,False,99.92076069730587,50.0,149.92076069730587
AXTI,7,99.91,,0,skipped_local_only,local_only_no_cached_financials,False,99.86133122028527,50.0,149.86133122028525
WATT,7,99.91,,0,skipped_local_only,local_only_no_cached_financials,False,99.86133122028527,50.0,149.86133122028525
RAPT,7,99.89,,0,skipped_local_only,local_only_no_cached_financials,False,99.80190174326465,50.0,149.80190174326464
SNSE,7,99.86,,0,skipped_local_only,local_only_no_cached_financials,False,99.76228209191758,50.0,149.7622820919176
STRO,7,99.85,,0,skipped_local_only,local_only_no_cached_financials,False,99.72266244057052,50.0,149.7226624405705
MKDW,7,99.84,,0,skipped_local_only,local_only_no_cached_financials,False,99.68304278922345,50.0,149.68304278922346
BW,7,99.83,,0,skipped_local_only,local_only_no_cached_financials,False,99.64342313787638,50.0,149.64342313787637
NINE,7,99.81,,0,skipped_local_only,local_only_no_cached_financials,False,99.60380348652932,50.0,149.60380348652933
QDMI,7,99.76,,0,skipped_local_only,local_only_no_cached_financials,False,99.56418383518225,50.0,149.56418383518223
SNDK,7,99.74,,0,skipped_local_only,local_only_no_cached_financials,False,99.52456418383518,50.0,149.5245641838352
MCVT,7,99.72,,0,skipped_local_only,local_only_no_cached_financials,False,99.48494453248811,50.0,149.4849445324881
IKNA,7,99.71,,0,skipped_local_only,local_only_no_cached_financials,False,99.44532488114105,50.0,149.44532488114106
ASRT,7,99.68,,0,skipped_local_only,local_only_no_cached_financials,False,99.40570522979397,50.0,149.40570522979397
PLRZ,7,99.67,,0,skipped_local_only,local_only_no_cached_financials,False,99.3660855784469,50.0,149.3660855784469
MUU,7,99.59,,0,skipped_local_only,local_only_no_cached_financials,False,99.32646592709983,50.0,149.32646592709983
MULL,7,99.58,,0,skipped_local_only,local_only_no_cached_financials,False,99.28684627575277,50.0,149.28684627575277
ATHA,7,99.57,,0,skipped_local_only,local_only_no_cached_financials,False,99.22741679873216,50.0,149.22741679873218
BREA,7,99.57,,0,skipped_local_only,local_only_no_cached_financials,False,99.22741679873216,50.0,149.22741679873218
ANL,7,99.55,,0,skipped_local_only,local_only_no_cached_financials,False,99.16798732171156,50.0,149.16798732171156
INTJ,7,99.54,,0,skipped_local_only,local_only_no_cached_financials,False,99.1283676703645,50.0,149.1283676703645
ERAS,7,99.52,,0,skipped_local_only,local_only_no_cached_financials,False,99.08874801901743,50.0,149.08874801901743
MOBBW,7,99.51,,0,skipped_local_only,local_only_no_cached_financials,False,99.04912836767036,50.0,149.04912836767036
NDLS,7,99.49,,0,skipped_local_only,local_only_no_cached_financials,False,99.0095087163233,50.0,149.0095087163233
TERN,7,99.43,,0,skipped_local_only,local_only_no_cached_financials,False,98.96988906497623,50.0,148.96988906497623
EKSO,7,99.41,,0,skipped_local_only,local_only_no_cached_financials,False,98.93026941362916,50.0,148.93026941362916
LITE,7,99.4,,0,skipped_local_only,local_only_no_cached_financials,False,98.8906497622821,50.0,148.8906497622821
PSIG,7,99.39,,0,skipped_local_only,local_only_no_cached_financials,False,98.85103011093503,50.0,148.85103011093503
RLMD,7,99.38,,0,skipped_local_only,local_only_no_cached_financials,False,98.81141045958796,50.0,148.81141045958796
NXTC,7,99.37,,0,skipped_local_only,local_only_no_cached_financials,False,98.7717908082409,50.0,148.7717908082409
LWLG,7,99.34,,0,skipped_local_only,local_only_no_cached_financials,False,98.73217115689383,50.0,148.73217115689383
AAOI,7,99.28,,0,skipped_local_only,local_only_no_cached_financials,False,98.69255150554676,50.0,148.69255150554676
TNGX,7,99.16,,0,skipped_local_only,local_only_no_cached_financials,False,98.6529318541997,50.0,148.6529318541997
CDTX,7,99.15,,0,skipped_local_only,local_only_no_cached_financials,False,98.61331220285261,50.0,148.61331220285263
LFWD,7,99.1,,0,skipped_local_only,local_only_no_cached_financials,False,98.57369255150554,50.0,148.57369255150553
KORU,7,99.09,,0,skipped_local_only,local_only_no_cached_financials,False,98.53407290015848,50.0,148.5340729001585
ANTE,7,99.07,,0,skipped_local_only,local_only_no_cached_financials,False,98.49445324881141,50.0,148.4944532488114
BE,7,99.05,,0,skipped_local_only,local_only_no_cached_financials,False,98.45483359746434,50.0,148.45483359746436
ANRO,7,99.04,,0,skipped_local_only,local_only_no_cached_financials,False,98.41521394611728,50.0,148.41521394611726
AEHR,7,99.03,,0,skipped_local_only,local_only_no_cached_financials,False,98.37559429477021,50.0,148.37559429477022
STTK,7,98.97,,0,skipped_local_only,local_only_no_cached_financials,False,98.33597464342314,50.0,148.33597464342313
FIEE,7,98.95,,0,skipped_local_only,local_only_no_cached_financials,False,98.29635499207608,50.0,148.2963549920761
RGLS,7,98.93,,0,skipped_local_only,local_only_no_cached_financials,False,98.25673534072901,50.0,148.256735340729
MWG,7,98.91,,0,skipped_local_only,local_only_no_cached_financials,False,98.21711568938193,50.0,148.21711568938193
ARMP,7,98.89,,0,skipped_local_only,local_only_no_cached_financials,False,98.17749603803486,50.0,148.17749603803486
PL,7,98.88,,0,skipped_local_only,local_only_no_cached_financials,False,98.1378763866878,50.0,148.1378763866878
IPA,7,98.85,,0,skipped_local_only,local_only_no_cached_financials,False,98.09825673534073,50.0,148.09825673534073
KOD,7,98.84,,0,skipped_local_only,local_only_no_cached_financials,False,98.05863708399366,50.0,148.05863708399366
CELC,7,98.79,,0,skipped_local_only,local_only_no_cached_financials,False,98.01901743264659,50.0,148.0190174326466
