종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
SBIT,2025-06-21,39.1,6.48,0.0,37.15 (5% 수익) 또는 3일 후 청산,51.16,없음,False
KDLY,2025-06-21,26.19,2.43,0.0,24.88 (5% 수익) 또는 3일 후 청산,47.7,없음,False
ARQQ,2025-06-21,39.87,7.14,0.0,37.88 (5% 수익) 또는 3일 후 청산,51.04,없음,False
SAGE,2025-06-21,9.59,10.0,0.0,9.11 (5% 수익) 또는 3일 후 청산,11.11,없음,False
OSCR,2025-06-21,19.71,10.0,0.0,18.72 (5% 수익) 또는 3일 후 청산,23.43,없음,False
CRK,2025-06-21,32.28,10.0,0.0,30.66 (5% 수익) 또는 3일 후 청산,36.55,없음,False
BOIL,2025-06-21,66.57,10.0,0.0,63.24 (5% 수익) 또는 3일 후 청산,78.37,없음,False
ETHD,2025-06-21,16.34,7.37,0.0,15.52 (5% 수익) 또는 3일 후 청산,20.77,없음,False
RDDT,2025-06-21,148.22,10.0,0.0,140.81 (5% 수익) 또는 3일 후 청산,174.43,없음,False
VSAT,2025-06-21,13.98,10.0,0.0,13.28 (5% 수익) 또는 3일 후 청산,16.71,없음,False
