symbol,score,rank,price_momentum_20d,rsi_14,relative_strength
WW,0.7434287321942673,1,13681.758901938812,57.616826877998506,100.0
LRHC,0.4242648425372749,2,-24.937578831049482,26.81857811241173,99.54
GORV,0.3492572124838612,3,1953.0612701676573,29.339477037423762,98.63
LYEL,0.3393356721990457,4,25.23860060889527,61.52125814210328,99.82
STEM,0.3256877864493312,5,73.13830439876573,61.08986744245553,99.91
PXLW,0.28692477504063474,6,65.27197008894312,72.51838474569898,99.45
FIG,0.28474977815316427,7,410.70040667784565,99.84295443402475,96.98
FGEN,0.27961352973195314,8,31.80952526274182,46.76056198032287,99.27
SRM,0.26976902158865174,9,14.594586931762349,56.830599081691155,99.36
TRUG,0.24878419955709605,10,-13.195547356752884,52.40113104697546,98.81
SNSE,0.241682813739496,11,-19.26605783167304,37.37560362592988,99.18
ETHT,0.23401514154831896,12,95.73301338981449,73.91305289690654,98.17
CREG,0.21920046353202285,13,617.3912809679329,68.91891774337083,90.29
SLXN,0.21253161601756154,14,1755.9005525017326,89.09271983538262,99.63
AYRO,0.207566184469153,15,3.0666669209798174,68.16815875088781,98.9
IKNA,0.20731099017582336,16,1180.5969716393101,88.20686466814001,98.72
WBX,0.20019237507447651,17,1617.6080042107415,31.939161361020595,98.26
FLYE,0.1983546890235671,18,49.92389596530677,70.30812231395069,98.44
SPRC,0.19074854560825003,19,-12.135182963363379,39.01808490495907,99.73
VLCN,0.1725642863411581,20,45.66929128483002,53.96257358111129,97.25
INUV,0.1664604788064931,21,3.6093434164987275,42.85714548724286,99.08
RAPT,0.1600426252696743,22,34.83145920262352,60.93457937261425,97.8
ABVX,0.14394565034469012,23,824.8710634820172,94.65540839254787,97.99
CCRD,0.1411601446316575,24,0.5208386453214922,57.32538745653634,82.33
AMZE,0.1332006338752132,25,-49.808009608935976,26.33869815677194,97.44
TOYO,0.12453818631568692,26,57.50000629160156,91.73552725665594,87.45
CLRO,0.1224446053829796,27,-48.512820708446014,2.8006601562816087,97.89
DUOT,0.12026094057142304,28,-13.647961107605115,45.2574551660123,65.11
HDSN,0.11790472246792141,29,14.512201972407876,69.67508975554267,55.86
