symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
WW,True,True,True,True,True,True,True,8,99.98,True
SNSE,True,True,True,True,True,True,True,8,99.91,True
FGEN,True,True,True,True,True,True,True,8,99.88,True
LYEL,True,True,True,True,True,True,True,8,99.86,True
INUV,True,True,True,True,True,True,True,8,99.81,True
JFBR,True,True,True,True,True,True,True,8,99.74,True
IKNA,True,True,True,True,True,True,True,8,99.73,True
AYRO,True,True,True,True,True,True,True,8,99.7,True
BOLT,True,True,True,True,True,True,True,8,99.66,True
FLYE,True,True,True,True,True,True,True,8,99.62,True
ABVX,True,True,True,True,True,True,True,8,99.48,True
TGEN,True,True,True,True,True,True,True,8,99.24,True
FIG,True,True,True,True,True,True,True,8,99.16,True
XTKG,True,True,True,True,True,True,True,8,99.11,True
RGLS,True,True,True,True,True,True,True,8,99.07,True
TOI,True,True,True,True,True,True,True,8,99.05,True
TDUP,True,True,True,True,True,True,True,8,99.03,True
ZEPP,True,True,True,True,True,True,True,8,99.01,True
SEZL,True,True,True,True,True,True,True,8,98.95,True
TSSI,True,True,True,True,True,True,True,8,98.91,True
SVT,True,True,True,True,True,True,True,8,98.83,True
ALMU,True,True,True,True,True,True,True,8,98.8,True
DAVE,True,True,True,True,True,True,True,8,98.79,True
PSIX,True,True,True,True,True,True,True,8,98.75,True
CDTX,True,True,True,True,True,True,True,8,98.74,True
PRCH,True,True,True,True,True,True,True,8,98.72,True
OKLO,True,True,True,True,True,True,True,8,98.68,True
RKLB,True,True,True,True,True,True,True,8,98.67,True
MP,True,True,True,True,True,True,True,8,98.51,True
NVTS,True,True,True,True,True,True,True,8,98.42,True
LEU,True,True,True,True,True,True,True,8,98.36,True
ATAI,True,True,True,True,True,True,True,8,98.28,True
DALN,True,True,True,True,True,True,True,8,98.27,True
HOOD,True,True,True,True,True,True,True,8,98.26,True
TZUP,True,True,True,True,True,True,True,8,98.2,True
PLTR,True,True,True,True,True,True,True,8,98.18,True
JOBY,True,True,True,True,True,True,True,8,98.17,True
SMR,True,True,True,True,True,True,True,8,98.11,True
VIGL,True,True,True,True,True,True,True,8,98.1,True
SATX,True,True,True,True,True,True,True,8,98.06,True
FTEK,True,True,True,True,True,True,True,8,98.05,True
VIOT,True,True,True,True,True,True,True,8,98.02,True
XGN,True,True,True,True,True,True,True,8,98.01,True
OKYO,True,True,True,True,True,True,True,8,98.0,True
DIST,True,True,True,True,True,True,True,8,97.95,True
VRNA,True,True,True,True,True,True,True,8,97.93,True
CRDO,True,True,True,True,True,True,True,8,97.91,True
PGY,True,True,True,True,True,True,True,8,97.9,True
BE,True,True,True,True,True,True,True,8,97.85,True
OCFT,True,True,True,True,True,True,True,8,97.84,True
CLS,True,True,True,True,True,True,True,8,97.79,True
IMAB,True,True,True,True,True,True,True,8,97.78,True
PAYS,True,True,True,True,True,True,True,8,97.74,True
FORD,True,True,True,True,True,True,True,8,97.68,True
TLSA,True,True,True,True,True,True,True,8,97.66,True
YSG,True,True,True,True,True,True,True,8,97.6,True
PRPO,True,True,True,True,True,True,True,8,97.51,True
RBLX,True,True,True,True,True,True,True,8,97.5,True
ASTS,True,True,True,True,True,True,True,8,97.47,True
AZ,True,True,True,True,True,True,True,8,97.45,True
GEV,True,True,True,True,True,True,True,8,97.44,True
WLDN,True,True,True,True,True,True,True,8,97.36,True
HIMS,True,True,True,True,True,True,True,8,97.29,True
USAS,True,True,True,True,True,True,True,8,97.27,True
TOYO,True,True,True,True,True,True,True,8,97.26,True
SLGL,True,True,True,True,True,True,True,8,97.24,True
ISSC,True,True,True,True,True,True,True,8,97.22,True
UCL,True,True,True,True,True,True,True,8,97.21,True
ARTW,True,True,True,True,True,True,True,8,97.16,True
IOBT,True,True,True,True,True,True,True,8,97.14,True
TLN,True,True,True,True,True,True,True,8,97.13,True
MGRM,True,True,True,True,True,True,True,8,97.11,True
PVLA,True,True,True,True,True,True,True,8,97.1,True
THM,True,True,True,True,True,True,True,8,97.05,True
FARO,True,True,True,True,True,True,True,8,97.03,True
ICAD,True,True,True,True,True,True,True,8,97.01,True
EYE,True,True,True,True,True,True,True,8,97.0,True
DOMO,True,True,True,True,True,True,True,8,96.98,True
ELVA,True,True,True,True,True,True,True,8,96.96,True
GOSS,True,True,True,True,True,True,True,8,96.94,True
LASR,True,True,True,True,True,True,True,8,96.91,True
OSS,True,True,True,True,True,True,True,8,96.89,True
KTOS,True,True,True,True,True,True,True,8,96.87,True
TTMI,True,True,True,True,True,True,True,8,96.83,True
SIFY,True,True,True,True,True,True,True,8,96.8,True
EVLV,True,True,True,True,True,True,True,8,96.79,True
AKBA,True,True,True,True,True,True,True,8,96.77,True
PL,True,True,True,True,True,True,True,8,96.76,True
ASPI,True,True,True,True,True,True,True,8,96.74,True
SOFI,True,True,True,True,True,True,True,8,96.73,True
GOGO,True,True,True,True,True,True,True,8,96.7,True
NET,True,True,True,True,True,True,True,8,96.68,True
TPC,True,True,True,True,True,True,True,8,96.64,True
CFSB,True,True,True,True,True,True,True,8,96.59,True
RFIL,True,True,True,True,True,True,True,8,96.56,True
STRT,True,True,True,True,True,True,True,8,96.54,True
GROY,True,True,True,True,True,True,True,8,96.51,True
VFF,True,True,True,True,True,True,True,8,96.49,True
THTX,True,True,True,True,True,True,True,8,96.46,True
TPR,True,True,True,True,True,True,True,8,96.41,True
IPX,True,True,True,True,True,True,True,8,96.4,True
SBSW,True,True,True,True,True,True,True,8,96.39,True
SGHC,True,True,True,True,True,True,True,8,96.38,True
INDV,True,True,True,True,True,True,True,8,96.32,True
IHS,True,True,True,True,True,True,True,8,96.3,True
SNES,True,True,True,True,True,True,True,8,96.29,True
CPSH,True,True,True,True,True,True,True,8,96.27,True
CYD,True,True,True,True,True,True,True,8,96.23,True
PARR,True,True,True,True,True,True,True,8,96.22,True
TSAT,True,True,True,True,True,True,True,8,96.2,True
COMM,True,True,True,True,True,True,True,8,96.16,True
AGX,True,True,True,True,True,True,True,8,96.13,True
ELTX,True,True,True,True,True,True,True,8,96.12,True
SRAD,True,True,True,True,True,True,True,8,96.11,True
PLBY,True,True,True,True,True,True,True,8,96.08,True
CVNA,True,True,True,True,True,True,True,8,96.05,True
LIF,True,True,True,True,True,True,True,8,96.04,True
SSSS,True,True,True,True,True,True,True,8,96.03,True
VERV,True,True,True,True,True,True,True,8,96.02,True
CAR,True,True,True,True,True,True,True,8,95.97,True
NBTX,True,True,True,True,True,True,True,8,95.96,True
UUU,True,True,True,True,True,True,True,8,95.89,True
BELFB,True,True,True,True,True,True,True,8,95.87,True
NRG,True,True,True,True,True,True,True,8,95.86,True
