symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
MIND,True,True,True,True,True,True,True,8,95.2,True
KEN,True,True,True,True,True,True,True,8,95.15,True
FBL,True,True,True,True,True,True,True,8,95.1,True
QD,True,True,True,True,True,True,True,8,95.06,True
JBL,True,True,True,True,True,True,True,8,94.99,True
STX,True,True,True,True,True,True,True,8,94.98,True
WILC,True,True,True,True,True,True,True,8,94.94,True
DB,True,True,True,True,True,True,True,8,94.9,True
ARKW,True,True,True,True,True,True,True,8,94.87,True
CLBR,True,True,True,True,True,True,True,8,94.83,True
TME,True,True,True,True,True,True,True,8,94.8,True
CPS,True,True,True,True,True,True,True,8,94.79,True
METU,True,True,True,True,True,True,True,8,94.74,True
AVGO,True,True,True,True,True,True,True,8,94.71,True
HNRG,True,True,True,True,True,True,True,8,94.7,True
COEP,True,True,True,True,True,True,True,8,94.68,True
DXPE,True,True,True,True,True,True,True,8,94.62,True
ACMR,True,True,True,True,True,True,True,8,94.59,True
SMDD,True,True,True,True,True,True,True,8,94.58,True
AFRM,True,True,True,True,True,True,True,8,94.55,True
EOSE,True,True,True,True,True,True,True,8,94.51,True
TPB,True,True,True,True,True,True,True,8,94.48,True
IH,True,True,True,True,True,True,True,8,94.46,True
AXIL,True,True,True,True,True,True,True,8,94.41,True
MIR,True,True,True,True,True,True,True,8,94.4,True
ARKF,True,True,True,True,True,True,True,8,94.38,True
ABCL,True,True,True,True,True,True,True,8,94.37,True
REVG,True,True,True,True,True,True,True,8,94.29,True
AIBU,True,True,True,True,True,True,True,8,94.22,True
DASH,True,True,True,True,True,True,True,8,94.18,True
IDCC,True,True,True,True,True,True,True,8,94.16,True
URBN,True,True,True,True,True,True,True,8,94.15,True
UI,True,True,True,True,True,True,True,8,94.14,True
SCC,True,True,True,True,True,True,True,8,94.03,True
AAMI,True,True,True,True,True,True,True,8,94.02,True
TATT,True,True,True,True,True,True,True,8,94.01,True
FRHC,True,True,True,True,True,True,True,8,94.0,True
RDUS,True,True,True,True,True,True,True,8,93.96,True
SMCI,True,True,True,True,True,True,True,8,93.94,True
BTFX,True,True,True,True,True,True,True,8,93.83,True
NEXT,True,True,True,True,True,True,True,8,93.8,True
BTCL,True,True,True,True,True,True,True,8,93.76,True
DOUG,True,True,True,True,True,True,True,8,93.61,True
YALA,True,True,True,True,True,True,True,8,93.6,True
RYTM,True,True,True,True,True,True,True,8,93.57,True
AHR,True,True,True,True,True,True,True,8,93.56,True
SANM,True,True,True,True,True,True,True,8,93.54,True
WBD,True,True,True,True,True,True,True,8,93.52,True
SNOW,True,True,True,True,True,True,True,8,93.48,True
HEES,True,True,True,True,True,True,True,8,93.46,True
BITU,True,True,True,True,True,True,True,8,93.42,True
COUR,True,True,True,True,True,True,True,8,93.4,True
SOC,True,True,True,True,True,True,True,8,93.36,True
WEBL,True,True,True,True,True,True,True,8,93.27,True
ALNY,True,True,True,True,True,True,True,8,93.24,True
BBIO,True,True,True,True,True,True,True,8,93.22,True
EMX,True,True,True,True,True,True,True,8,93.21,True
TWLO,True,True,True,True,True,True,True,8,93.19,True
LTM,True,True,True,True,True,True,True,8,93.13,True
LINC,True,True,True,True,True,True,True,8,93.11,True
ERJ,True,True,True,True,True,True,True,8,93.09,True
VSEC,True,True,True,True,True,True,True,8,93.08,True
TOST,True,True,True,True,True,True,True,8,93.07,True
VEON,True,True,True,True,True,True,True,8,93.05,True
COOP,True,True,True,True,True,True,True,8,93.04,True
APH,True,True,True,True,True,True,True,8,93.02,True
GHLD,True,True,True,True,True,True,True,8,93.0,True
DY,True,True,True,True,True,True,True,8,92.97,True
SLNO,True,True,True,True,True,True,True,8,92.96,True
ACAD,True,True,True,True,True,True,True,8,92.94,True
MTZ,True,True,True,True,True,True,True,8,92.86,True
RMBS,True,True,True,True,True,True,True,8,92.79,True
ARKK,True,True,True,True,True,True,True,8,92.76,True
CEG,True,True,True,True,True,True,True,8,92.75,True
NUKZ,True,True,True,True,True,True,True,8,92.73,True
BH,True,True,True,True,True,True,True,8,92.71,True
AVXL,True,True,True,True,True,True,True,8,92.67,True
ARKX,True,True,True,True,True,True,True,8,92.62,True
DCO,True,True,True,True,True,True,True,8,92.59,True
WWD,True,True,True,True,True,True,True,8,92.55,True
CW,True,True,True,True,True,True,True,8,92.53,True
INSM,True,True,True,True,True,True,True,8,92.48,True
CTOS,True,True,True,True,True,True,True,8,92.47,True
LQDA,True,True,True,True,True,True,True,8,92.41,True
CX,True,True,True,True,True,True,True,8,92.35,True
SHLD,True,True,True,True,True,True,True,8,92.31,True
ARKQ,True,True,True,True,True,True,True,8,92.25,True
DNA,True,True,True,True,True,True,True,8,92.19,True
FNGO,True,True,True,True,True,True,True,8,92.15,True
SENEB,True,True,True,True,True,True,True,8,92.14,True
SENEA,True,True,True,True,True,True,True,8,92.13,True
AAME,True,True,True,True,True,True,True,8,92.09,True
SPRX,True,True,True,True,True,True,True,8,92.07,True
BWMN,True,True,True,True,True,True,True,8,92.06,True
EBAY,True,True,True,True,True,True,True,8,91.98,True
VIK,True,True,True,True,True,True,True,8,91.93,True
FNGG,True,True,True,True,True,True,True,8,91.83,True
GE,True,True,True,True,True,True,True,8,91.79,True
PSIL,True,True,True,True,True,True,True,8,91.76,True
SHOP,True,True,True,True,True,True,True,8,91.74,True
SSBI,True,True,True,True,True,True,True,8,91.7,True
LLYVK,True,True,True,True,True,True,True,8,91.66,True
DLTR,True,True,True,True,True,True,True,8,91.61,True
BWEB,True,True,True,True,True,True,True,8,91.57,True
LLYVA,True,True,True,True,True,True,True,8,91.55,True
BBVA,True,True,True,True,True,True,True,8,91.5,True
GTX,True,True,True,True,True,True,True,8,91.46,True
FSS,True,True,True,True,True,True,True,8,91.4,True
GLW,True,True,True,True,True,True,True,8,91.36,True
MYRG,True,True,True,True,True,True,True,8,91.34,True
RL,True,True,True,True,True,True,True,8,91.3,True
KGC,True,True,True,True,True,True,True,8,91.28,True
ZLAB,True,True,True,True,True,True,True,8,91.27,True
X,True,True,True,True,True,True,True,8,91.23,True
BCS,True,True,True,True,True,True,True,8,91.2,True
ONC,True,True,True,True,True,True,True,8,91.19,True
