symbol,has_image,vcp_detected,vcp_confidence,cup_handle_detected,cup_handle_confidence,detection_date,error
PARR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TIGO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CMP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CALX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ALG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SIMO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
KGC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
UPST,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WW,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GLYC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SPRC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SNSE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ORLA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
STEM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
INUV,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CFSB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PASG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GTES,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
INDP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
KTOS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SLE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BOLT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TMCWW,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
JFBR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
KULR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TRUG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BREA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
INKT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
LIXTW,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DBVT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ABVE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RAPT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TOI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AIMD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WPM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TMC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PRCH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ROMA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SVT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NAK,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WRBY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CNVS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ARTL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VIGL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
