symbol,data_available,image_generated,vcp_detected,vcp_confidence,vcp_confidence_level,vcp_dimensional_scores,cup_handle_detected,cup_handle_confidence,cup_handle_confidence_level,cup_handle_dimensional_scores,processing_date
PXLW,True,True,False,0.519,Low,"{'technical_quality': 0.25, 'volume_confirmation': np.float64(0.39626449735880964), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.76,Medium,"{'technical_quality': 0.45, 'volume_confirmation': 1.0, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:08
LOUP,True,True,True,0.666,Medium,"{'technical_quality': np.float64(0.7467101398390441), 'volume_confirmation': np.float64(0.29065398515983515), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.88,High,"{'technical_quality': 0.75, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:08
AYRO,True,True,True,0.666,Medium,"{'technical_quality': 0.25, 'volume_confirmation': np.float64(0.8866972647161357), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.68,Medium,"{'technical_quality': 0.30000000000000004, 'volume_confirmation': 1.0, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:09
IKNA,True,True,False,0.575,Low,"{'technical_quality': 0.6285714285714286, 'volume_confirmation': np.float64(0.0780846535677031), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.62,Medium,"{'technical_quality': 0.6, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:09
FLYE,True,True,False,0.4,Low,"{'technical_quality': 0.16000000000000003, 'volume_confirmation': np.float64(0.12010964474811195), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.64,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:10
ABVX,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.66,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:10
RAPT,True,True,False,0.575,Low,"{'technical_quality': np.float64(0.30526202932155866), 'volume_confirmation': np.float64(0.6108161087132999), 'temporal_validity': 1.0, 'market_context': 0.7}",False,0.59,Low,"{'technical_quality': 0.5, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:10
TGEN,True,True,False,0.377,None,"{'technical_quality': np.float64(0.19243470912315191), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.76,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.6, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:11
FIG,True,True,False,0.445,Low,"{'technical_quality': np.float64(0.4637196981220506), 'volume_confirmation': 0.0, 'temporal_validity': 0.8, 'market_context': 1.0}",False,0.48,Low,"{'technical_quality': 0.55, 'volume_confirmation': 0.0, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:11
UTES,True,True,True,0.635,Medium,"{'technical_quality': np.float64(0.8559586870646684), 'volume_confirmation': np.float64(0.04091442283396446), 'temporal_validity': 0.9, 'market_context': 1.0}",True,0.8,High,"{'technical_quality': 0.8, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:12
ZEPP,True,True,False,0.5,Low,"{'technical_quality': np.float64(0.17133854335719073), 'volume_confirmation': np.float64(0.43952189336580716), 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.48,Low,"{'technical_quality': 0.4, 'volume_confirmation': 0.2, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:12
TOI,True,True,False,0.577,Low,"{'technical_quality': np.float64(0.3650881276265172), 'volume_confirmation': np.float64(0.4360246411523916), 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.52,Low,"{'technical_quality': 0.5, 'volume_confirmation': 0.2, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:13
ODDS,True,True,True,0.681,Medium,"{'technical_quality': np.float64(0.43513122264855664), 'volume_confirmation': np.float64(0.7552662149261034), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.88,High,"{'technical_quality': 0.75, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:13
GSIB,True,True,True,0.691,Medium,"{'technical_quality': np.float64(0.4362225749027838), 'volume_confirmation': np.float64(0.8213582327249004), 'temporal_validity': 1.0, 'market_context': 0.7}",True,0.69,Medium,"{'technical_quality': 0.7000000000000001, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 0.8, 'market_context': 0.7}",2025-08-01 23:23:14
TSSI,True,True,False,0.425,Low,"{'technical_quality': np.float64(0.2917117428003616), 'volume_confirmation': np.float64(0.19499922746958337), 'temporal_validity': 1.0, 'market_context': 0.5}",False,0.49,Low,"{'technical_quality': 0.45, 'volume_confirmation': 0.2, 'temporal_validity': 1.0, 'market_context': 0.5}",2025-08-01 23:23:14
SVT,True,True,False,0.453,Low,"{'technical_quality': np.float64(0.04198761317547087), 'volume_confirmation': np.float64(0.619114490862065), 'temporal_validity': 0.8999999999999999, 'market_context': 0.7}",False,0.49,Low,"{'technical_quality': 0.25, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:14
ITA,True,True,False,0.502,Low,"{'technical_quality': np.float64(0.577161591962134), 'volume_confirmation': np.float64(0.1377318357802894), 'temporal_validity': 0.7, 'market_context': 0.8999999999999999}",False,0.53,Low,"{'technical_quality': 0.6, 'volume_confirmation': 0.2, 'temporal_validity': 0.7, 'market_context': 0.8999999999999999}",2025-08-01 23:23:15
PSIX,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",2025-08-01 23:23:15
PWRD,True,True,False,0.508,Low,"{'technical_quality': np.float64(0.41223435331741665), 'volume_confirmation': np.float64(0.27661803742048985), 'temporal_validity': 0.8, 'market_context': 1.0}",True,0.6,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:16
DAVE,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",2025-08-01 23:23:16
OKLO,True,True,False,0.483,Low,"{'technical_quality': np.float64(0.5256571019757984), 'volume_confirmation': np.float64(0.10841099551408898), 'temporal_validity': 0.7, 'market_context': 1.0}",False,0.56,Low,"{'technical_quality': 0.8, 'volume_confirmation': 0.0, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:23:17
CDTX,True,True,True,0.64,Medium,"{'technical_quality': np.float64(0.30044556967817715), 'volume_confirmation': np.float64(0.7996311986739879), 'temporal_validity': 0.8999999999999999, 'market_context': 1.0}",True,0.68,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:17
RKLB,True,True,False,0.523,Low,"{'technical_quality': np.float64(0.33154795087360545), 'volume_confirmation': np.float64(0.4687188276537022), 'temporal_validity': 0.9, 'market_context': 0.7}",True,0.67,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:18
MP,True,True,False,0.413,Low,"{'technical_quality': np.float64(0.11931519381268547), 'volume_confirmation': np.float64(0.2845649238363923), 'temporal_validity': 0.8999999999999999, 'market_context': 1.0}",False,0.48,Low,"{'technical_quality': 0.55, 'volume_confirmation': 0.0, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:18
FOSLL,True,True,True,0.743,Medium,"{'technical_quality': np.float64(0.7576257056174649), 'volume_confirmation': np.float64(0.5008323831163811), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.87,High,"{'technical_quality': 0.75, 'volume_confirmation': 1.0, 'temporal_validity': 0.9000000000000001, 'market_context': 0.8999999999999999}",2025-08-01 23:23:18
SMR,True,True,False,0.48,Low,"{'technical_quality': np.float64(0.3223105031085461), 'volume_confirmation': np.float64(0.20263872203701855), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",False,0.55,Low,"{'technical_quality': 0.8, 'volume_confirmation': 0.0, 'temporal_validity': 0.7, 'market_context': 0.8999999999999999}",2025-08-01 23:23:19
HOOD,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.73,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",2025-08-01 23:23:19
RSI,True,True,True,0.609,Medium,"{'technical_quality': np.float64(0.679226442225611), 'volume_confirmation': np.float64(0.12357392903014582), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.74,Medium,"{'technical_quality': 0.4, 'volume_confirmation': 1.0, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:20
VNAM,True,True,True,0.772,Medium,"{'technical_quality': np.float64(0.866417922564943), 'volume_confirmation': np.float64(0.4515564948311718), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.65,Medium,"{'technical_quality': 0.7000000000000001, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 0.8999999999999999}",2025-08-01 23:23:20
ATAI,True,True,True,0.751,Medium,"{'technical_quality': np.float64(0.7298049931471956), 'volume_confirmation': np.float64(0.565120477531439), 'temporal_validity': 1.0, 'market_context': 0.9}",True,0.83,High,"{'technical_quality': 0.6, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.9}",2025-08-01 23:23:21
VERV,True,True,True,0.718,Medium,"{'technical_quality': np.float64(0.7496400640635983), 'volume_confirmation': np.float64(0.6954097718023657), 'temporal_validity': 0.8, 'market_context': 0.5}",False,0.29,None,"{'technical_quality': 0.25, 'volume_confirmation': 0.0, 'temporal_validity': 0.7, 'market_context': 0.5}",2025-08-01 23:23:21
CRDO,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.7,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:22
VIGL,True,True,True,0.608,Medium,"{'technical_quality': np.float64(0.717884071602796), 'volume_confirmation': np.float64(0.20423421763694424), 'temporal_validity': 1.0, 'market_context': 0.6}",True,0.64,Medium,"{'technical_quality': 0.5, 'volume_confirmation': 0.6, 'temporal_validity': 1.0, 'market_context': 0.6}",2025-08-01 23:23:22
CPSH,True,True,False,0.541,Low,"{'technical_quality': np.float64(0.34705623773190053), 'volume_confirmation': np.float64(0.439744398523951), 'temporal_validity': 1.0, 'market_context': 0.7}",True,0.75,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.6, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:22
CTBB,True,True,True,0.715,Medium,"{'technical_quality': np.float64(0.8176731146776137), 'volume_confirmation': np.float64(0.2925310004492147), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.86,High,"{'technical_quality': 0.7000000000000001, 'volume_confirmation': 1.0, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:23
TZUP,True,True,False,0.568,Low,"{'technical_quality': np.float64(0.3649538039133755), 'volume_confirmation': np.float64(0.4745085144556712), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",False,0.42,Low,"{'technical_quality': 0.5, 'volume_confirmation': 0.0, 'temporal_validity': 0.7, 'market_context': 0.7999999999999999}",2025-08-01 23:23:23
JOBY,True,True,False,0.442,Low,"{'technical_quality': np.float64(0.3562580635717288), 'volume_confirmation': np.float64(0.06457660199548368), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.62,Medium,"{'technical_quality': 0.7000000000000001, 'volume_confirmation': 0.2, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:23:24
SOCL,True,True,True,0.644,Medium,"{'technical_quality': np.float64(0.38181347611644356), 'volume_confirmation': np.float64(0.7388857528823318), 'temporal_validity': 1.0, 'market_context': 0.7}",True,0.65,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:24
SATX,True,True,True,0.759,Medium,"{'technical_quality': np.float64(0.6638850355206907), 'volume_confirmation': np.float64(0.7126366841389429), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.72,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.6, 'temporal_validity': 0.8, 'market_context': 0.8}",2025-08-01 23:23:25
ROKT,True,True,False,0.584,Low,"{'technical_quality': np.float64(0.8091828249416789), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.6}",True,0.86,High,"{'technical_quality': 0.75, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.6}",2025-08-01 23:23:25
PGY,True,True,False,0.386,None,"{'technical_quality': np.float64(0.2590803953927172), 'volume_confirmation': np.float64(0.042389484001738344), 'temporal_validity': 1.0, 'market_context': 0.7}",True,0.79,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.8, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:26
VRNA,True,True,False,0.586,Low,"{'technical_quality': np.float64(0.5687872501724105), 'volume_confirmation': np.float64(0.3953377925113485), 'temporal_validity': 0.7, 'market_context': 1.0}",True,0.62,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.4, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:26
DIST,True,True,True,0.8,Medium,"{'technical_quality': np.float64(0.6498774106156676), 'volume_confirmation': np.float64(0.9), 'temporal_validity': 0.8999999999999999, 'market_context': 0.9}",True,0.65,Medium,"{'technical_quality': 0.5, 'volume_confirmation': 0.6, 'temporal_validity': 0.9000000000000001, 'market_context': 0.9}",2025-08-01 23:23:26
BE,True,True,False,0.43,Low,"{'technical_quality': np.float64(0.37385034492439767), 'volume_confirmation': 0.0, 'temporal_validity': 0.9, 'market_context': 1.0}",True,0.62,Medium,"{'technical_quality': 0.5, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:27
ASTS,True,True,False,0.474,Low,"{'technical_quality': np.float64(0.3242549986652991), 'volume_confirmation': np.float64(0.3151694134316524), 'temporal_validity': 0.8999999999999999, 'market_context': 0.7}",True,0.61,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:27
RBLX,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",2025-08-01 23:23:28
GHM,True,True,False,0.564,Low,"{'technical_quality': np.float64(0.35945484425738433), 'volume_confirmation': np.float64(0.4683499239654386), 'temporal_validity': 0.9, 'market_context': 1.0}",True,0.86,High,"{'technical_quality': 0.8, 'volume_confirmation': 0.8, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:28
KEP,True,True,False,0.582,Low,"{'technical_quality': np.float64(0.3964079829558489), 'volume_confirmation': np.float64(0.5115805714391162), 'temporal_validity': 1.0, 'market_context': 0.7}",False,0.55,Low,"{'technical_quality': 0.7, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:29
VIOT,True,True,False,0.559,Low,"{'technical_quality': np.float64(0.4226796086457163), 'volume_confirmation': np.float64(0.40060796662021936), 'temporal_validity': 1.0, 'market_context': 0.7}",True,0.69,Medium,"{'technical_quality': 0.35, 'volume_confirmation': 1.0, 'temporal_validity': 0.9000000000000001, 'market_context': 0.7}",2025-08-01 23:23:29
XGN,True,True,False,0.534,Low,"{'technical_quality': np.float64(0.584336872593823), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.54,Low,"{'technical_quality': 0.45, 'volume_confirmation': 0.4, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:23:30
FORD,True,True,True,0.612,Medium,"{'technical_quality': np.float64(0.5724436292704146), 'volume_confirmation': np.float64(0.2762200342465753), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.66,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.4, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:23:30
FCA,True,True,True,0.623,Medium,"{'technical_quality': np.float64(0.8333979264263682), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.65,Medium,"{'technical_quality': 0.7000000000000001, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 0.8999999999999999}",2025-08-01 23:23:30
WLDN,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.74,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.6, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:31
BETZ,True,True,True,0.628,Medium,"{'technical_quality': np.float64(0.8060840104747293), 'volume_confirmation': np.float64(0.15190880169671261), 'temporal_validity': 1.0, 'market_context': 0.6}",True,0.68,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.6}",2025-08-01 23:23:31
OSS,True,True,False,0.524,Low,"{'technical_quality': np.float64(0.37064717750040344), 'volume_confirmation': np.float64(0.3508195513289515), 'temporal_validity': 1.0, 'market_context': 0.7}",True,0.71,Medium,"{'technical_quality': 0.35, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.7}",2025-08-01 23:23:32
IAI,True,True,False,0.486,Low,"{'technical_quality': np.float64(0.5848849327738002), 'volume_confirmation': np.float64(0.041314373558800924), 'temporal_validity': 0.8, 'market_context': 0.8}",True,0.9,High,"{'technical_quality': 0.8, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:32
ISSC,True,True,False,0.51,Low,"{'technical_quality': np.float64(0.4178508122490887), 'volume_confirmation': np.float64(0.17601810635226178), 'temporal_validity': 1.0, 'market_context': 0.9}",True,0.87,High,"{'technical_quality': 0.7, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.9}",2025-08-01 23:23:33
THM,True,True,False,0.531,Low,"{'technical_quality': np.float64(0.4624836496492293), 'volume_confirmation': np.float64(0.15439318798540283), 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.48,Low,"{'technical_quality': 0.55, 'volume_confirmation': 0.0, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:33
IQM,True,True,False,0.586,Low,"{'technical_quality': np.float64(0.7641722075598429), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.72,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:34
TLN,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.56,Low,"{'technical_quality': 0.5, 'volume_confirmation': 0.4, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:23:34
ARTY,True,True,False,0.545,Low,"{'technical_quality': np.float64(0.5927442656979542), 'volume_confirmation': np.float64(0.02616631659911842), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.72,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:34
LASR,True,True,False,0.491,Low,"{'technical_quality': np.float64(0.33069292707158005), 'volume_confirmation': np.float64(0.26131111194618767), 'temporal_validity': 0.9, 'market_context': 1.0}",False,0.58,Low,"{'technical_quality': 0.7, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:35
DOMO,True,True,False,0.48,Low,"{'technical_quality': np.float64(0.41457285151042467), 'volume_confirmation': np.float64(0.11231584836294856), 'temporal_validity': 0.9, 'market_context': 1.0}",False,0.52,Low,"{'technical_quality': 0.55, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:35
ONLN,True,True,True,0.642,Medium,"{'technical_quality': np.float64(0.8801210468395271), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.9}",True,0.63,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.2, 'temporal_validity': 1.0, 'market_context': 0.9}",2025-08-01 23:23:36
ASPI,True,True,False,0.412,Low,"{'technical_quality': np.float64(0.33119148327456815), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.78,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.8, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:23:36
ONC,True,True,False,0.478,Low,"{'technical_quality': np.float64(0.5958595977434776), 'volume_confirmation': 0.0, 'temporal_validity': 0.7, 'market_context': 1.0}",True,0.68,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:37
UCL,True,True,False,0.426,Low,"{'technical_quality': np.float64(0.34075132647102857), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.69,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",2025-08-01 23:23:37
IOBT,True,True,False,0.428,Low,"{'technical_quality': np.float64(0.3208644593542345), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.78,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.8, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:23:38
KTOS,True,True,True,0.703,Medium,"{'technical_quality': np.float64(0.7046504735146434), 'volume_confirmation': np.float64(0.4384602757970279), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.61,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 0.7, 'market_context': 0.8999999999999999}",2025-08-01 23:23:38
PVLA,True,True,False,0.554,Low,"{'technical_quality': np.float64(0.36273767314077926), 'volume_confirmation': np.float64(0.3966019438571827), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.61,Medium,"{'technical_quality': 0.5, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 0.7, 'market_context': 0.8999999999999999}",2025-08-01 23:23:38
MGRM,True,True,False,0.561,Low,"{'technical_quality': np.float64(0.3819647970826266), 'volume_confirmation': np.float64(0.42640166585654193), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.78,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 1.0, 'temporal_validity': 0.8999999999999999, 'market_context': 0.7999999999999999}",2025-08-01 23:23:39
GOGO,True,True,True,0.771,Medium,"{'technical_quality': np.float64(0.7672023470196639), 'volume_confirmation': np.float64(0.6460617140780684), 'temporal_validity': 1.0, 'market_context': 0.7}",False,0.53,Low,"{'technical_quality': 0.8, 'volume_confirmation': 0.0, 'temporal_validity': 0.7, 'market_context': 0.7}",2025-08-01 23:23:39
FNGS,True,True,True,0.662,Medium,"{'technical_quality': np.float64(0.7807331879885071), 'volume_confirmation': np.float64(0.23269169507832724), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.9,High,"{'technical_quality': 0.8, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:40
SOFI,True,True,True,0.603,Medium,"{'technical_quality': np.float64(0.7018145738847874), 'volume_confirmation': np.float64(0.07357196555937381), 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.56,Low,"{'technical_quality': 0.55, 'volume_confirmation': 0.2, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:40
ELVA,True,True,False,0.444,Low,"{'technical_quality': np.float64(0.35934154766261683), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.76,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.6, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:41
FARO,True,True,True,0.637,Medium,"{'technical_quality': np.float64(0.7608015189393541), 'volume_confirmation': np.float64(0.17402188417400588), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.64,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.2, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:41
NET,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.66,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 0.8, 'market_context': 1.0}",2025-08-01 23:23:41
ICAD,True,True,True,0.615,Medium,"{'technical_quality': np.float64(0.6066845527558206), 'volume_confirmation': np.float64(0.34231528235373543), 'temporal_validity': 1.0, 'market_context': 0.7}",True,0.65,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.6, 'temporal_validity': 0.9000000000000001, 'market_context': 0.7}",2025-08-01 23:23:42
LTL,True,True,True,0.616,Medium,"{'technical_quality': np.float64(0.8803572937103145), 'volume_confirmation': np.float64(0.07874370807355209), 'temporal_validity': 1.0, 'market_context': 0.4}",True,0.64,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.4}",2025-08-01 23:23:42
INOD,True,True,False,0.597,Low,"{'technical_quality': np.float64(0.5955104118605314), 'volume_confirmation': np.float64(0.1945920388304573), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.72,Medium,"{'technical_quality': 0.45, 'volume_confirmation': 0.8, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:23:43
AGX,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",2025-08-01 23:23:43
FFTY,True,True,True,0.64,Medium,"{'technical_quality': np.float64(0.8343770569515897), 'volume_confirmation': np.float64(0.08894789246598075), 'temporal_validity': 1.0, 'market_context': 0.8}",True,0.84,High,"{'technical_quality': 0.6499999999999999, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:23:44
WGS,True,True,False,0.471,Low,"{'technical_quality': np.float64(0.37260219601411954), 'volume_confirmation': np.float64(0.20604937157629571), 'temporal_validity': 0.8, 'market_context': 1.0}",False,0.5,Low,"{'technical_quality': 0.4, 'volume_confirmation': 0.2, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:23:44
