symbol,data_available,image_generated,vcp_detected,vcp_confidence,vcp_confidence_level,vcp_dimensional_scores,cup_handle_detected,cup_handle_confidence,cup_handle_confidence_level,cup_handle_dimensional_scores,processing_date
ARKF,True,True,False,0.599,Low,"{'technical_quality': np.float64(0.7640854033695994), 'volume_confirmation': np.float64(0.044077300190401944), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.7,Medium,"{'technical_quality': 0.75, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:37
AIBU,True,True,False,0.586,Low,"{'technical_quality': np.float64(0.6911414552795575), 'volume_confirmation': np.float64(0.09683022145028224), 'temporal_validity': 0.9, 'market_context': 1.0}",True,0.6,Medium,"{'technical_quality': 0.45, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:38
SCC,True,True,True,0.691,Medium,"{'technical_quality': np.float64(0.671211482009912), 'volume_confirmation': np.float64(0.6088785894903173), 'temporal_validity': 1.0, 'market_context': 0.4}",True,0.6,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 0.8, 'market_context': 0.4}",2025-08-01 23:22:38
XTKG,True,True,True,0.621,Medium,"{'technical_quality': np.float64(0.2936751636760243), 'volume_confirmation': np.float64(0.676896986968867), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.68,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:38
BTFX,True,True,True,0.661,Medium,"{'technical_quality': np.float64(0.8396439079566073), 'volume_confirmation': np.float64(0.15033947623666344), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.68,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:39
BTCL,True,True,True,0.716,Medium,"{'technical_quality': np.float64(0.8845505766013197), 'volume_confirmation': np.float64(0.27510041022153053), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.86,High,"{'technical_quality': 0.7, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:39
DALN,True,True,False,0.533,Low,"{'technical_quality': np.float64(0.30335036147369754), 'volume_confirmation': np.float64(0.37318955052629826), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.72,Medium,"{'technical_quality': 0.45, 'volume_confirmation': 1.0, 'temporal_validity': 0.7, 'market_context': 1.0}",2025-08-01 23:22:40
BITU,True,True,True,0.721,Medium,"{'technical_quality': np.float64(0.8851441221415612), 'volume_confirmation': np.float64(0.29131717184179223), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.68,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:40
WEBL,True,True,True,0.731,Medium,"{'technical_quality': np.float64(0.7945897487519173), 'volume_confirmation': np.float64(0.4443188280332048), 'temporal_validity': 1.0, 'market_context': 0.8}",False,0.54,Low,"{'technical_quality': 0.35, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:22:41
TLSA,True,True,False,0.531,Low,"{'technical_quality': np.float64(0.39103427959402315), 'volume_confirmation': np.float64(0.2483681070041248), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.82,High,"{'technical_quality': 0.55, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:41
ARKK,True,True,False,0.483,Low,"{'technical_quality': np.float64(0.2977509772793433), 'volume_confirmation': np.float64(0.27955791666792645), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.64,Medium,"{'technical_quality': 0.6, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:42
NUKZ,True,True,False,0.569,Low,"{'technical_quality': np.float64(0.6088265472338623), 'volume_confirmation': np.float64(0.08515523888606699), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.8,High,"{'technical_quality': 0.8, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:42
ARKX,True,True,False,0.518,Low,"{'technical_quality': np.float64(0.5940037550410359), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.88,High,"{'technical_quality': 0.75, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:42
WWD,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",2025-08-01 23:22:43
GOSS,True,True,True,0.692,Medium,"{'technical_quality': np.float64(0.5495174803174669), 'volume_confirmation': np.float64(0.5724327111037756), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.62,Medium,"{'technical_quality': 0.35, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:43
SHLD,True,True,False,0.556,Low,"{'technical_quality': np.float64(0.4489647178439326), 'volume_confirmation': np.float64(0.3892955906023333), 'temporal_validity': 1.0, 'market_context': 0.6}",False,0.54,Low,"{'technical_quality': 0.6, 'volume_confirmation': 0.2, 'temporal_validity': 0.9000000000000001, 'market_context': 0.6}",2025-08-01 23:22:44
ARKQ,True,True,False,0.413,Low,"{'technical_quality': np.float64(0.37599413439031), 'volume_confirmation': np.float64(0.00999131190269331), 'temporal_validity': 0.9, 'market_context': 0.7999999999999999}",True,0.6,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:44
FNGO,True,True,False,0.588,Low,"{'technical_quality': np.float64(0.558422271346132), 'volume_confirmation': np.float64(0.4163677387006418), 'temporal_validity': 0.7999999999999999, 'market_context': 0.8}",True,0.66,Medium,"{'technical_quality': 0.65, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:22:45
