symbol,fin_met_count,rs_score,met_count,total_met_count,added_date
SLSR,0.0,94.57,8,8.0,2025-08-03
SWAG,0.0,88.7,8,8.0,2025-08-03
ARLO,0.0,91.82,8,8.0,2025-08-03
QBTS,4.0,99.36,8,12.0,2025-08-03
EPRX,0.0,95.53,8,8.0,2025-08-03
BREA,5.0,99.45,8,13.0,2025-08-03
ESGL,5.0,96.49,8,13.0,2025-08-03
COE,0.0,94.89,8,8.0,2025-08-03
CAKE,0.0,90.85,8,8.0,2025-08-03
SII,0.0,91.84,8,8.0,2025-08-03
KORU,6.0,95.35,8,14.0,2025-08-03
BZ,0.0,87.12,8,8.0,2025-08-03
SLND,0.0,88.0,8,8.0,2025-08-03
BLBX,0.0,97.92,8,8.0,2025-08-03
IMMX,0.0,90.7,8,8.0,2025-08-03
BITX,6.0,91.94,8,14.0,2025-08-03
EIS,6.0,86.73,8,14.0,2025-08-03
SPTN,0.0,89.48,8,8.0,2025-08-03
BA,0.0,87.05,8,8.0,2025-08-03
AAP,0.0,89.09,8,8.0,2025-08-03
WF,0.0,93.32,8,8.0,2025-08-03
NVMI,5.0,88.68,8,13.0,2025-08-03
SSSS,0.0,96.04,8,8.0,2025-08-03
COF,0.0,85.15,8,8.0,2025-08-03
PZG,0.0,92.43,8,8.0,2025-08-03
FTEK,0.0,98.06,8,8.0,2025-08-03
NYC,0.0,89.74,8,8.0,2025-08-03
ATAT,0.0,92.22,8,8.0,2025-08-03
TGB,0.0,92.05,8,8.0,2025-08-03
HWM,0.0,93.17,8,8.0,2025-08-03
KFS,0.0,94.75,8,8.0,2025-08-03
YSG,0.0,97.63,8,8.0,2025-08-03
LMB,0.0,94.95,8,8.0,2025-08-03
CMCL,4.0,94.67,8,12.0,2025-08-03
APEI,0.0,92.52,8,8.0,2025-08-03
ARMN,0.0,93.62,8,8.0,2025-08-03
SGHC,0.0,96.22,8,8.0,2025-08-03
GFI,5.0,89.25,8,13.0,2025-08-03
SBSW,5.0,96.42,8,13.0,2025-08-03
BOSC,4.0,92.37,8,12.0,2025-08-03
ARQT,0.0,86.32,8,8.0,2025-08-03
CAR,5.0,96.1,8,13.0,2025-08-03
STRT,5.0,96.46,8,13.0,2025-08-03
PLTM,6.0,89.26,8,14.0,2025-08-03
SEDG,0.0,95.19,8,8.0,2025-08-03
VIV,0.0,85.28,8,8.0,2025-08-03
AP,0.0,95.07,8,8.0,2025-08-03
FGEN,0.0,99.82,8,8.0,2025-08-03
EWO,6.0,85.75,8,14.0,2025-08-03
PPLT,6.0,89.23,8,14.0,2025-08-03
EPOL,6.0,86.3,8,14.0,2025-08-03
GILT,0.0,88.84,8,8.0,2025-08-03
INUV,0.0,99.78,8,8.0,2025-08-03
PL,0.0,96.77,8,8.0,2025-08-03
CYD,5.0,96.31,8,13.0,2025-08-03
PRA,0.0,91.22,8,8.0,2025-08-03
PTGX,0.0,87.03,8,8.0,2025-08-03
MGTX,0.0,85.19,8,8.0,2025-08-03
MOMO,0.0,87.14,8,8.0,2025-08-03
USAS,0.0,97.15,8,8.0,2025-08-03
ZK,0.0,87.22,8,8.0,2025-08-03
CASY,0.0,85.21,8,8.0,2025-08-03
ODC,0.0,92.65,8,8.0,2025-08-03
PBPB,0.0,91.35,8,8.0,2025-08-03
IBEX,0.0,91.31,8,8.0,2025-08-03
TMQ,0.0,93.98,8,8.0,2025-08-03
THTX,0.0,96.0,8,8.0,2025-08-03
MTW,0.0,89.75,8,8.0,2025-08-03
IZRL,6.0,87.41,8,14.0,2025-08-03
