Symbol,Company_Name,VCP_Pattern,Cup_Handle_Pattern,Both_Patterns,Current_Price,Analysis_Date,Data_Points,symbol,fin_met_count,has_error,rs_score,rs_percentile,fin_percentile,total_percentile
SIJ,,True,False,False,12.34000015258789,2025-08-03,249,SIJ,6.0,False,92.85,55.95026642984015,73.8425925925926,129.79285902243274
OKYO,,True,False,False,3.0999999046325684,2025-08-03,249,OKYO,5.0,False,97.37,87.38898756660745,38.657407407407405,126.04639497401486
FNGO,,True,False,False,107.44000244140625,2025-08-03,249,FNGO,6.0,False,92.15,51.68738898756661,73.8425925925926,125.5299815801592
PMEC,,True,False,False,1.4800000190734863,2025-08-03,249,PMEC,5.0,False,96.73,82.59325044404974,38.657407407407405,121.25065785145716
STRT,,True,False,False,62.04999923706055,2025-08-03,249,STRT,5.0,False,96.46,80.81705150976909,38.657407407407405,119.47445891717648
IBIT,,True,False,False,64.22000122070312,2025-08-03,249,IBIT,6.0,False,91.0,41.91829484902309,73.8425925925926,115.7608874416157
GBTC,,True,False,False,88.88999938964844,2025-08-03,249,GBTC,6.0,False,90.86,40.67495559502664,73.8425925925926,114.51754818761924
ATRO,,True,False,False,34.2599983215332,2025-08-03,249,ATRO,5.0,False,95.66,74.60035523978685,38.657407407407405,113.25776264719426
GREK,,True,False,False,60.34000015258789,2025-08-03,249,GREK,6.0,False,90.64,38.898756660746,73.8425925925926,112.7413492533386
VNM,,True,False,False,15.949999809265137,2025-08-03,249,VNM,6.0,False,89.93,34.63587921847247,73.8425925925926,108.47847181106506
OCFT,,True,False,False,7.380000114440918,2025-08-03,249,OCFT,4.0,False,97.76,88.98756660746004,14.814814814814811,103.80238142227483
TMAT,,True,False,False,23.94499969482422,2025-08-03,249,TMAT,6.0,False,89.01,26.99822380106572,73.8425925925926,100.84081639365832
ESPO,,True,False,False,106.13999938964844,2025-08-03,249,ESPO,6.0,False,88.99,26.642984014209592,73.8425925925926,100.48557660680218
EYE,,True,False,False,24.209999084472656,2025-08-03,249,EYE,4.0,False,96.83,83.48134991119005,14.814814814814811,98.29616472600486
ZEPP,,True,False,False,13.0,2025-08-03,249,ZEPP,0.0,True,99.02,96.26998223801066,0.0,96.26998223801066
TOI,,True,False,False,3.7300000190734863,2025-08-03,249,TOI,0.0,True,99.01,96.0923623445826,0.0,96.0923623445826
GSIB,,True,False,False,44.08599853515625,2025-08-03,249,GSIB,6.0,False,88.22,21.6696269982238,73.8425925925926,95.5122195908164
RKLB,,True,False,False,44.810001373291016,2025-08-03,249,RKLB,0.0,True,98.64,93.78330373001776,0.0,93.78330373001776
JOBY,,True,False,False,17.15999984741211,2025-08-03,249,JOBY,0.0,True,98.03,91.29662522202486,0.0,91.29662522202486
FORD,,True,False,False,12.140000343322754,2025-08-03,249,FORD,0.0,True,97.74,88.63232682060391,0.0,88.63232682060391
YSG,,True,False,False,8.6899995803833,2025-08-03,249,YSG,0.0,True,97.63,88.45470692717583,0.0,88.45470692717583
PRPO,,True,False,False,14.460000038146973,2025-08-03,249,PRPO,0.0,True,97.6,88.09946714031972,0.0,88.09946714031972
AZ,,True,False,False,10.079999923706055,2025-08-03,249,AZ,0.0,True,97.48,87.74422735346359,0.0,87.74422735346359
ISSC,,True,False,False,15.510000228881836,2025-08-03,249,ISSC,0.0,True,97.22,86.85612788632326,0.0,86.85612788632326
KTOS,,True,False,False,56.709999084472656,2025-08-03,249,KTOS,0.0,True,96.96,84.90230905861456,0.0,84.90230905861456
PL,,True,False,False,6.179999828338623,2025-08-03,249,PL,0.0,True,96.77,83.12611012433393,0.0,83.12611012433393
HERO,,True,False,False,31.100000381469727,2025-08-03,249,HERO,6.0,False,86.25,7.282415630550622,73.8425925925926,81.12500822314321
CFSB,,True,False,False,13.880000114440918,2025-08-03,249,CFSB,0.0,True,96.27,79.92895204262878,0.0,79.92895204262878
SGHC,,True,False,False,10.670000076293945,2025-08-03,249,SGHC,0.0,True,96.22,79.21847246891652,0.0,79.21847246891652
SSSS,,True,False,False,8.270000457763672,2025-08-03,249,SSSS,0.0,True,96.04,77.97513321492006,0.0,77.97513321492006
THTX,,True,False,False,3.1600000858306885,2025-08-03,249,THTX,0.0,True,96.0,77.797513321492,0.0,77.797513321492
BTI,,True,False,False,54.349998474121094,2025-08-03,249,BTI,5.0,False,90.66,39.07637655417407,38.657407407407405,77.73378396158148
IHS,,True,False,False,6.489999771118164,2025-08-03,249,IHS,0.0,True,95.93,77.08703374777976,0.0,77.08703374777976
ALNT,,True,False,False,38.02000045776367,2025-08-03,249,ALNT,0.0,True,95.91,76.73179396092362,0.0,76.73179396092362
MISL,,True,False,False,38.749000549316406,2025-08-03,249,MISL,6.0,False,85.47,2.841918294849023,73.8425925925926,76.68451088744162
CHN,,True,False,False,15.449999809265137,2025-08-03,249,CHN,5.0,False,90.16,35.879218472468914,38.657407407407405,74.53662587987631
BBIO,,True,False,False,47.369998931884766,2025-08-03,249,BBIO,4.0,False,93.22,58.96980461811723,14.814814814814811,73.78461943293205
MGIC,,True,False,False,20.600000381469727,2025-08-03,249,MGIC,0.0,True,95.16,71.40319715808171,0.0,71.40319715808171
WILC,,True,False,False,21.15999984741211,2025-08-03,249,WILC,0.0,True,94.94,69.80461811722914,0.0,69.80461811722914
COE,,True,False,False,30.5,2025-08-03,249,COE,0.0,True,94.89,69.44937833037301,0.0,69.44937833037301
BOSC,,True,False,False,4.869999885559082,2025-08-03,249,BOSC,4.0,False,92.37,52.753108348134994,14.814814814814811,67.56792316294981
SLSR,,True,False,False,4.840000152587891,2025-08-03,249,SLSR,0.0,True,94.57,67.14031971580818,0.0,67.14031971580818
AFRM,,True,False,False,66.41000366210938,2025-08-03,249,AFRM,0.0,True,94.55,66.96269982238012,0.0,66.96269982238012
CVAC,,True,False,False,5.409999847412109,2025-08-03,249,CVAC,0.0,True,94.54,66.78507992895204,0.0,66.78507992895204
IH,,True,False,False,2.950000047683716,2025-08-03,249,IH,0.0,True,94.46,66.25222024866785,0.0,66.25222024866785
OPOF,,True,False,False,39.869998931884766,2025-08-03,249,OPOF,0.0,True,93.82,62.87744227353463,0.0,62.87744227353463
NEXT,,True,False,False,11.100000381469727,2025-08-03,249,NEXT,0.0,True,93.8,62.699822380106575,0.0,62.699822380106575
PLYA,,True,False,False,13.479999542236328,2025-08-03,225,PLYA,5.0,False,88.57,23.978685612788635,38.657407407407405,62.63609302019604
RYTM,,True,False,False,88.30000305175781,2025-08-03,249,RYTM,0.0,True,93.57,61.45648312611013,0.0,61.45648312611013
SOC,,True,False,False,29.6200008392334,2025-08-03,249,SOC,0.0,True,93.36,59.85790408525755,0.0,59.85790408525755
DHX,,True,False,False,2.619999885559082,2025-08-03,249,DHX,0.0,True,93.35,59.68028419182948,0.0,59.68028419182948
LANV,,True,False,False,2.3299999237060547,2025-08-03,249,LANV,5.0,False,88.11,20.24866785079929,38.657407407407405,58.9060752582067
SLNO,,True,False,False,86.0,2025-08-03,249,SLNO,0.0,True,92.96,56.48312611012434,0.0,56.48312611012434
ACAD,,True,False,False,23.530000686645508,2025-08-03,249,ACAD,0.0,True,92.94,56.305506216696266,0.0,56.305506216696266
U,,True,False,False,31.829999923706055,2025-08-03,249,U,4.0,False,90.71,39.60923623445826,14.814814814814811,54.42405104927308
APEI,,True,False,False,29.3700008392334,2025-08-03,249,APEI,0.0,True,92.52,53.818827708703374,0.0,53.818827708703374
XERS,,True,False,False,5.380000114440918,2025-08-03,249,XERS,0.0,True,92.44,53.285968028419184,0.0,53.285968028419184
SENEA,,True,False,False,103.44000244140625,2025-08-03,249,SENEA,0.0,True,92.13,51.33214920071048,0.0,51.33214920071048
TCI,,True,False,False,39.779998779296875,2025-08-03,249,TCI,0.0,True,91.65,47.60213143872114,0.0,47.60213143872114
WRBY,,True,False,False,23.600000381469727,2025-08-03,249,WRBY,4.0,False,89.56,32.149200710479576,14.814814814814811,46.96401552529439
BBVA,,True,False,False,16.65999984741211,2025-08-03,249,BBVA,0.0,True,91.5,46.53641207815276,0.0,46.53641207815276
SAND,,True,False,False,9.430000305175781,2025-08-03,249,SAND,0.0,True,91.24,44.58259325044405,0.0,44.58259325044405
X,,True,False,False,54.84000015258789,2025-08-03,219,X,0.0,True,91.23,44.40497335701599,0.0,44.40497335701599
OR,,True,False,False,27.940000534057617,2025-08-03,249,OR,0.0,True,90.33,37.12255772646537,0.0,37.12255772646537
RBKB,,True,False,False,12.399999618530273,2025-08-03,249,RBKB,4.0,False,88.13,20.603907637655418,14.814814814814811,35.418722452470234
KAR,,True,False,False,24.329999923706055,2025-08-03,249,KAR,0.0,True,89.99,35.168738898756665,0.0,35.168738898756665
OLLI,,True,False,False,138.0399932861328,2025-08-03,249,OLLI,0.0,True,89.8,33.92539964476021,0.0,33.92539964476021
WOR,,True,False,False,61.5099983215332,2025-08-03,249,WOR,0.0,True,89.7,32.859680284191825,0.0,32.859680284191825
USFD,,True,False,False,83.27999877929688,2025-08-03,249,USFD,0.0,True,89.2,28.95204262877442,0.0,28.95204262877442
AZZ,,True,False,False,106.31999969482422,2025-08-03,249,AZZ,0.0,True,89.06,27.708703374777976,0.0,27.708703374777976
WNS,,True,False,False,74.81999969482422,2025-08-03,249,WNS,0.0,True,88.93,26.287744227353464,0.0,26.287744227353464
NCSM,,True,False,False,31.639999389648438,2025-08-03,249,NCSM,4.0,False,86.59,9.94671403197158,14.814814814814811,24.761528846786398
PFGC,,True,False,False,100.5,2025-08-03,249,PFGC,4.0,False,86.49,9.41385435168739,14.814814814814811,24.2286691665022
MRCY,,True,False,False,52.16999816894531,2025-08-03,249,MRCY,0.0,True,88.58,24.156305506216697,0.0,24.156305506216697
MCRI,,True,False,False,101.5,2025-08-03,249,MCRI,0.0,True,88.21,21.49200710479574,0.0,21.49200710479574
BKD,,True,False,False,7.610000133514404,2025-08-03,249,BKD,4.0,False,86.02,6.216696269982238,14.814814814814811,21.031511084797053
MGYR,,True,False,False,16.8799991607666,2025-08-03,249,MGYR,0.0,True,86.64,10.301953818827709,0.0,10.301953818827709
MFG,,True,False,False,5.840000152587891,2025-08-03,249,MFG,0.0,True,86.45,8.880994671403197,0.0,8.880994671403197
BNT,,True,False,False,65.33000183105469,2025-08-03,249,BNT,0.0,True,85.66,3.7300177619893424,0.0,3.7300177619893424
RNW,,True,False,False,7.599999904632568,2025-08-03,249,RNW,0.0,True,85.43,2.3090586145648317,0.0,2.3090586145648317
IPX,,False,False,False,37.779998779296875,2025-08-03,249,IPX,7.0,False,96.6,81.70515097690941,100.0,181.7051509769094
COMM,,False,False,False,7.789999961853027,2025-08-03,249,COMM,6.0,False,96.56,81.52753108348135,73.8425925925926,155.37012367607394
