symbol,fin_met_count,has_error,rs_score,rs_percentile,fin_percentile,total_percentile
ASPS,7.0,False,99.68,98.30246913580247,94.6969696969697,192.99943883277217
OUST,8.0,False,98.16,90.58641975308642,99.24242424242425,189.82884399551068
AEVA,6.0,False,99.49,97.37654320987654,86.61616161616162,183.99270482603816
VERV,7.0,False,97.84,88.73456790123457,94.6969696969697,183.43153759820427
OWLT,7.0,False,97.77,88.11728395061729,94.6969696969697,182.814253647587
BTM,6.0,False,98.85,94.29012345679013,86.61616161616162,180.90628507295173
CRS,8.0,False,96.31,78.24074074074075,99.24242424242425,177.483164983165
TPC,7.0,False,97.05,82.56172839506173,94.6969696969697,177.25869809203144
NEPH,6.0,False,97.48,86.26543209876543,86.61616161616162,172.88159371492705
ODD,7.0,False,96.22,77.1604938271605,94.6969696969697,171.8574635241302
JBL,7.0,False,96.01,76.08024691358025,94.6969696969697,170.77721661054994
EVLV,7.0,False,95.99,75.92592592592592,94.6969696969697,170.6228956228956
ZS,7.0,False,95.29,71.4506172839506,94.6969696969697,166.14758698092032
STRT,6.0,False,96.39,78.5493827160494,86.61616161616162,165.16554433221103
FGEN,5.0,False,99.77,98.91975308641975,65.15151515151516,164.0712682379349
CUK,8.0,False,94.2,64.19753086419753,99.24242424242425,163.43995510662177
CCL,8.0,False,94.15,63.580246913580254,99.24242424242425,162.8226711560045
QBTS,5.0,False,99.46,97.22222222222221,65.15151515151516,162.37373737373736
SEZL,5.0,False,99.39,96.75925925925925,65.15151515151516,161.91077441077442
TSSI,5.0,False,99.22,96.29629629629629,65.15151515151516,161.44781144781143
RCL,6.0,False,95.8,74.53703703703704,86.61616161616162,161.15319865319867
ESLT,6.0,False,95.21,70.83333333333334,86.61616161616162,157.44949494949498
PLTR,5.0,False,98.34,91.66666666666666,65.15151515151516,156.8181818181818
APPS,5.0,False,98.19,90.89506172839506,65.15151515151516,156.04657687991022
PL,5.0,False,98.01,89.50617283950618,65.15151515151516,154.65768799102133
XYF,5.0,False,97.8,88.58024691358025,65.15151515151516,153.7317620650954
BBIO,7.0,False,93.45,58.64197530864198,94.6969696969697,153.3389450056117
RDVT,6.0,False,94.34,65.12345679012346,86.61616161616162,151.73961840628508
MSGM,5.0,False,97.54,86.57407407407408,65.15151515151516,151.72558922558923
ISSC,5.0,False,97.37,85.3395061728395,65.15151515151516,150.49102132435468
CVNA,5.0,False,97.3,84.5679012345679,65.15151515151516,149.71941638608305
ADPT,5.0,False,97.18,83.64197530864197,65.15151515151516,148.79349046015713
TTMI,5.0,False,97.16,83.48765432098766,65.15151515151516,148.63916947250283
EYE,5.0,False,96.83,81.17283950617285,65.15151515151516,146.324354657688
GOGO,5.0,False,96.76,80.70987654320987,65.15151515151516,145.86139169472503
RDUS,7.0,False,92.43,50.77160493827161,94.6969696969697,145.4685746352413
AS,5.0,False,96.58,79.78395061728395,65.15151515151516,144.9354657687991
MDAI,5.0,False,96.27,77.77777777777779,65.15151515151516,142.92929292929296
KEP,5.0,False,96.05,76.5432098765432,65.15151515151516,141.69472502805837
TME,6.0,False,92.94,54.78395061728395,86.61616161616162,141.40011223344555
OLO,5.0,False,95.92,75.46296296296296,65.15151515151516,140.61447811447812
WWD,6.0,False,92.83,53.85802469135802,86.61616161616162,140.47418630751963
NVMI,6.0,False,92.68,52.31481481481482,86.61616161616162,138.93097643097644
SLDP,5.0,False,95.49,73.30246913580247,65.15151515151516,138.4539842873176
IESC,5.0,False,95.44,72.8395061728395,65.15151515151516,137.99102132435468
AISP,5.0,False,95.32,71.60493827160494,65.15151515151516,136.7564534231201
GHM,5.0,False,95.19,70.67901234567901,65.15151515151516,135.83052749719417
LEDS,5.0,False,95.16,70.37037037037037,65.15151515151516,135.5218855218855
BPMC,7.0,False,90.93,40.27777777777778,94.6969696969697,134.9747474747475
DASH,5.0,False,94.93,68.82716049382715,65.15151515151516,133.97867564534232
ERJ,5.0,False,94.79,67.74691358024691,65.15151515151516,132.89842873176207
NFLX,5.0,False,94.36,65.27777777777779,65.15151515151516,130.42929292929296
CMPO,5.0,False,94.0,62.5,65.15151515151516,127.65151515151516
KGC,5.0,False,93.81,61.419753086419746,65.15151515151516,126.5712682379349
CALX,5.0,False,93.74,60.95679012345679,65.15151515151516,126.10830527497194
ROAD,5.0,False,93.65,60.339506172839506,65.15151515151516,125.49102132435466
AMZE,4.0,False,99.84,99.22839506172839,24.242424242424242,123.47081930415263
TATT,5.0,False,93.39,57.870370370370374,65.15151515151516,123.02188552188554
BA,6.0,False,90.41,36.11111111111111,86.61616161616162,122.72727272727272
TGEN,4.0,False,99.36,96.60493827160494,24.242424242424242,120.84736251402919
ABVC,4.0,False,99.25,96.4506172839506,24.242424242424242,120.69304152637486
DAVE,4.0,False,99.16,95.98765432098766,24.242424242424242,120.2300785634119
