symbol,market,exchange,benchmark_symbol,mode,market_state,group_state,stock_stage,timing_state,base_high,base_low,percent_to_stage2,breakout_age_weeks,weekly_close,daily_close,ma10w,ma30w,ma40w,ma50d,ma200d,ma30w_slope_4w,ma40w_slope_4w,rp,mrs,rs_proxy,rp_ma52_slope,weekly_volume_ratio,weekly_volume_reference,overhead_reference,resistance_confidence,early_stage2_score,confidence_tier,priority_label,rejection_reason,sector,industry_group,assumption_flags,confidence_penalty_points,base_duration_weeks,base_quality_score,group_name,group_truth_source,retest_signal,retest_volume_lighter,breakout_level,breakout_date,breakout_type,continuation_setup_pass,continuation_quality_score,continuation_lifecycle_state,continuation_volume_dryup_ratio,breakout_structure_pass,close_gt_ma10w,close_gt_ma40w,close_gt_ma50d,close_gt_ma200d,ma50d_gt_ma200d,bar_end_date,industry_key,phase_bucket
TXN,us,NMS,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2B,BREAKOUT_WEEK,231.32000732421875,184.8999938964844,-16.533161904585718,0.0,277.1400146484375,277.1400146484375,210.99300079345704,191.58900095621746,190.9575008392334,209.64960083007813,191.65625076293946,0.008180219755502816,0.0018327883908126341,38.81839001887034,32.060681577728076,0.6398160473521943,0.0028313919806404186,2.3770885181743666,4w,287.8299865722656,LOW,77.65,MEDIUM,P1,,Technology,Semiconductors,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,10.0,0.9183324822082454,Semiconductors,local_proxy,False,False,231.32000732421875,2026-04-24,CONTINUATION_BREAKOUT,True,0.9635483662558116,EARLY,0.8692417051554996,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
SRBK,us,NCM,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2A,BREAKOUT_WEEK,18.18000030517578,13.550000190734863,-1.8888309147336964,0.0,18.530000686645508,18.530000686645508,17.19650001525879,16.28916670481364,15.892125010490417,17.18989986419678,15.798724937438966,0.00591241917431129,0.006359742658589962,2.5954562881026244,11.009781142911779,0.20262016128620242,0.002193926532995716,2.10780046869769,4w,18.75,LOW,76.48,MEDIUM,P1,,Financial Services,Banks - Regional,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,38.0,0.8405863758740133,Banks - Regional,local_proxy,False,False,18.18000030517578,2026-04-24,STAGE2_BREAKOUT,True,0.5943587121910688,MID,1.0709914320685434,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
CHMG,us,NMS,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2A,BREAKOUT_WEEK,65.5,43.20000076293945,-1.9901268810629598,0.0,66.83000183105469,66.83000183105469,57.14499969482422,55.503666432698566,54.64224987030029,57.09679985046387,54.535049800872805,0.0046693944318493275,0.00443283486707452,9.360730818068916,15.225705922333542,0.2600316300843537,0.0016431802775601079,2.7132616487455197,4w,70.83000183105469,LOW,76.47,MEDIUM,P1,,Financial Services,Banks - Regional,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,49.0,0.8402378758679445,Banks - Regional,local_proxy,False,False,65.5,2026-04-24,STAGE2_BREAKOUT,False,,,,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
AZZ,us,NYQ,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2B,BREAKOUT_WEEK,140.00999450683594,118.41999816894533,-2.316338018422755,0.0,143.3300018310547,143.3300018310547,130.4550003051758,117.26733373006185,116.12775020599365,130.8704000854492,115.68025009155274,0.006201826703999214,0.0072783970760594285,20.075916931523658,18.195540531607946,0.37135503881359333,0.005036359621800823,2.260625875758991,4w,147.32000732421875,LOW,76.41,MEDIUM,P1,,Industrials,Specialty Business Services,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,8.0,0.9246686986433718,Specialty Business Services,local_proxy,False,False,140.00999450683594,2026-04-24,CONTINUATION_BREAKOUT,True,0.8534751616563492,EARLY,1.0032304156053924,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
KN,us,NYQ,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2B,BREAKOUT_WEEK,29.920000076293945,23.75,-2.254167005224666,0.0,30.61000061035156,30.61000061035156,26.878000450134277,24.55233351389567,23.73875012397766,26.996200180053712,23.46685004234314,0.008874346912349507,0.011719569429972598,4.2874752087958194,26.672523517571854,0.23859180637279276,0.00837831565733771,2.5827472904712865,4w,31.950000762939453,LOW,75.55,MEDIUM,P1,,Technology,Electronic Components,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,9.0,0.8284898838115123,Electronic Components,local_proxy,False,False,29.920000076293945,2026-04-24,CONTINUATION_BREAKOUT,True,0.9571224709528781,MID,0.8272033722207379,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
SILC,us,NMS,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2A,FRESH_STAGE2_W1,23.39999961853028,13.34000015258789,-23.454367510209316,1.0,30.56999969482422,30.56999969482422,22.001000213623048,18.065000089009605,17.732750034332277,21.612799949645996,17.580799994468688,0.016838995881077345,0.01564325748287604,4.281872368866616,63.56279718677336,0.7775373117524289,0.00907131503900771,2.174596932756587,4w,32.849998474121094,LOW,70.03,MEDIUM,P2,,Technology,Communication Equipment,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,49.0,0.5978224507864245,Communication Equipment,local_proxy,False,False,23.39999961853028,2026-04-17,STAGE2_BREAKOUT,False,,,,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
ESP,us,ASE,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2B,FRESH_STAGE2_W1,61.70000076293945,52.20000076293945,-10.071417848624185,1.0,68.61000061035156,68.61000061035156,59.390999221801756,49.19233283996582,48.61724967956543,58.75739997863769,48.39015008926392,0.011620525858652475,0.008104031845191595,9.610051317440005,34.77937066644146,0.7474358494834432,0.010554647240550497,1.353058321479374,4w,73.5,LOW,61.72,MEDIUM,P2,,Industrials,Electrical Equipment & Parts,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,6.0,0.997967005607341,Electrical Equipment & Parts,local_proxy,False,True,61.70000076293945,2026-04-17,CONTINUATION_BREAKOUT,True,0.9994917514018352,EARLY,0.7654690618762475,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
OBT,us,NCM,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2B,FRESH_STAGE2_W2,33.630001068115234,29.530000686645508,-5.1607390400603474,2.0,35.459999084472656,35.459999084472656,33.18199977874756,29.75733331044515,28.719500017166137,33.33479995727539,28.59344995498657,0.010007455694164058,0.006657848496021412,4.966803787883127,15.750905380110925,0.385545224428985,0.0034033448052614435,0.5555692611323547,4w,37.9900016784668,LOW,55.74,MEDIUM,P3,,Financial Services,Banks - Regional,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,5.0,0.8748819708515223,Banks - Regional,local_proxy,False,True,33.630001068115234,2026-04-10,CONTINUATION_BREAKOUT,True,0.7497639417030448,EARLY,0.9816143497757848,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
FRAF,us,NCM,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2B,FRESH_STAGE2_W2,53.59999847412109,45.15999984741211,-4.336962980755377,2.0,56.02999877929688,56.02999877929688,52.37099990844727,50.44133313496908,48.99949989318848,52.210400161743166,48.52010004043579,0.0052888538568542365,0.009584871225224889,7.847998233422328,11.036389357338884,0.18163482253409802,0.003441776358442339,0.764118692738958,4w,60.0,LOW,55.73,MEDIUM,P3,,Financial Services,Banks - Regional,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,11.0,0.8741835948515524,Banks - Regional,local_proxy,False,True,53.59999847412109,2026-04-10,CONTINUATION_BREAKOUT,True,0.8460508632238293,MID,0.7436997319034853,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
DCO,us,NYQ,SPY,BOOTSTRAP_MODE,MARKET_STAGE2_FAVORABLE,UNKNOWN,STAGE_2B,FRESH_STAGE2_W2,133.6999969482422,115.5999984741211,-4.0958371450205515,2.0,139.41000366210938,139.41000366210938,129.00200119018555,109.45900090535481,104.99200057983398,129.82780059814453,104.38200016021729,0.013952524481832262,0.01230491204025791,19.526851442051097,30.606878208928244,0.451605912467836,0.012374688808548306,1.1532704531474267,4w,145.89999389648438,LOW,54.58,MEDIUM,P3,,Industrials,Aerospace & Defense,"['bootstrap_mode', 'missing_104w_resistance', 'missing_core_group']",14,4.0,0.828575453910277,Aerospace & Defense,local_proxy,True,True,133.6999969482422,2026-04-10,CONTINUATION_BREAKOUT,True,0.7051704705109467,MID,0.9734028683181225,True,True,True,True,True,True,2026-04-24,,RECENT_BREAKOUT
