symbol,fin_met_count,has_error,rs_score,rs_percentile,fin_percentile,total_percentile
HIMS,10,False,98.95929933024216,95.78947368421052,100.0,195.78947368421052
MSGM,9,False,98.91808346213293,95.48872180451127,98.94736842105263,194.4360902255639
PLTR,9,False,98.18650180319425,92.18045112781955,98.94736842105263,191.1278195488722
QSG,8,False,98.8768675940237,95.33834586466166,95.71428571428572,191.0526315789474
QBTS,7,False,99.85574446161772,99.54887218045113,91.05263157894737,190.6015037593985
DAVE,8,False,98.76352395672336,94.58646616541353,95.71428571428572,190.30075187969925
NIU,9,False,98.05255023183923,91.2781954887218,98.94736842105263,190.22556390977445
FENC,8,False,98.37197320968572,93.53383458646617,95.71428571428572,189.2481203007519
LFMD,8,False,98.36166924265842,93.38345864661655,95.71428571428572,189.09774436090225
DCTH,9,False,97.78464708912932,89.32330827067669,98.94736842105263,188.2706766917293
ATRO,8,False,98.07315816589389,91.57894736842105,95.71428571428572,187.29323308270676
TDUP,6,False,99.79392065945387,99.3984962406015,85.0375939849624,184.4360902255639
HSAI,6,False,99.629057187017,98.796992481203,85.0375939849624,183.8345864661654
CURI,6,False,99.46419371458012,98.04511278195488,85.0375939849624,183.08270676691728
AEVA,6,False,99.41267387944356,97.89473684210527,85.0375939849624,182.9323308270677
DUOL,8,False,97.47552807831016,87.06766917293233,95.71428571428572,182.78195488721803
OKTA,8,False,97.45492014425554,86.9172932330827,95.71428571428572,182.63157894736844
LEDS,7,False,97.9289026275116,90.22556390977444,91.05263157894737,181.2781954887218
EYE,8,False,97.15610510046368,84.81203007518798,95.71428571428572,180.5263157894737
ASM,6,False,98.84595569294176,95.18796992481204,85.0375939849624,180.22556390977445
QURE,6,False,98.82534775888718,94.88721804511279,85.0375939849624,179.9248120300752
VRNA,6,False,98.44410097887688,93.83458646616542,85.0375939849624,178.8721804511278
SE,9,False,96.35239567233384,79.84962406015038,98.94736842105263,178.796992481203
ADPT,6,False,98.15558990211233,91.8796992481203,85.0375939849624,176.91729323308272
NGVC,8,False,96.5996908809892,81.203007518797,95.71428571428572,176.91729323308272
CGNT,8,False,96.55847501287997,80.90225563909775,95.71428571428572,176.61654135338347
ODD,7,False,97.1870170015456,85.26315789473684,91.05263157894737,176.31578947368422
FEIM,9,False,95.99175682637816,77.29323308270676,98.94736842105263,176.2406015037594
BCRX,9,False,95.65172591447708,75.63909774436091,98.94736842105263,174.58646616541353
AU,6,False,97.68160741885626,88.7218045112782,85.0375939849624,173.75939849624058
NUTX,5,False,99.74240082431736,99.24812030075188,74.21052631578947,173.45864661654133
MVST,5,False,99.71148892323544,99.09774436090225,74.21052631578947,173.30827067669173
RGLS,5,False,99.69088098918084,98.94736842105263,74.21052631578947,173.15789473684208
TGEN,5,False,99.58784131890778,98.49624060150376,74.21052631578947,172.70676691729324
MPAA,6,False,97.52704791344668,87.51879699248121,85.0375939849624,172.5563909774436
NXT,7,False,96.66151468315302,81.50375939849624,91.05263157894737,172.5563909774436
UGI,8,False,95.8784131890778,76.69172932330827,95.71428571428572,172.406015037594
SATX,5,False,99.39206594538898,97.74436090225564,74.21052631578947,171.9548872180451
CPSH,6,False,97.44461617722824,86.76691729323308,85.0375939849624,171.8045112781955
XNET,5,False,99.18598660484288,97.29323308270676,74.21052631578947,171.50375939849624
TVRD,5,False,99.15507470376096,96.99248120300751,74.21052631578947,171.203007518797
HCI,7,False,96.424523441525,80.15037593984962,91.05263157894737,171.203007518797
KGC,7,False,96.32148377125192,79.69924812030075,91.05263157894737,170.75187969924812
FARO,6,False,97.24884080370944,85.71428571428571,85.0375939849624,170.7518796992481
NFLX,8,False,95.43534260690366,74.13533834586467,95.71428571428572,169.8496240601504
PLMR,7,False,96.20814013395156,78.796992481203,91.05263157894737,169.84962406015038
SEZL,7,False,96.18753219989696,78.64661654135338,91.05263157894737,169.69924812030075
SIEB,6,False,97.06336939721793,84.21052631578947,85.0375939849624,169.24812030075185
KD,8,False,95.2910870685214,73.23308270676692,95.71428571428572,168.94736842105266
TME,7,False,96.08449252962392,77.74436090225564,91.05263157894737,168.796992481203
NCL,5,False,98.6810922205049,94.4360902255639,74.21052631578947,168.64661654135335
TIGO,8,False,95.23956723338486,72.78195488721805,95.71428571428572,168.49624060150376
ZK,8,False,95.18804739824832,72.18045112781954,95.71428571428572,167.89473684210526
AKBA,6,False,96.78516228748067,82.55639097744361,85.0375939849624,167.593984962406
GOGO,6,False,96.76455435342606,82.40601503759399,85.0375939849624,167.4436090225564
AEM,7,False,95.84750128799588,76.39097744360902,91.05263157894737,167.4436090225564
NYAX,7,False,95.74446161772282,75.78947368421053,91.05263157894737,166.84210526315792
PLYA,7,False,95.49716640906748,74.88721804511277,91.05263157894737,165.93984962406014
