symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
RGC,True,True,True,True,True,True,True,8,100.0,True
DFDV,True,True,True,True,True,True,True,8,99.9896960329727,True
TMCWW,True,True,True,True,True,True,True,8,99.89696032972697,True
QBTS,True,True,True,True,True,True,True,8,99.85574446161772,True
TDUP,True,True,True,True,True,True,True,8,99.79392065945387,True
NUTX,True,True,True,True,True,True,True,8,99.74240082431736,True
MVST,True,True,True,True,True,True,True,8,99.71148892323544,True
RGLS,True,True,True,True,True,True,True,8,99.69088098918084,True
HSAI,True,True,True,True,True,True,True,8,99.629057187017,True
CTEV,True,True,True,True,True,True,True,8,99.6084492529624,True
TGEN,True,True,True,True,True,True,True,8,99.58784131890778,True
AREN,True,True,True,True,True,True,True,8,99.56723338485315,True
TMC,True,True,True,True,True,True,True,8,99.55692941782588,True
CURI,True,True,True,True,True,True,True,8,99.46419371458012,True
AEVA,True,True,True,True,True,True,True,8,99.41267387944356,True
SATX,True,True,True,True,True,True,True,8,99.39206594538898,True
PRCH,True,True,True,True,True,True,True,8,99.27872230808862,True
OCFT,True,True,True,True,True,True,True,8,99.2375064399794,True
XNET,True,True,True,True,True,True,True,8,99.18598660484288,True
DVS,True,True,True,True,True,True,True,8,99.17568263781556,True
TVRD,True,True,True,True,True,True,True,8,99.15507470376096,True
MATH,True,True,True,True,True,True,True,8,99.14477073673363,True
PNBK,True,True,True,True,True,True,True,8,99.13446676970634,True
ROMA,True,True,True,True,True,True,True,8,99.12416280267902,True
GRPN,True,True,True,True,True,True,True,8,99.10355486862444,True
RPID,True,True,True,True,True,True,True,8,99.09325090159712,True
ALTS,True,True,True,True,True,True,True,8,99.04173106646058,True
XYF,True,True,True,True,True,True,True,8,98.99021123132404,True
HIMS,True,True,True,True,True,True,True,8,98.95929933024216,True
EOSE,True,True,True,True,True,True,True,8,98.94899536321483,True
MSGM,True,True,True,True,True,True,True,8,98.91808346213293,True
QSG,True,True,True,True,True,True,True,8,98.8768675940237,True
ASM,True,True,True,True,True,True,True,8,98.84595569294176,True
ICAD,True,True,True,True,True,True,True,8,98.83565172591447,True
QURE,True,True,True,True,True,True,True,8,98.82534775888718,True
ACHR,True,True,True,True,True,True,True,8,98.77382792375064,True
DAVE,True,True,True,True,True,True,True,8,98.76352395672336,True
NCL,True,True,True,True,True,True,True,8,98.6810922205049,True
VGZ,True,True,True,True,True,True,True,8,98.59866048428646,True
TBMCR,True,True,True,True,True,True,True,8,98.56774858320452,True
MTEN,True,True,True,True,True,True,True,8,98.53683668212264,True
VRNA,True,True,True,True,True,True,True,8,98.44410097887688,True
ALLT,True,True,True,True,True,True,True,8,98.42349304482224,True
FENC,True,True,True,True,True,True,True,8,98.37197320968572,True
LFMD,True,True,True,True,True,True,True,8,98.36166924265842,True
SSRM,True,True,True,True,True,True,True,8,98.3410613086038,True
NPCE,True,True,True,True,True,True,True,8,98.3307573415765,True
ETON,True,True,True,True,True,True,True,8,98.2998454404946,True
CFSB,True,True,True,True,True,True,True,8,98.2895414734673,True
RBRK,True,True,True,True,True,True,True,8,98.26893353941269,True
NVCT,True,True,True,True,True,True,True,8,98.24832560535806,True
DAN,True,True,True,True,True,True,True,8,98.20710973724884,True
PLTR,True,True,True,True,True,True,True,8,98.18650180319425,True
OPOF,True,True,True,True,True,True,True,8,98.16589386913962,True
ADPT,True,True,True,True,True,True,True,8,98.15558990211233,True
HRTG,True,True,True,True,True,True,True,8,98.09376609994848,True
ATRO,True,True,True,True,True,True,True,8,98.07315816589389,True
AS,True,True,True,True,True,True,True,8,98.06285419886656,True
NIU,True,True,True,True,True,True,True,8,98.05255023183923,True
FTK,True,True,True,True,True,True,True,8,98.04224626481196,True
JFIN,True,True,True,True,True,True,True,8,98.03194229778464,True
FORD,True,True,True,True,True,True,True,8,98.01133436373004,True
DAO,True,True,True,True,True,True,True,8,97.99072642967542,True
HOOD,True,True,True,True,True,True,True,8,97.97011849562082,True
IRTC,True,True,True,True,True,True,True,8,97.9392065945389,True
LEDS,True,True,True,True,True,True,True,8,97.9289026275116,True
GDXU,True,True,True,True,True,True,True,8,97.90829469345698,True
UTI,True,True,True,True,True,True,True,8,97.89799072642968,True
BGM,True,True,True,True,True,True,True,8,97.88768675940236,True
YALA,True,True,True,True,True,True,True,8,97.84647089129317,True
SJT,True,True,True,True,True,True,True,8,97.82586295723854,True
DCTH,True,True,True,True,True,True,True,8,97.78464708912932,True
CDTX,True,True,True,True,True,True,True,8,97.7537351880474,True
THM,True,True,True,True,True,True,True,8,97.72282328696548,True
SLSR,True,True,True,True,True,True,True,8,97.71251931993817,True
AU,True,True,True,True,True,True,True,8,97.68160741885626,True
ICCC,True,True,True,True,True,True,True,8,97.64039155074704,True
SHNY,True,True,True,True,True,True,True,8,97.63008758371971,True
BSGM,True,True,True,True,True,True,True,8,97.59917568263782,True
XPEV,True,True,True,True,True,True,True,8,97.5682637815559,True
XERS,True,True,True,True,True,True,True,8,97.5579598145286,True
LQDA,True,True,True,True,True,True,True,8,97.54765584750128,True
NET,True,True,True,True,True,True,True,8,97.53735188047398,True
MPAA,True,True,True,True,True,True,True,8,97.52704791344668,True
VEON,True,True,True,True,True,True,True,8,97.51674394641935,True
CRK,True,True,True,True,True,True,True,8,97.49613601236476,True
DUOL,True,True,True,True,True,True,True,8,97.47552807831016,True
OKTA,True,True,True,True,True,True,True,8,97.45492014425554,True
CPSH,True,True,True,True,True,True,True,8,97.44461617722824,True
NRG,True,True,True,True,True,True,True,8,97.42400824317362,True
RDUS,True,True,True,True,True,True,True,8,97.40340030911902,True
DB,True,True,True,True,True,True,True,8,97.3930963420917,True
GRND,True,True,True,True,True,True,True,8,97.33127253992788,True
DUOT,True,True,True,True,True,True,True,8,97.29005667181865,True
HMY,True,True,True,True,True,True,True,8,97.25914477073674,True
FARO,True,True,True,True,True,True,True,8,97.24884080370944,True
HEES,True,True,True,True,True,True,True,8,97.22823286965482,True
AKRO,True,True,True,True,True,True,True,8,97.1973209685729,True
ODD,True,True,True,True,True,True,True,8,97.1870170015456,True
PRPO,True,True,True,True,True,True,True,8,97.17671303451829,True
