종목명,entry_price,stop_loss,position_size,adx_7,rsi_3,atr_10,avg_volume_50,avg_daily_value_50,ma_100
ORCL,204.54,179.74,10.0,96.68742086945636,27.64644814056261,8.268992614746097,11290237.86,1893023194.4249017,158.06609985351562
ELF,118.57,102.5,10.0,80.71375023466749,19.308888247936522,5.358999633789059,2858176.36,244216703.3234311,77.79140014648438
TMDX,120.28,102.18,10.0,76.26230891639753,0.0,6.033201599121094,1098520.0,118497454.75305176,90.50919998168945
PODD,292.74,270.41,10.0,69.56517971215236,28.99404544243852,7.442004394531262,851690.2,248527286.62453613,279.0709002685547
OKLO,60.16,38.86,5.65,67.19513804427463,34.2911742997245,7.100990676879883,19121813.6,851517627.5453981,35.9603999710083
ETHT,37.98,18.86,3.97,65.57502114007737,42.5298754827267,6.370999956130982,3873000.0,26585835.873750687,9.724000039100646
TT,407.26,386.12,10.0,61.52609273322329,43.608884537722574,7.046997070312495,1426028.0,557134930.5090942,373.3606988525391
TEM,67.03,52.15,9.01,57.80155495368108,19.88952139284818,4.957799148559571,13785058.0,803392654.5385132,57.272249908447264
CDNS,287.93,268.03,10.0,57.69484206846711,16.94555994662535,6.635641479492188,2077034.94,604175338.8455145,280.2956997680664
WING,339.81,303.28,10.0,55.68174231798307,34.54546371679646,12.177301025390614,822334.22,239096016.37041992,272.77990081787107
