종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
QUBT,2025-08-01,15.24,4.5,-2.4934405729839506,없음,7.45,10.65,True
ABVX,2025-08-02,69.77,5.88,-1.1609587437685822,없음,50.23,51.8,True
BMNR,2025-08-20,55.67,3.27,0.0,없음,19.95,40.84,True
RGTI,2025-08-20,16.57,5.39,0.0,없음,10.18,12.35,True
NEGG,2025-08-20,109.99,2.78,0.0,없음,19.25,76.4,True
ETHT,2025-08-20,107.96,5.04,0.0,없음,61.86,79.7,True
HSAI,2025-08-20,25.85,7.1,0.0,없음,18.45,19.58,True
QBTS,2025-08-20,16.52,4.67,0.0,없음,9.45,12.39,True
TMC,2025-08-20,4.75,3.64,0.0,없음,2.14,3.56,True
AMPX,2025-08-20,7.19,3.66,0.0,없음,3.27,5.39,True
