date,eps_actual,eps_estimate,revenue_actual,revenue_estimate,data_source,provider_symbol
2026-03-13,-0.45,-0.44,,,yfinance_earnings_dates:ACDC,ACDC
2025-11-10,-0.51,-0.43,,,yfinance_earnings_dates:ACDC,ACDC
2025-08-07,-0.42,-0.26,,,yfinance_earnings_dates:ACDC,ACDC
2025-05-07,-0.12,-0.32,,,yfinance_earnings_dates:ACDC,ACDC
