date,eps_actual,eps_estimate,revenue_actual,revenue_estimate,data_source,provider_symbol
2026-02-25,0.07,0.01,,,yfinance_earnings_dates:ACHC,ACHC
2025-11-05,0.72,0.66,,,yfinance_earnings_dates:ACHC,ACHC
2025-08-05,0.83,0.71,,,yfinance_earnings_dates:ACHC,ACHC
2025-05-12,0.4,0.36,,,yfinance_earnings_dates:ACHC,ACHC
