date,eps_actual,eps_estimate,revenue_actual,revenue_estimate,data_source,provider_symbol
2026-02-26,-1.01,-1.05,,,yfinance_earnings_dates:ACLX,ACLX
2025-11-05,-0.99,-1.03,,,yfinance_earnings_dates:ACLX,ACLX
2025-08-07,-0.94,-1.03,,,yfinance_earnings_dates:ACLX,ACLX
2025-05-08,-1.13,-0.74,,,yfinance_earnings_dates:ACLX,ACLX
