as_of_ts,symbol,market,sector,setup_scope,stock_grade,a_pp_score,focus_seed_score,compression_score,high_52w_proximity,breakout_universe_pass,ep_universe_pass,pivot_price,stop_price,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score
2026-04-17,000660,KR,,PATTERN_EXCLUDED_POOL,A+,82.33,73.43,61.88,0.9616,True,True,1174172.9999999998,1120266.4283218386,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001120,KR,,PATTERN_EXCLUDED_POOL,A+,81.32,74.56,73.88,0.9092,True,True,53453.399999999994,50545.899999999994,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001820,KR,,PATTERN_EXCLUDED_POOL,A+,80.71,68.6,62.53,0.9419,True,True,68868.79999999999,64333.79999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000720,KR,,PATTERN_EXCLUDED_POOL,A+,79.73,68.2,57.8,0.8921,True,True,198598.39999999997,186038.39999999997,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001230,KR,,PATTERN_EXCLUDED_POOL,A+,78.08,70.32,62.71,0.9578,True,True,11611.599999999999,11013.599999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001340,KR,,PATTERN_EXCLUDED_POOL,A+,76.61,70.11,56.09,0.9803,True,True,8138.129999999999,7763.129999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000210,KR,,PATTERN_EXCLUDED_POOL,A+,75.54,65.16,53.0,0.9124,True,True,70870.79999999999,66010.79999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001440,KR,,PATTERN_EXCLUDED_POOL,B,74.02,55.45,30.5,0.9204,True,True,42742.7,40265.2,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,002150,KR,,PATTERN_EXCLUDED_POOL,B,73.53,65.14,60.0,0.9464,False,True,7657.649999999999,7360.649999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000990,KR,,PATTERN_EXCLUDED_POOL,B,72.15,66.02,46.27,0.9419,True,True,107106.99999999999,100756.99999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001430,KR,,PATTERN_EXCLUDED_POOL,B,72.06,73.97,81.22,0.8119,False,True,76176.09999999999,70642.37282532666,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001390,KR,,PATTERN_EXCLUDED_POOL,B,71.26,76.73,91.4,0.9576,False,True,5975.969999999999,5680.969999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000880,KR,,PATTERN_EXCLUDED_POOL,B,62.79,61.11,62.63,0.8862,False,True,135535.4,128252.12562760507,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,002720,KR,,PATTERN_EXCLUDED_POOL,B,60.49,63.83,67.95,0.9214,False,True,5135.129999999999,4952.7555364627215,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
