as_of_ts,symbol,market,sector,setup_scope,stock_grade,a_pp_score,focus_seed_score,compression_score,high_52w_proximity,breakout_universe_pass,ep_universe_pass,pivot_price,stop_price,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score
2026-03-13,000720,KR,,PATTERN_EXCLUDED_POOL,A++,85.13,72.66,54.86,0.9293,True,True,177076.9,163316.9,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,003000,KR,,PATTERN_EXCLUDED_POOL,A+,82.93,75.08,51.0,0.9744,True,True,6256.249999999999,5733.499999999999,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,000250,KR,,PATTERN_EXCLUDED_POOL,A+,79.06,69.11,60.0,0.8977,False,True,860859.9999999999,787409.9999999999,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,001230,KR,,PATTERN_EXCLUDED_POOL,A+,78.72,69.82,56.35,0.9556,True,True,10810.8,10157.8,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,000440,KR,,PATTERN_EXCLUDED_POOL,A+,77.21,65.39,57.65,0.8066,False,True,38037.99999999999,33419.99999999999,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,001550,KR,,PATTERN_EXCLUDED_POOL,B,73.96,57.26,37.5,0.8239,True,True,20970.949999999997,19218.449999999997,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,002720,KR,,PATTERN_EXCLUDED_POOL,B,71.01,64.98,60.0,0.9013,False,True,5475.469999999999,5226.469999999999,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,003545,KR,,PATTERN_EXCLUDED_POOL,B,69.4,62.16,53.0,0.8609,True,True,28428.399999999998,27139.300830111355,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,000880,KR,,PATTERN_EXCLUDED_POOL,B,68.91,55.96,37.79,0.8222,True,False,148648.49999999997,138603.49999999997,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,001120,KR,,PATTERN_EXCLUDED_POOL,B,66.84,57.99,38.19,0.8704,True,True,44544.49999999999,42084.624790153044,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,002990,KR,,PATTERN_EXCLUDED_POOL,B,65.16,58.47,35.63,0.918,True,True,5205.2,4905.45,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,001340,KR,,PATTERN_EXCLUDED_POOL,B,63.62,53.05,38.66,0.8933,True,True,7337.329999999999,6922.829999999999,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,001800,KR,,PATTERN_EXCLUDED_POOL,B,63.48,57.73,39.5,0.9146,True,True,25024.999999999996,24061.099945096248,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,001740,KR,,PATTERN_EXCLUDED_POOL,B,61.63,50.42,32.5,0.8154,True,False,5875.869999999999,5545.281332680479,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,000210,KR,,PATTERN_EXCLUDED_POOL,B,61.29,52.95,39.5,0.8602,False,True,52352.299999999996,49424.799999999996,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,002100,KR,,PATTERN_EXCLUDED_POOL,Discard,54.16,41.53,29.0,0.821,False,True,11911.899999999998,11382.899999999998,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,001390,KR,,PATTERN_EXCLUDED_POOL,Discard,50.52,39.72,28.5,0.8646,False,True,6136.129999999999,5774.129999999999,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,000080,KR,,PATTERN_EXCLUDED_POOL,Discard,47.89,37.55,15.0,0.8694,False,True,18198.179999999997,17823.116531610045,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
2026-03-13,000910,KR,,PATTERN_EXCLUDED_POOL,Discard,47.62,36.89,20.74,0.6,False,True,5065.0599999999995,4883.0599999999995,RISK_NEUTRAL,NEUTRAL,55.0,55.0,55.0,55.0
