as_of_ts,symbol,market,sector,setup_scope,stock_grade,a_pp_score,focus_seed_score,compression_score,high_52w_proximity,breakout_universe_pass,ep_universe_pass,pivot_price,stop_price,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score
2026-04-17,000660,KR,,PATTERN_EXCLUDED_POOL,A+,82.28,74.0,61.8,0.9625,True,True,1174172.9999999998,1120267.9957150787,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001120,KR,,PATTERN_EXCLUDED_POOL,A+,81.59,75.02,73.88,0.911,True,True,53453.399999999994,50545.899999999994,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001820,KR,,PATTERN_EXCLUDED_POOL,A+,81.11,70.07,61.75,0.9506,True,True,68868.79999999999,64333.79999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000720,KR,,PATTERN_EXCLUDED_POOL,A+,79.67,68.17,57.8,0.8911,True,True,198598.39999999997,186038.39999999997,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001230,KR,,PATTERN_EXCLUDED_POOL,A+,78.3,71.68,62.68,0.9655,True,True,11611.599999999999,11013.599999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001340,KR,,PATTERN_EXCLUDED_POOL,A+,76.06,67.37,56.11,0.9619,True,True,8138.129999999999,7763.129999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000210,KR,,PATTERN_EXCLUDED_POOL,A+,75.48,65.56,53.61,0.904,True,True,70870.79999999999,66095.79999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001440,KR,,PATTERN_EXCLUDED_POOL,B,73.98,55.35,30.5,0.918,True,True,42742.7,40265.2,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,002150,KR,,PATTERN_EXCLUDED_POOL,B,73.5,64.12,60.0,0.9412,False,True,7657.649999999999,7361.149999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001430,KR,,PATTERN_EXCLUDED_POOL,B,72.32,75.02,80.9,0.8151,False,True,76176.09999999999,70643.58356273426,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001390,KR,,PATTERN_EXCLUDED_POOL,B,71.66,78.12,90.82,0.9641,False,True,5975.969999999999,5680.969999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000990,KR,,PATTERN_EXCLUDED_POOL,B,71.42,63.82,49.0,0.9181,True,True,106606.49999999999,100281.49999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000880,KR,,PATTERN_EXCLUDED_POOL,B,63.18,61.93,62.5,0.8875,False,True,135535.4,128252.46163582189,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,002720,KR,,PATTERN_EXCLUDED_POOL,B,60.35,63.82,68.12,0.9196,False,True,5135.129999999999,4952.730216507453,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
