as_of_ts,symbol,market,sector,setup_scope,stock_grade,a_pp_score,focus_seed_score,compression_score,high_52w_proximity,breakout_universe_pass,ep_universe_pass,pivot_price,stop_price,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score
2026-04-17,000660,KR,,PATTERN_EXCLUDED_POOL,A+,81.84,73.13,61.88,0.9616,True,True,1174172.9999999998,1120266.4283218386,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001120,KR,,PATTERN_EXCLUDED_POOL,A+,80.63,74.15,73.88,0.9092,True,True,53453.399999999994,50545.899999999994,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000720,KR,,PATTERN_EXCLUDED_POOL,A+,79.65,68.15,57.8,0.8921,True,True,198598.39999999997,186038.39999999997,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001230,KR,,PATTERN_EXCLUDED_POOL,A+,77.28,69.84,62.71,0.9578,True,True,11611.599999999999,11013.599999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001340,KR,,PATTERN_EXCLUDED_POOL,A+,75.93,69.71,56.09,0.9803,True,True,8138.129999999999,7763.129999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000210,KR,,PATTERN_EXCLUDED_POOL,A+,75.02,64.85,53.0,0.9124,True,True,70870.79999999999,66010.79999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001440,KR,,PATTERN_EXCLUDED_POOL,B,73.42,55.09,30.5,0.9204,True,True,42742.7,40265.2,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001430,KR,,PATTERN_EXCLUDED_POOL,B,71.84,73.85,81.22,0.8119,False,True,76176.09999999999,70642.37282532666,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000990,KR,,PATTERN_EXCLUDED_POOL,B,71.25,65.48,46.27,0.9419,True,True,107106.99999999999,100756.99999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,001390,KR,,PATTERN_EXCLUDED_POOL,B,70.75,76.43,91.4,0.9576,False,True,5975.969999999999,5680.969999999999,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
2026-04-17,000880,KR,,PATTERN_EXCLUDED_POOL,B,62.48,60.92,62.63,0.8862,False,True,135535.4,128252.12562760507,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0
