symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count,market,recent_data_quality_pass,trend_template_lite_pass,pattern_pre_gate_pass,pattern_pre_gate_reason,pattern_market_threshold,vcp_detected,vcp_confidence,vcp_confidence_level,vcp_state_detail,vcp_state_bucket,vcp_pattern_start,vcp_pattern_end,vcp_pivot_price,vcp_invalidation_price,vcp_breakout_date,vcp_breakout_price,vcp_breakout_volume,vcp_volume_multiple,vcp_distance_to_pivot_pct,vcp_extended,vcp_dimensional_scores,vcp_metrics,vcp_pivots,cup_handle_detected,cup_handle_confidence,cup_handle_confidence_level,cup_handle_state_detail,cup_handle_state_bucket,cup_handle_pattern_start,cup_handle_pattern_end,cup_handle_pivot_price,cup_handle_invalidation_price,cup_handle_breakout_date,cup_handle_breakout_price,cup_handle_breakout_volume,cup_handle_volume_multiple,cup_handle_distance_to_pivot_pct,cup_handle_extended,cup_handle_dimensional_scores,cup_handle_metrics,cup_handle_pivots,has_forming_pattern,has_completed_pattern,has_recent_breakout_pattern,has_failed_pattern,pattern_included,pattern_stage_summary,max_pattern_confidence,pattern_count,tv_median20_pctile,leader_score_component,pattern_quality_score_component,tightness_dryup_score_component,breakout_readiness_score_component,actual_data_pattern_priority_score,actionable_pattern_pass
000660,True,True,True,True,True,True,True,True,330,4291682824000.0,0.0383631713554987,7,1128000.0,3805092.0,2026-04-17,98.0,KOSPI,True,True,7,98.0,000660.KS,6,complete,,False,100.0,97.5,197.5,13,kr,True,True,True,passed,3302093240.0,True,0.697,Medium,FORMING_VCP,FORMING,2026-02-26,2026-04-17,1060000.0,806000.0,,,,,0.0641509433962264,False,"{'technical_quality': 0.6667, 'volume_confirmation': 0.788, 'temporal_validity': 0.6667, 'market_context': 0.6667}","{'contractions': 2, 'depths_pct': [0.2648, 0.2396], 'contraction_bars': [6, 9], 'recovery_bars': [7, 11], 'prior_run_up_pct': 3.3438735177865615, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 0.0, 'tightness_pct': 0.1669811320754717, 'volume_ratio_last10_vs_first_half': 0.8984798127585467, 'natr_ratio_last10_vs_first10': 0.8150334013892089, 'range_ratio_last10_vs_first10': 0.5994117676529744}","[{'pivot_index': 294, 'pivot_date': '2026-02-26', 'pivot_type': 'H', 'pivot_price': 1099000.0, 'prominence_pct': 0.1984, 'source_window': 7}, {'pivot_index': 300, 'pivot_date': '2026-03-09', 'pivot_type': 'L', 'pivot_price': 808000.0, 'prominence_pct': 0.2231, 'source_window': 7}, {'pivot_index': 307, 'pivot_date': '2026-03-18', 'pivot_type': 'H', 'pivot_price': 1060000.0, 'prominence_pct': 0.166, 'source_window': 7}, {'pivot_index': 316, 'pivot_date': '2026-03-31', 'pivot_type': 'L', 'pivot_price': 806000.0, 'prominence_pct': 0.137, 'source_window': 7}, {'pivot_index': 327, 'pivot_date': '2026-04-15', 'pivot_type': 'H', 'pivot_price': 1173000.0, 'prominence_pct': 0.243, 'source_window': 7}]",True,0.826,High,FORMING_HANDLE,FORMING,2026-02-26,2026-04-17,1173000.0,1121000.0,,,,,-0.038363171355498715,False,"{'technical_quality': 0.9377, 'volume_confirmation': 1.0, 'temporal_validity': 0.5333, 'market_context': 0.6667}","{'cup_len': 33, 'cup_depth_pct': 0.31287297527706737, 'rim_diff_pct': 0.06308610400682012, 'recovery_ratio': 1.067333939945405, 'balance_ratio': 0.5, 'bottom_zone_width': 8, 'bottom_zone_ratio': 0.24242424242424243, 'v_shape_recovery_ratio': 0.29427792915531337, 'handle_len': 2, 'handle_depth_pct': 0.0443307757885763, 'handle_volume_ratio': 0.7579365994262367, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.14168937329700274, 'prior_run_up_pct': 3.3438735177865615, 'price_only_break_index': None}","[{'pivot_index': 294, 'pivot_date': '2026-02-26', 'pivot_type': 'H', 'pivot_price': 1099000.0, 'prominence_pct': 0.1984, 'source_window': 7}, {'pivot_index': 316, 'pivot_date': '2026-03-31', 'pivot_type': 'L', 'pivot_price': 806000.0, 'prominence_pct': 0.3129, 'source_window': 0}, {'pivot_index': 327, 'pivot_date': '2026-04-15', 'pivot_type': 'H', 'pivot_price': 1173000.0, 'prominence_pct': 0.243, 'source_window': 7}]",True,False,False,False,True,FORMING,0.826,2,100.0,24.82,28.57,20.0,16.34,89.73,True
000880,True,True,True,True,True,True,True,True,330,29502494600.0,0.1138047138047138,7,131600.0,223542.0,2026-04-17,83.0,KOSPI,True,True,7,83.0,000880.KS,6,complete,,False,55.00000000000001,97.5,152.5,13,kr,True,True,True,passed,3302093240.0,True,0.667,Medium,FORMING_VCP,FORMING,2026-01-15,2026-04-17,148500.0,103400.0,,,,,-0.1138047138047138,False,"{'technical_quality': 0.2158, 'volume_confirmation': 1.0, 'temporal_validity': 0.8249, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.2297, 0.3037], 'contraction_bars': [16, 19], 'recovery_bars': [13, 13], 'prior_run_up_pct': 0.8744939271255061, 'resistance_band_pct': 0.08821548821548822, 'last_two_high_gap_pct': 0.08821548821548822, 'higher_lows_ratio': 0.0, 'tightness_pct': 0.10101010101010101, 'volume_ratio_last10_vs_first_half': 0.40467490606216977, 'natr_ratio_last10_vs_first10': 0.6148967576200298, 'range_ratio_last10_vs_first10': 0.6798777197210687}","[{'pivot_index': 267, 'pivot_date': '2026-01-15', 'pivot_type': 'H', 'pivot_price': 138900.0, 'prominence_pct': 0.3233, 'source_window': 7}, {'pivot_index': 283, 'pivot_date': '2026-02-06', 'pivot_type': 'L', 'pivot_price': 107000.0, 'prominence_pct': 0.1413, 'source_window': 7}, {'pivot_index': 296, 'pivot_date': '2026-03-03', 'pivot_type': 'H', 'pivot_price': 148500.0, 'prominence_pct': 0.2525, 'source_window': 7}, {'pivot_index': 315, 'pivot_date': '2026-03-30', 'pivot_type': 'L', 'pivot_price': 103400.0, 'prominence_pct': 0.1518, 'source_window': 7}, {'pivot_index': 328, 'pivot_date': '2026-04-16', 'pivot_type': 'H', 'pivot_price': 135400.0, 'prominence_pct': 0.1492, 'source_window': 7}]",True,0.822,High,FORMING_HANDLE,FORMING,2026-01-15,2026-04-17,135400.0,130700.0,,,,,-0.028064992614475592,False,"{'technical_quality': 0.869, 'volume_confirmation': 1.0, 'temporal_validity': 0.3611, 'market_context': 1.0}","{'cup_len': 61, 'cup_depth_pct': 0.25557955363570917, 'rim_diff_pct': 0.0251979841612671, 'recovery_ratio': 0.9748020158387329, 'balance_ratio': 0.2708333333333333, 'bottom_zone_width': 7, 'bottom_zone_ratio': 0.11475409836065574, 'v_shape_recovery_ratio': 0.43380281690140843, 'handle_len': 1, 'handle_depth_pct': 0.03471196454948301, 'handle_volume_ratio': 0.8867318665669693, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.146875, 'prior_run_up_pct': 0.8744939271255061, 'price_only_break_index': None}","[{'pivot_index': 267, 'pivot_date': '2026-01-15', 'pivot_type': 'H', 'pivot_price': 138900.0, 'prominence_pct': 0.3233, 'source_window': 7}, {'pivot_index': 315, 'pivot_date': '2026-03-30', 'pivot_type': 'L', 'pivot_price': 103400.0, 'prominence_pct': 0.2556, 'source_window': 0}, {'pivot_index': 328, 'pivot_date': '2026-04-16', 'pivot_type': 'H', 'pivot_price': 135400.0, 'prominence_pct': 0.1492, 'source_window': 7}]",True,False,False,False,True,FORMING,0.822,2,75.0,22.57,25.08,20.0,16.78,84.43,False
001430,True,True,True,True,True,True,True,True,330,15449589300.0,0.188108108108108,7,75100.0,406696.0,2026-04-17,92.0,KOSPI,True,False,7,92.0,001430.KS,1,complete,,False,85.0,7.5,92.5,8,kr,True,True,True,passed,3302093240.0,True,0.761,Medium,FORMING_VCP,FORMING,2026-02-04,2026-04-17,74000.0,62000.0,,,,,0.014864864864864824,False,"{'technical_quality': 0.7959, 'volume_confirmation': 0.9372, 'temporal_validity': 0.5556, 'market_context': 0.6667}","{'contractions': 3, 'depths_pct': [0.4022, 0.1855, 0.1622], 'contraction_bars': [16, 6, 12], 'recovery_bars': [7, 3, 4], 'prior_run_up_pct': 3.0130151843817785, 'resistance_band_pct': 0.00945945945945946, 'last_two_high_gap_pct': 0.00945945945945946, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.19054054054054054, 'volume_ratio_last10_vs_first_half': 0.6444730166452375, 'natr_ratio_last10_vs_first10': 0.8628121671573, 'range_ratio_last10_vs_first10': 0.7771142774540801}","[{'pivot_index': 281, 'pivot_date': '2026-02-04', 'pivot_type': 'H', 'pivot_price': 92500.0, 'prominence_pct': 0.2541, 'source_window': 7}, {'pivot_index': 297, 'pivot_date': '2026-03-04', 'pivot_type': 'L', 'pivot_price': 55300.0, 'prominence_pct': 0.2298, 'source_window': 7}, {'pivot_index': 304, 'pivot_date': '2026-03-13', 'pivot_type': 'H', 'pivot_price': 73300.0, 'prominence_pct': 0.1814, 'source_window': 7}, {'pivot_index': 310, 'pivot_date': '2026-03-23', 'pivot_type': 'L', 'pivot_price': 59700.0, 'prominence_pct': 0.1603, 'source_window': 7}, {'pivot_index': 313, 'pivot_date': '2026-03-26', 'pivot_type': 'H', 'pivot_price': 74000.0, 'prominence_pct': 0.1932, 'source_window': 7}, {'pivot_index': 325, 'pivot_date': '2026-04-13', 'pivot_type': 'L', 'pivot_price': 62000.0, 'prominence_pct': 0.1304, 'source_window': 7}, {'pivot_index': 329, 'pivot_date': '2026-04-17', 'pivot_type': 'H', 'pivot_price': 76100.0, 'prominence_pct': 0.1853, 'source_window': 7}]",True,0.863,High,FORMING_HANDLE,FORMING,2026-01-21,2026-04-17,74000.0,62000.0,,,,,0.014864864864864824,False,"{'technical_quality': 0.7891, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.6667}","{'cup_len': 42, 'cup_depth_pct': 0.2864516129032258, 'rim_diff_pct': 0.04516129032258064, 'recovery_ratio': 0.9548387096774194, 'balance_ratio': 0.6153846153846154, 'bottom_zone_width': 3, 'bottom_zone_ratio': 0.07142857142857142, 'v_shape_recovery_ratio': 0.4009009009009009, 'handle_len': 15, 'handle_depth_pct': 0.16216216216216217, 'handle_volume_ratio': 0.8670709631452278, 'handle_upper_half': False, 'handle_vs_cup_advance': 0.6417112299465241, 'prior_run_up_pct': 2.3622559652928414, 'price_only_break_index': 329}","[{'pivot_index': 271, 'pivot_date': '2026-01-21', 'pivot_type': 'H', 'pivot_price': 77500.0, 'prominence_pct': 0.1523, 'source_window': 7}, {'pivot_index': 297, 'pivot_date': '2026-03-04', 'pivot_type': 'L', 'pivot_price': 55300.0, 'prominence_pct': 0.2865, 'source_window': 0}, {'pivot_index': 313, 'pivot_date': '2026-03-26', 'pivot_type': 'H', 'pivot_price': 74000.0, 'prominence_pct': 0.1932, 'source_window': 7}]",True,False,False,False,True,FORMING,0.863,2,65.0,22.27,29.83,13.33,17.29,82.72,False
000155,True,True,True,True,True,True,True,True,330,8055596500.0,0.1601866251944012,7,540000.0,12160.0,2026-04-17,88.0,KOSPI,True,False,7,88.0,000155.KS,3,complete,,False,65.0,37.5,102.5,10,kr,True,True,True,passed,3302093240.0,True,0.652,Medium,FORMING_VCP,FORMING,2025-11-11,2026-04-17,539000.0,430000.0,,,,,0.0018552875695732052,False,"{'technical_quality': 0.6667, 'volume_confirmation': 0.9131, 'temporal_validity': 0.2855, 'market_context': 0.6667}","{'contractions': 2, 'depths_pct': [0.2846, 0.2022], 'contraction_bars': [35, 13], 'recovery_bars': [12, 40], 'prior_run_up_pct': 1.7835497835497836, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 0.0, 'tightness_pct': 0.11873840445269017, 'volume_ratio_last10_vs_first_half': 0.7714668848584026, 'natr_ratio_last10_vs_first10': 0.8630194949657531, 'range_ratio_last10_vs_first10': 0.8239018168073271}","[{'pivot_index': 223, 'pivot_date': '2025-11-11', 'pivot_type': 'H', 'pivot_price': 643000.0, 'prominence_pct': 0.168, 'source_window': 7}, {'pivot_index': 258, 'pivot_date': '2026-01-02', 'pivot_type': 'L', 'pivot_price': 460000.0, 'prominence_pct': 0.1221, 'source_window': 7}, {'pivot_index': 270, 'pivot_date': '2026-01-20', 'pivot_type': 'H', 'pivot_price': 539000.0, 'prominence_pct': 0.102, 'source_window': 7}, {'pivot_index': 283, 'pivot_date': '2026-02-06', 'pivot_type': 'L', 'pivot_price': 430000.0, 'prominence_pct': 0.117, 'source_window': 7}, {'pivot_index': 323, 'pivot_date': '2026-04-09', 'pivot_type': 'H', 'pivot_price': 584000.0, 'prominence_pct': 0.2483, 'source_window': 7}]",True,0.839,High,FORMING_HANDLE,FORMING,2026-01-20,2026-04-17,584000.0,509000.0,,,,,-0.07534246575342463,False,"{'technical_quality': 0.7035, 'volume_confirmation': 0.9927, 'temporal_validity': 0.7667, 'market_context': 1.0}","{'cup_len': 53, 'cup_depth_pct': 0.2636986301369863, 'rim_diff_pct': 0.07705479452054795, 'recovery_ratio': 1.0834879406307978, 'balance_ratio': 0.325, 'bottom_zone_width': 10, 'bottom_zone_ratio': 0.18867924528301888, 'v_shape_recovery_ratio': 0.42207792207792205, 'handle_len': 6, 'handle_depth_pct': 0.1284246575342466, 'handle_volume_ratio': 0.9027558825246687, 'handle_upper_half': True, 'handle_vs_cup_advance': 0.487012987012987, 'prior_run_up_pct': 0.8427350427350426, 'price_only_break_index': None}","[{'pivot_index': 270, 'pivot_date': '2026-01-20', 'pivot_type': 'H', 'pivot_price': 539000.0, 'prominence_pct': 0.102, 'source_window': 7}, {'pivot_index': 283, 'pivot_date': '2026-02-06', 'pivot_type': 'L', 'pivot_price': 430000.0, 'prominence_pct': 0.2637, 'source_window': 0}, {'pivot_index': 323, 'pivot_date': '2026-04-09', 'pivot_type': 'H', 'pivot_price': 584000.0, 'prominence_pct': 0.2483, 'source_window': 7}]",True,False,False,False,True,FORMING,0.839,2,55.00000000000001,22.07,25.29,16.72,14.77,78.85,False
001040,True,True,True,True,True,True,True,False,330,22197648900.0,0.0872340425531914,7,214500.0,82531.0,2026-04-17,61.0,KOSPI,False,True,7,61.0,001040.KS,3,complete,,False,20.0,37.5,57.5,10,kr,True,True,True,passed,3302093240.0,True,0.792,Medium,FORMING_VCP,FORMING,2026-02-13,2026-04-17,213000.0,181100.0,,,,,0.007042253521126751,False,"{'technical_quality': 0.9173, 'volume_confirmation': 0.5593, 'temporal_validity': 0.669, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.2787, 0.1498], 'contraction_bars': [12, 9], 'recovery_bars': [12, 8], 'prior_run_up_pct': 0.6262975778546713, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.11971830985915492, 'volume_ratio_last10_vs_first_half': 0.7910996570283163, 'natr_ratio_last10_vs_first10': 0.9907205771977335, 'range_ratio_last10_vs_first10': 1.054235075851593}","[{'pivot_index': 288, 'pivot_date': '2026-02-13', 'pivot_type': 'H', 'pivot_price': 235000.0, 'prominence_pct': 0.1043, 'source_window': 7}, {'pivot_index': 300, 'pivot_date': '2026-03-09', 'pivot_type': 'L', 'pivot_price': 169500.0, 'prominence_pct': 0.1711, 'source_window': 7}, {'pivot_index': 312, 'pivot_date': '2026-03-25', 'pivot_type': 'H', 'pivot_price': 213000.0, 'prominence_pct': 0.1033, 'source_window': 7}, {'pivot_index': 321, 'pivot_date': '2026-04-07', 'pivot_type': 'L', 'pivot_price': 181100.0, 'prominence_pct': 0.1187, 'source_window': 7}, {'pivot_index': 329, 'pivot_date': '2026-04-17', 'pivot_type': 'H', 'pivot_price': 220000.0, 'prominence_pct': 0.1768, 'source_window': 7}]",True,0.859,High,FORMING_HANDLE,FORMING,2025-09-18,2026-04-17,213000.0,181100.0,,,,,0.007042253521126751,False,"{'technical_quality': 0.7678, 'volume_confirmation': 1.0, 'temporal_validity': 0.7348, 'market_context': 1.0}","{'cup_len': 121, 'cup_depth_pct': 0.25305164319248824, 'rim_diff_pct': 0.02112676056338028, 'recovery_ratio': 1.0215827338129497, 'balance_ratio': 0.3010752688172043, 'bottom_zone_width': 24, 'bottom_zone_ratio': 0.19834710743801653, 'v_shape_recovery_ratio': 0.32653061224489793, 'handle_len': 15, 'handle_depth_pct': 0.14976525821596245, 'handle_volume_ratio': 0.6100221406350719, 'handle_upper_half': False, 'handle_vs_cup_advance': 0.5918367346938775, 'prior_run_up_pct': 0.8716337522441651, 'price_only_break_index': 328}","[{'pivot_index': 191, 'pivot_date': '2025-09-18', 'pivot_type': 'H', 'pivot_price': 208500.0, 'prominence_pct': 0.1094, 'source_window': 7}, {'pivot_index': 219, 'pivot_date': '2025-11-05', 'pivot_type': 'L', 'pivot_price': 159100.0, 'prominence_pct': 0.2531, 'source_window': 0}, {'pivot_index': 312, 'pivot_date': '2026-03-25', 'pivot_type': 'H', 'pivot_price': 213000.0, 'prominence_pct': 0.1033, 'source_window': 7}]",True,False,False,False,True,FORMING,0.859,2,70.0,20.46,26.53,14.47,17.28,78.74,False
000720,True,True,True,True,True,True,True,True,330,190279300400.0,0.1078629032258065,7,177000.0,688673.0,2026-04-17,96.0,KOSPI,True,True,7,96.0,000720.KS,3,complete,,False,95.0,37.5,132.5,10,kr,True,True,True,passed,3302093240.0,True,0.762,Medium,FORMING_VCP,FORMING,2026-01-23,2026-04-17,176900.0,139600.0,,,,,0.0005652911249294235,False,"{'technical_quality': 0.6667, 'volume_confirmation': 0.75, 'temporal_validity': 0.8988, 'market_context': 0.8299}","{'contractions': 2, 'depths_pct': [0.1967, 0.2109], 'contraction_bars': [6, 20], 'recovery_bars': [16, 7], 'prior_run_up_pct': 1.2550831792975972, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.09214245336348219, 'volume_ratio_last10_vs_first_half': 0.7251227443941992, 'natr_ratio_last10_vs_first10': 1.0845535341394905, 'range_ratio_last10_vs_first10': 0.7472305542604669}","[{'pivot_index': 273, 'pivot_date': '2026-01-23', 'pivot_type': 'H', 'pivot_price': 122000.0, 'prominence_pct': 0.2016, 'source_window': 7}, {'pivot_index': 279, 'pivot_date': '2026-02-02', 'pivot_type': 'L', 'pivot_price': 98000.0, 'prominence_pct': 0.1155, 'source_window': 7}, {'pivot_index': 295, 'pivot_date': '2026-02-27', 'pivot_type': 'H', 'pivot_price': 176900.0, 'prominence_pct': 0.3064, 'source_window': 7}, {'pivot_index': 315, 'pivot_date': '2026-03-30', 'pivot_type': 'L', 'pivot_price': 139600.0, 'prominence_pct': 0.156, 'source_window': 7}, {'pivot_index': 322, 'pivot_date': '2026-04-08', 'pivot_type': 'H', 'pivot_price': 198400.0, 'prominence_pct': 0.2278, 'source_window': 7}]",False,0.0,None,NONE,NONE,,,,,,,,,,False,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",{},[],True,False,False,False,True,FORMING,0.762,1,95.0,24.46,25.77,10.96,16.89,78.08,False
000990,True,True,True,True,True,True,True,True,330,33898454100.0,0.0581497797356828,7,106900.0,424678.0,2026-04-17,89.0,KOSPI,True,True,7,89.0,000990.KS,4,complete,,False,70.0,67.5,137.5,11,kr,True,True,True,passed,3302093240.0,False,0.0,None,NONE,NONE,,,,,,,,,,False,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",{},[],True,0.68,Medium,FORMING_HANDLE,FORMING,2026-02-03,2026-04-17,107000.0,74800.0,,,,,-0.0009345794392523477,False,"{'technical_quality': 0.8156, 'volume_confirmation': 0.4, 'temporal_validity': 0.7833, 'market_context': 0.6667}","{'cup_len': 49, 'cup_depth_pct': 0.3409691629955947, 'rim_diff_pct': 0.05726872246696035, 'recovery_ratio': 0.9427312775330396, 'balance_ratio': 0.53125, 'bottom_zone_width': 10, 'bottom_zone_ratio': 0.20408163265306123, 'v_shape_recovery_ratio': 0.5478036175710594, 'handle_len': 0, 'handle_depth_pct': None, 'handle_volume_ratio': None, 'handle_upper_half': None, 'handle_vs_cup_advance': None, 'prior_run_up_pct': 1.6737338044758538, 'price_only_break_index': None}","[{'pivot_index': 280, 'pivot_date': '2026-02-03', 'pivot_type': 'H', 'pivot_price': 113500.0, 'prominence_pct': 0.1471, 'source_window': 7}, {'pivot_index': 297, 'pivot_date': '2026-03-04', 'pivot_type': 'L', 'pivot_price': 74800.0, 'prominence_pct': 0.341, 'source_window': 0}, {'pivot_index': 329, 'pivot_date': '2026-04-17', 'pivot_type': 'H', 'pivot_price': 107000.0, 'prominence_pct': 0.2019, 'source_window': 7}]",True,False,False,False,True,FORMING,0.68,1,80.0,23.29,28.21,8.0,16.56,76.06,False
000500,True,True,True,True,True,True,True,True,330,3362170600.0,0.027170311464546,7,146800.0,131065.0,2026-04-17,91.0,KOSPI,True,True,7,91.0,000500.KS,4,complete,,False,80.0,67.5,147.5,11,kr,True,True,True,passed,3302093240.0,True,0.772,Medium,BREAKOUT_VCP_RECENT,BROKEOUT_RECENT,2025-11-04,2026-04-17,92700.0,77600.0,2026-04-15,128000.0,434377.0,6.001900702524855,0.5836030204962244,True,"{'technical_quality': 0.8809, 'volume_confirmation': 0.75, 'temporal_validity': 0.4, 'market_context': 1.0}","{'contractions': 2, 'depths_pct': [0.3438, 0.1629], 'contraction_bars': [11, 6], 'recovery_bars': [20, 15], 'prior_run_up_pct': 0.8745247148288973, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.5339805825242718, 'volume_ratio_last10_vs_first_half': 0.5995886923568093, 'natr_ratio_last10_vs_first10': 0.6947015069687495, 'range_ratio_last10_vs_first10': 0.6814368556660864}","[{'pivot_index': 218, 'pivot_date': '2025-11-04', 'pivot_type': 'H', 'pivot_price': 98600.0, 'prominence_pct': 0.3124, 'source_window': 7}, {'pivot_index': 229, 'pivot_date': '2025-11-19', 'pivot_type': 'L', 'pivot_price': 64700.0, 'prominence_pct': 0.1554, 'source_window': 7}, {'pivot_index': 249, 'pivot_date': '2025-12-17', 'pivot_type': 'H', 'pivot_price': 92700.0, 'prominence_pct': 0.1845, 'source_window': 7}, {'pivot_index': 255, 'pivot_date': '2025-12-26', 'pivot_type': 'L', 'pivot_price': 77600.0, 'prominence_pct': 0.1142, 'source_window': 7}, {'pivot_index': 270, 'pivot_date': '2026-01-20', 'pivot_type': 'H', 'pivot_price': 103000.0, 'prominence_pct': 0.1408, 'source_window': 7}]",False,0.0,None,NONE,NONE,,,,,,,,,,False,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",{},[],False,False,True,False,True,RECENT_BREAKOUT,0.772,1,50.0,22.34,25.78,13.75,12.09,73.96,False
001440,True,True,True,True,True,True,True,True,330,71860432500.0,0.0796252927400468,7,39300.0,9342506.0,2026-04-17,90.0,KOSPI,True,True,7,90.0,001440.KS,4,complete,,False,75.0,67.5,142.5,11,kr,True,True,True,passed,3302093240.0,True,0.63,Medium,BREAKOUT_VCP_RECENT,BROKEOUT_RECENT,2025-11-13,2026-04-17,28900.0,25250.0,2026-04-15,41250.0,41216064.0,7.512689646952656,0.3598615916955017,True,"{'technical_quality': 0.9825, 'volume_confirmation': 0.2191, 'temporal_validity': 0.3083, 'market_context': 0.8247}","{'contractions': 2, 'depths_pct': [0.1967, 0.1263], 'contraction_bars': [30, 32], 'recovery_bars': [10, 31], 'prior_run_up_pct': 1.2628951747088188, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.4117647058823529, 'volume_ratio_last10_vs_first_half': 1.5915974988888764, 'natr_ratio_last10_vs_first10': 0.8321878908156236, 'range_ratio_last10_vs_first10': 1.0486922379319918}","[{'pivot_index': 225, 'pivot_date': '2025-11-13', 'pivot_type': 'H', 'pivot_price': 27200.0, 'prominence_pct': 0.1434, 'source_window': 7}, {'pivot_index': 255, 'pivot_date': '2025-12-26', 'pivot_type': 'L', 'pivot_price': 21850.0, 'prominence_pct': 0.099, 'source_window': 7}, {'pivot_index': 265, 'pivot_date': '2026-01-13', 'pivot_type': 'H', 'pivot_price': 28900.0, 'prominence_pct': 0.1367, 'source_window': 7}, {'pivot_index': 297, 'pivot_date': '2026-03-04', 'pivot_type': 'L', 'pivot_price': 25250.0, 'prominence_pct': 0.3054, 'source_window': 7}, {'pivot_index': 328, 'pivot_date': '2026-04-16', 'pivot_type': 'H', 'pivot_price': 42700.0, 'prominence_pct': 0.3489, 'source_window': 7}]",False,0.0,None,NONE,NONE,,,,,,,,,,False,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",{},[],False,False,True,False,True,RECENT_BREAKOUT,0.63,1,85.0,23.56,27.31,5.65,11.52,68.04,False
001120,True,True,True,True,True,True,True,True,330,9907687350.0,0.0908256880733945,7,49550.0,143124.0,2026-04-17,82.0,KOSPI,True,True,7,82.0,001120.KS,3,complete,,False,50.0,37.5,87.5,10,kr,True,True,True,passed,3302093240.0,False,0.577,Low,FORMING_VCP,FORMING,2025-12-16,2026-04-17,49750.0,37600.0,,,,,-0.004020100502512558,False,"{'technical_quality': 0.6667, 'volume_confirmation': 0.0, 'temporal_validity': 0.8167, 'market_context': 0.9403}","{'contractions': 2, 'depths_pct': [0.1089, 0.2442], 'contraction_bars': [8, 4], 'recovery_bars': [37, 22], 'prior_run_up_pct': 0.22671353251318105, 'resistance_band_pct': 0.0, 'last_two_high_gap_pct': 0.0, 'higher_lows_ratio': 1.0, 'tightness_pct': 0.061306532663316586, 'volume_ratio_last10_vs_first_half': 1.2146043470203585, 'natr_ratio_last10_vs_first10': 2.4048693074221292, 'range_ratio_last10_vs_first10': 1.404886592919754}","[{'pivot_index': 248, 'pivot_date': '2025-12-16', 'pivot_type': 'H', 'pivot_price': 34900.0, 'prominence_pct': 0.0788, 'source_window': 7}, {'pivot_index': 256, 'pivot_date': '2025-12-29', 'pivot_type': 'L', 'pivot_price': 31100.0, 'prominence_pct': 0.0576, 'source_window': 7}, {'pivot_index': 293, 'pivot_date': '2026-02-25', 'pivot_type': 'H', 'pivot_price': 49750.0, 'prominence_pct': 0.1106, 'source_window': 7}, {'pivot_index': 297, 'pivot_date': '2026-03-04', 'pivot_type': 'L', 'pivot_price': 37600.0, 'prominence_pct': 0.1493, 'source_window': 7}, {'pivot_index': 319, 'pivot_date': '2026-04-03', 'pivot_type': 'H', 'pivot_price': 54500.0, 'prominence_pct': 0.189, 'source_window': 7}]",False,0.0,None,NONE,NONE,,,,,,,,,,False,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",{},[],True,False,False,False,True,FORMING,0.577,0,60.0,21.93,24.91,4.19,16.15,67.18,False
