symbol,fin_met_count,rs_score,met_count,total_met_count,added_date
1060,0,71.43,7,7,2026-04-17
3547,3,76.07,7,10,2026-04-17
660,6,98.67,7,13,2026-04-17
670,5,75.33,7,12,2026-04-17
725,4,72.67,7,11,2026-04-17
1755,2,87.73,7,9,2026-04-17
720,0,96.83,7,7,2026-04-17
815,0,57.14,7,7,2026-04-17
880,0,88.89,7,7,2026-04-17
1720,3,92.02,7,10,2026-04-17
1740,2,65.03,7,9,2026-04-17
1750,3,88.34,7,10,2026-04-17
155,3,92.0,7,10,2026-04-17
2025,4,78.53,7,11,2026-04-17
3380,2,95.71,7,9,2026-04-17
3465,2,77.91,7,9,2026-04-17
3000,6,87.12,7,13,2026-04-17
1560,1,56.67,7,8,2026-04-17
1820,3,93.33,7,10,2026-04-17
2240,3,73.33,7,10,2026-04-17
2290,3,48.67,7,10,2026-04-17
2380,3,80.0,7,10,2026-04-17
430,4,51.33,7,11,2026-04-17
500,4,94.0,7,11,2026-04-17
1510,0,98.41,7,7,2026-04-17
1440,0,92.06,7,7,2026-04-17
1430,0,95.24,7,7,2026-04-17
1120,0,77.78,7,7,2026-04-17
1270,0,90.48,7,7,2026-04-17
1275,0,76.19,7,7,2026-04-17
1340,0,49.21,7,7,2026-04-17
2310,3,66.87,7,10,2026-04-17
2355,4,68.71,7,11,2026-04-17
2460,2,61.35,7,9,2026-04-17
2810,1,70.55,7,8,2026-04-17
2960,3,73.01,7,10,2026-04-17
2990,2,81.6,7,9,2026-04-17
3160,2,95.09,7,9,2026-04-17
3470,3,85.89,7,10,2026-04-17
1040,3,66.67,7,10,2026-04-17
1390,2,64.67,7,9,2026-04-17
150,3,96.0,7,10,2026-04-17
3475,3,73.62,7,10,2026-04-17
3540,4,90.18,7,11,2026-04-17
3545,4,75.46,7,11,2026-04-17
2170,3,52.76,7,10,2026-04-17
2020,4,90.8,7,11,2026-04-17
1080,0,85.71,7,7,2026-04-17
1465,0,74.6,7,7,2026-04-17
990,4,91.33,7,11,2026-04-17
