symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
000660,True,True,True,True,True,True,True,True,330,4254630379000.0,0.0341005967604433,7,1133000.0,2059430.0,2026-04-17,98.67,KOSPI,True,True,7,98.67,000660.KS,6,complete,,False,100.0,98.48484848484848,198.4848484848485,13
000880,True,True,True,True,True,True,True,True,330,29346037700.0,0.113131313131313,7,131700.0,168623.0,2026-04-17,84.67,KOSPI,True,True,7,84.67,000880.KS,6,complete,,False,57.57575757575758,98.48484848484848,156.06060606060606,13
001465,True,True,True,True,True,True,True,True,330,43361250.0,0.0732758620689655,7,32250.0,1450.0,2026-04-17,85.33,KOSPI,True,True,7,85.33,001465.KS,5,complete,,False,60.60606060606061,92.42424242424242,153.03030303030303,12
000670,True,True,True,True,True,True,True,True,330,1991891650.0,0.0760704470115454,7,66200.0,34648.0,2026-04-17,79.33,KOSPI,True,True,7,79.33,000670.KS,5,complete,,False,48.48484848484848,92.42424242424242,140.9090909090909,12
000500,True,True,True,True,True,True,True,True,330,3362170600.0,0.0304837640821735,7,146300.0,116557.0,2026-04-17,94.0,KOSPI,True,True,7,94.0,000500.KS,4,complete,,False,87.87878787878788,75.75757575757575,163.63636363636363,11
001440,True,True,True,True,True,True,True,True,330,71860432500.0,0.0843091334894613,7,39100.0,8319705.0,2026-04-17,92.67,KOSPI,True,True,7,92.67,001440.KS,4,complete,,False,81.81818181818183,75.75757575757575,157.57575757575756,11
000990,True,True,True,True,True,True,True,True,330,33568133150.0,0.077533039647577,7,104700.0,271509.0,2026-04-17,91.33,KOSPI,True,True,7,91.33,000990.KS,4,complete,,False,75.75757575757575,75.75757575757575,151.5151515151515,11
002020,True,True,True,True,True,True,True,True,330,4466020200.0,0.1304945054945054,7,63300.0,30638.0,2026-04-17,88.67,KOSPI,True,True,7,88.67,002020.KS,4,complete,,False,72.72727272727273,75.75757575757575,148.4848484848485,11
002025,True,True,True,True,True,True,True,True,330,151153025.0,0.0759493670886075,7,29200.0,1059.0,2026-04-17,76.67,KOSPI,True,True,7,76.67,002025.KS,4,complete,,False,42.42424242424242,75.75757575757575,118.18181818181816,11
001275,True,True,True,True,True,True,True,True,330,107455200.0,0.1135265700483091,7,36700.0,1705.0,2026-04-17,74.67,KOSPI,True,True,7,74.67,001275.KS,4,complete,,False,39.39393939393939,75.75757575757575,115.15151515151514,11
000725,True,True,True,True,True,True,True,True,330,966157050.0,0.1047058823529412,7,76100.0,7925.0,2026-04-17,73.33,KOSPI,True,True,7,73.33,000725.KS,4,complete,,False,33.33333333333333,75.75757575757575,109.09090909090908,11
002355,True,True,True,True,True,True,True,False,330,46290885.0,0.0922431865828092,7,4330.0,4768.0,2026-04-17,66.0,KOSPI,False,True,7,66.0,002355.KS,4,complete,,False,24.24242424242424,75.75757575757575,100.0,11
000430,True,True,True,True,True,True,True,False,330,557890052.5,0.037117903930131,7,4410.0,163093.0,2026-04-17,52.0,KOSPI,False,True,7,52.0,000430.KS,4,complete,,False,9.090909090909092,75.75757575757575,84.84848484848484,11
000720,True,True,True,True,True,True,True,True,330,190279300400.0,0.1068548387096773,7,177200.0,556105.0,2026-04-17,97.33,KOSPI,True,True,7,97.33,000720.KS,3,complete,,False,96.96969696969695,42.42424242424242,139.39393939393938,10
000150,True,True,True,True,True,True,True,True,330,91189467000.0,0.0539389638041164,7,1333000.0,53323.0,2026-04-17,96.0,KOSPI,True,True,7,96.0,000150.KS,3,complete,,False,93.93939393939394,42.42424242424242,136.36363636363637,10
001820,True,True,True,True,True,True,True,True,330,13473078300.0,0.0566860465116279,7,64900.0,186130.0,2026-04-17,93.33,KOSPI,True,True,7,93.33,001820.KS,3,complete,,False,84.84848484848484,42.42424242424242,127.27272727272728,10
000155,True,True,True,True,True,True,True,True,330,8055596500.0,0.1477449455676516,7,548000.0,9843.0,2026-04-17,92.0,KOSPI,True,True,7,92.0,000155.KS,3,complete,,False,78.78787878787878,42.42424242424242,121.2121212121212,10
