symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass
043260,True,True,True,True,True,True,True,True,296,74868414150.0,0.15436241610738255,7,50400.0,1513696.0,2026-03-13,100.0,KOSPI,True,False
187660,True,True,True,True,True,True,True,True,295,227985023970.0,0.13767441860465113,7,18540.0,13416581.0,2026-03-13,99.88,KOSPI,True,True
032820,True,True,True,True,True,True,True,True,296,582414416350.0,0.02004008016032066,7,24450.0,60991771.0,2026-03-13,99.84,KOSPI,True,True
010170,True,True,True,True,True,True,True,True,296,77510199880.0,0.1685393258426966,7,7400.0,42616951.0,2026-03-13,99.79,KOSPI,True,False
008600,True,True,True,True,True,True,True,True,296,190349522.5,0.05054151624548742,7,2630.0,0.0,2026-03-13,99.75,KOSPI,True,True
036170,True,True,True,True,True,True,True,True,296,9545786250.0,0.017921146953404965,7,5480.0,2460297.0,2026-03-13,99.63,KOSPI,True,True
038500,True,True,True,True,True,True,True,True,296,146819395335.0,0.225531914893617,7,18200.0,9108915.0,2026-03-13,99.59,KOSPI,True,False
124500,True,True,True,True,True,True,True,True,297,20079583700.0,0.06622516556291391,7,70500.0,438861.0,2026-03-13,99.55,KOSPI,True,True
174900,True,True,True,True,True,True,True,True,297,22122940900.0,0.05913410770855332,7,89100.0,807065.0,2026-03-13,99.51,KOSPI,True,True
006800,True,True,True,True,True,True,True,True,296,385145721750.0,0.10090556274256146,7,69500.0,3651388.0,2026-03-13,99.3,KOSPI,True,True
085910,True,True,True,True,True,True,True,True,296,5425205380.0,0.2098654708520179,7,17620.0,135218.0,2026-03-13,99.26,KOSPI,True,False
115180,True,True,True,True,True,True,True,True,297,11345226025.0,0.2066772655007949,7,49900.0,752162.0,2026-03-13,99.22,KOSPI,True,False
290740,True,True,True,True,True,True,True,True,297,6333568650.0,0.24770642201834858,7,24600.0,571336.0,2026-03-13,99.18,KOSPI,True,False
295310,True,True,True,True,True,True,True,True,296,26254516200.0,0.08544027898866613,7,104900.0,302289.0,2026-03-13,99.14,KOSPI,True,True
042520,True,True,True,True,True,True,True,True,296,8676585225.0,0.2125693160813309,7,42600.0,138481.0,2026-03-13,99.02,KOSPI,True,False
