symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
000880,True,True,True,True,True,True,True,True,296,62701113600.0,0.1777777777777778,7,122100.0,188161.0,2026-03-13,92.64,KOSPI,True,False,7,92.64,000880.KS,6,complete,,False,80.0,98.57142857142858,178.57142857142858,13
003000,True,True,True,True,True,True,True,True,296,11147510710.0,0.0255999999999999,7,6090.0,3658377.0,2026-03-13,87.12,KOSPI,True,True,7,87.12,003000.KS,6,complete,,False,60.0,98.57142857142858,158.57142857142858,13
001465,True,True,True,True,True,True,True,True,296,125051200.0,0.2370689655172413,7,26550.0,579.0,2026-03-13,79.14,KOSPI,True,False,7,79.14,001465.KS,5,complete,,False,45.71428571428572,94.28571428571428,140.0,12
001510,True,True,True,True,True,True,True,True,296,93193247342.5,0.2453389830508474,7,1781.0,20756175.0,2026-03-13,99.39,KOSPI,True,False,7,99.39,001510.KS,4,complete,,False,100.0,80.0,180.0,11
001440,True,True,True,True,True,True,True,True,296,171720618250.0,0.1981258366800535,7,29950.0,2511892.0,2026-03-13,94.48,KOSPI,True,False,7,94.48,001440.KS,4,complete,,False,85.71428571428571,80.0,165.71428571428572,11
001270,True,True,True,True,True,True,True,True,296,6087804450.0,0.2208413001912046,7,81500.0,48148.0,2026-03-13,93.87,KOSPI,True,False,7,93.87,001270.KS,4,complete,,False,82.85714285714286,80.0,162.85714285714286,11
002020,True,True,True,True,True,True,True,True,296,4264514650.0,0.2362637362637363,7,55600.0,49685.0,2026-03-13,90.8,KOSPI,True,False,7,90.8,002020.KS,4,complete,,False,74.28571428571429,80.0,154.28571428571428,11
003540,True,True,True,True,True,True,True,True,296,13210712400.0,0.2247081712062256,7,39850.0,115860.0,2026-03-13,90.18,KOSPI,True,False,7,90.18,003540.KS,4,complete,,False,71.42857142857143,80.0,151.42857142857144,11
001275,True,True,True,True,True,True,True,True,296,225374650.0,0.0881642512077294,7,37750.0,5308.0,2026-03-13,82.21,KOSPI,True,True,7,82.21,001275.KS,4,complete,,False,51.42857142857142,80.0,131.42857142857142,11
002025,True,True,True,True,True,True,True,True,296,184253525.0,0.1534810126582279,7,26750.0,4762.0,2026-03-13,78.53,KOSPI,True,False,7,78.53,002025.KS,4,complete,,False,42.85714285714285,80.0,122.85714285714286,11
003545,True,True,True,True,True,True,True,True,296,3847006075.0,0.1391162029459901,7,26300.0,67444.0,2026-03-13,75.46,KOSPI,True,True,7,75.46,003545.KS,4,complete,,False,34.285714285714285,80.0,114.28571428571428,11
002355,True,True,True,True,True,True,True,False,296,132025822.5,0.1352201257861635,7,4125.0,9651.0,2026-03-13,68.71,KOSPI,False,True,7,68.71,002355.KS,4,complete,,False,20.0,80.0,100.0,11
000720,True,True,True,True,True,True,True,True,296,231976745250.0,0.0706613906161672,7,164400.0,2710670.0,2026-03-13,98.77,KOSPI,True,True,7,98.77,000720.KS,3,complete,,False,97.14285714285714,50.0,147.14285714285714,10
001720,True,True,True,True,True,True,True,True,296,13814323700.0,0.2389705882352941,7,207000.0,33988.0,2026-03-13,92.02,KOSPI,True,False,7,92.02,001720.KS,3,complete,,False,77.14285714285715,50.0,127.14285714285715,10
001080,True,True,True,True,True,True,True,True,296,150042780.0,0.186385737439222,7,5020.0,59778.0,2026-03-13,89.57,KOSPI,True,False,7,89.57,001080.KS,3,complete,,False,68.57142857142857,50.0,118.57142857142856,10
001750,True,True,True,True,True,True,True,True,296,1310651075.0,0.0982758620689655,7,26150.0,38243.0,2026-03-13,88.34,KOSPI,True,True,7,88.34,001750.KS,3,complete,,False,65.71428571428571,50.0,115.71428571428572,10
003470,True,True,True,True,True,True,True,True,296,6728729455.0,0.2182103610675039,7,4980.0,519795.0,2026-03-13,85.89,KOSPI,True,False,7,85.89,003470.KS,3,complete,,False,57.14285714285714,50.0,107.14285714285714,10
001120,True,True,True,True,True,True,True,True,296,9514164375.0,0.1296482412060301,7,43300.0,209607.0,2026-03-13,83.44,KOSPI,True,True,7,83.44,001120.KS,3,complete,,False,54.285714285714285,50.0,104.28571428571428,10
003547,True,True,True,True,True,True,True,True,296,1237533575.0,0.1596638655462184,7,25000.0,24241.0,2026-03-13,76.07,KOSPI,True,False,7,76.07,003547.KS,3,complete,,False,37.142857142857146,50.0,87.14285714285714,10
001060,True,True,True,True,True,True,True,True,296,3727291500.0,0.1910828025477706,7,31750.0,45527.0,2026-03-13,74.85,KOSPI,True,False,7,74.85,001060.KS,3,complete,,False,31.428571428571427,50.0,81.42857142857143,10
003475,True,True,True,True,True,True,True,True,296,417769420.0,0.1868231046931407,7,4505.0,31528.0,2026-03-13,73.62,KOSPI,True,False,7,73.62,003475.KS,3,complete,,False,28.57142857142857,50.0,78.57142857142857,10
