symbol,met_count,rs_score,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile
000880,7,92.64,000880.KS,6,complete,,False,80.0,98.57142857142858,178.57142857142858
003000,7,87.12,003000.KS,6,complete,,False,60.0,98.57142857142858,158.57142857142858
001465,7,79.14,001465.KS,5,complete,,False,45.714285714285715,94.28571428571428,140.0
001510,7,99.39,001510.KS,4,complete,,False,100.0,80.0,180.0
001440,7,94.48,001440.KS,4,complete,,False,85.71428571428571,80.0,165.71428571428572
001270,7,93.87,001270.KS,4,complete,,False,82.85714285714286,80.0,162.85714285714286
002020,7,90.8,002020.KS,4,complete,,False,74.28571428571429,80.0,154.28571428571428
003540,7,90.18,003540.KS,4,complete,,False,71.42857142857143,80.0,151.42857142857144
001275,7,82.21,001275.KS,4,complete,,False,51.42857142857142,80.0,131.42857142857142
002025,7,78.53,002025.KS,4,complete,,False,42.857142857142854,80.0,122.85714285714286
003545,7,75.46,003545.KS,4,complete,,False,34.285714285714285,80.0,114.28571428571428
002355,7,68.71,002355.KS,4,complete,,False,20.0,80.0,100.0
000720,7,98.77,000720.KS,3,complete,,False,97.14285714285714,50.0,147.14285714285714
001720,7,92.02,001720.KS,3,complete,,False,77.14285714285715,50.0,127.14285714285715
001080,7,89.57,001080.KS,3,complete,,False,68.57142857142857,50.0,118.57142857142857
001750,7,88.34,001750.KS,3,complete,,False,65.71428571428571,50.0,115.71428571428571
003470,7,85.89,003470.KS,3,complete,,False,57.14285714285714,50.0,107.14285714285714
001120,7,83.44,001120.KS,3,complete,,False,54.285714285714285,50.0,104.28571428571428
003547,7,76.07,003547.KS,3,complete,,False,37.142857142857146,50.0,87.14285714285714
001060,7,74.85,001060.KS,3,complete,,False,31.428571428571427,50.0,81.42857142857143
003475,7,73.62,003475.KS,3,complete,,False,28.57142857142857,50.0,78.57142857142857
002960,7,73.01,002960.KS,3,complete,,False,25.71428571428571,50.0,75.71428571428571
002310,7,66.87,002310.KS,3,complete,,False,17.142857142857142,50.0,67.14285714285714
002170,7,52.76,002170.KS,3,complete,,False,2.857142857142857,50.0,52.857142857142854
003380,7,95.71,003380.KQ,2,complete,,False,91.42857142857143,20.0,111.42857142857143
003160,7,95.09,003160.KS,2,complete,,False,88.57142857142857,20.0,108.57142857142857
001755,7,87.73,001755.KS,2,complete,,False,62.857142857142854,20.0,82.85714285714286
002990,7,81.6,002990.KS,2,complete,,False,48.57142857142857,20.0,68.57142857142857
003465,7,77.91,003465.KS,2,complete,,False,40.0,20.0,60.0
001740,7,65.03,001740.KS,2,complete,,False,14.285714285714285,20.0,34.285714285714285
000815,7,63.8,000815.KS,2,complete,,False,11.428571428571429,20.0,31.42857142857143
002460,7,61.35,002460.KS,2,complete,,False,8.571428571428571,20.0,28.57142857142857
001340,7,55.83,001340.KS,2,complete,,False,5.714285714285714,20.0,25.714285714285715
001430,7,98.16,001430.KS,1,complete,,False,94.28571428571428,4.285714285714286,98.57142857142857
002810,7,70.55,002810.KS,1,complete,,False,22.857142857142858,4.285714285714286,27.142857142857142
