as_of_ts,symbol,market,market_code,setup_family,candidate_stage,priority_tier,stock_grade,setup_grade,a_pp_score,setup_score,score,final_priority_score,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score,reason_codes,fail_codes,data_flags,data_confidence_score,pivot_price,stop_price,risk_unit_pct,entry_timeframe,suggested_entry,suggested_stop,current_price,volume_ratio,adr,vcp_pattern,breakout_level,stop_loss,risk_reward_ratio,passed,scores,execution,metrics
2026-04-22,CMP,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,3-star,79.34,83.65,83.65,83.65,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,27.18,26.16,3.75,5m_ORH,27.18,26.16,26.95,1.61,3.86,True,27.18,26.16,2.66,True,"{'a_pp_score': 79.34, 'setup_score': 83.65, 'final_priority_score': 83.65, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 27.18, 'stop_price': 26.16, 'risk_unit_pct': 3.75}","{'prior_run_pct': 0.3, 'base_length': 15.0, 'compression_score': 89.42, 'readiness_score': 79.52, 'intraday_confirmation_score': 87.24, 'execution_quality_score': 90.38, 'pivot_distance_pct': -0.84, 'high_52w_proximity': 0.99}"
2026-04-22,NVT,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 2,A++,3-star,85.08,83.31,83.31,83.52,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,141.14,136.23,3.48,5m_ORH,141.14,136.23,140.13,1.15,3.48,True,141.14,136.23,2.87,True,"{'a_pp_score': 85.08, 'setup_score': 83.31, 'final_priority_score': 83.52, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 141.14, 'stop_price': 136.23, 'risk_unit_pct': 3.48}","{'prior_run_pct': 0.37, 'base_length': 15.0, 'compression_score': 91.73, 'readiness_score': 81.44, 'intraday_confirmation_score': 67.14, 'execution_quality_score': 75.95, 'pivot_distance_pct': -0.72, 'high_52w_proximity': 0.99}"
2026-04-22,EME,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,3-star,82.24,83.18,83.18,83.54,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,861.34,834.95,3.06,5m_ORH,861.34,834.95,860.0,1.17,3.06,True,861.34,834.95,3.26,True,"{'a_pp_score': 82.24, 'setup_score': 83.18, 'final_priority_score': 83.54, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 861.34, 'stop_price': 834.95, 'risk_unit_pct': 3.06}","{'prior_run_pct': 0.37, 'base_length': 15.0, 'compression_score': 89.33, 'readiness_score': 80.9, 'intraday_confirmation_score': 76.64, 'execution_quality_score': 83.64, 'pivot_distance_pct': -0.16, 'high_52w_proximity': 1.0}"
2026-04-22,AIA,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,3-star,78.32,82.78,82.78,80.97,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'NO_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",30.0,122.42,120.09,1.91,5m_ORH,122.42,120.09,122.02,1.68,1.91,False,122.42,120.09,5.24,True,"{'a_pp_score': 78.32, 'setup_score': 82.78, 'final_priority_score': 80.97, 'data_confidence_score': 30.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 122.42, 'stop_price': 120.09, 'risk_unit_pct': 1.91}","{'prior_run_pct': 0.2, 'base_length': 15.0, 'compression_score': 80.18, 'readiness_score': 86.82, 'intraday_confirmation_score': 89.16, 'execution_quality_score': 94.19, 'pivot_distance_pct': -0.33, 'high_52w_proximity': 1.0}"
2026-04-22,KEX,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,3-star,80.36,82.25,82.25,82.72,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,148.44,144.94,2.36,5m_ORH,148.44,144.94,148.28,1.14,2.46,True,148.44,144.94,4.24,True,"{'a_pp_score': 80.36, 'setup_score': 82.25, 'final_priority_score': 82.72, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 148.44, 'stop_price': 144.94, 'risk_unit_pct': 2.36}","{'prior_run_pct': 0.27, 'base_length': 15.0, 'compression_score': 87.91, 'readiness_score': 82.69, 'intraday_confirmation_score': 74.17, 'execution_quality_score': 83.42, 'pivot_distance_pct': -0.11, 'high_52w_proximity': 1.0}"
2026-04-22,BHP,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 2,A++,3-star,85.48,82.01,82.01,83.02,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,81.34,79.7,2.02,5m_ORH,81.34,79.7,80.56,0.76,2.02,True,81.34,79.7,4.96,True,"{'a_pp_score': 85.48, 'setup_score': 82.01, 'final_priority_score': 83.02, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 81.34, 'stop_price': 79.7, 'risk_unit_pct': 2.02}","{'prior_run_pct': 0.32, 'base_length': 15.0, 'compression_score': 98.11, 'readiness_score': 85.61, 'intraday_confirmation_score': 41.49, 'execution_quality_score': 74.49, 'pivot_distance_pct': -0.96, 'high_52w_proximity': 0.97}"
2026-04-22,AUPH,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,3-star,79.81,81.59,81.59,82.2,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,16.56,16.05,3.05,5m_ORH,16.56,16.05,16.42,1.12,3.09,True,16.56,16.05,3.28,True,"{'a_pp_score': 79.81, 'setup_score': 81.59, 'final_priority_score': 82.2, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 16.56, 'stop_price': 16.05, 'risk_unit_pct': 3.05}","{'prior_run_pct': 0.19, 'base_length': 15.0, 'compression_score': 81.2, 'readiness_score': 90.76, 'intraday_confirmation_score': 71.27, 'execution_quality_score': 81.9, 'pivot_distance_pct': -0.82, 'high_52w_proximity': 0.99}"
2026-04-22,PICK,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,3-star,82.39,80.7,80.7,80.54,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",45.0,64.59,63.36,1.92,5m_ORH,64.59,63.36,63.31,0.49,1.92,True,64.59,63.36,5.22,True,"{'a_pp_score': 82.39, 'setup_score': 80.7, 'final_priority_score': 80.54, 'data_confidence_score': 45.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 64.59, 'stop_price': 63.36, 'risk_unit_pct': 1.92}","{'prior_run_pct': 0.25, 'base_length': 15.0, 'compression_score': 100.0, 'readiness_score': 83.2, 'intraday_confirmation_score': 38.96, 'execution_quality_score': 71.96, 'pivot_distance_pct': -1.99, 'high_52w_proximity': 0.97}"
2026-04-22,RIO,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,3-star,80.96,80.18,80.18,80.52,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,101.43,99.64,1.76,5m_ORH,101.43,99.64,100.28,0.92,1.76,True,101.43,99.64,5.68,True,"{'a_pp_score': 80.96, 'setup_score': 80.18, 'final_priority_score': 80.52, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 101.43, 'stop_price': 99.64, 'risk_unit_pct': 1.76}","{'prior_run_pct': 0.25, 'base_length': 15.0, 'compression_score': 100.0, 'readiness_score': 80.25, 'intraday_confirmation_score': 42.28, 'execution_quality_score': 67.15, 'pivot_distance_pct': -1.14, 'high_52w_proximity': 0.99}"
2026-04-22,RS,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,77.11,79.79,79.79,82.59,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_6M', 'NEAR_52W_HIGH', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,351.79,343.83,2.26,5m_ORH,351.79,343.83,350.87,2.25,2.46,True,351.79,343.83,4.42,True,"{'a_pp_score': 77.11, 'setup_score': 79.79, 'final_priority_score': 82.59, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 351.79, 'stop_price': 343.83, 'risk_unit_pct': 2.26}","{'prior_run_pct': 0.21, 'base_length': 15.0, 'compression_score': 74.73, 'readiness_score': 79.21, 'intraday_confirmation_score': 90.88, 'execution_quality_score': 98.88, 'pivot_distance_pct': -0.26, 'high_52w_proximity': 0.96}"
