as_of_ts,symbol,market,sector,setup_scope,stock_grade,a_pp_score,focus_seed_score,compression_score,high_52w_proximity,breakout_universe_pass,ep_universe_pass,pivot_price,stop_price,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score
2026-04-16,AAOI,US,Technology,PATTERN_EXCLUDED_POOL,A+,77.22,66.16,27.0,0.9995,True,True,157.55739389038084,142.42634530639646,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,AAMI,US,Financial Services,PATTERN_EXCLUDED_POOL,B,74.34,68.71,56.23,0.9828,True,True,67.64257194519043,65.29557201385498,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ACLS,US,Technology,PATTERN_EXCLUDED_POOL,B,73.26,70.31,61.13,0.9816,True,True,121.11098786163328,115.56398850250241,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ACHC,US,Healthcare,PATTERN_EXCLUDED_POOL,B,72.18,67.25,57.06,0.9442,True,False,28.01798977088928,26.848489610671994,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ACLX,US,Healthcare,PATTERN_EXCLUDED_POOL,B,71.74,82.39,100.0,0.9997,False,True,115.24512725067136,114.47000122070312,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,AA,US,Basic Materials,PATTERN_EXCLUDED_POOL,B,69.65,66.41,73.71,0.9301,True,False,75.77569694519042,72.46710721083647,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,AAUC,US,Basic Materials,PATTERN_EXCLUDED_POOL,B,68.75,71.54,69.0,0.9947,False,True,32.02198977088928,31.701379065967757,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ABCB,US,Financial Services,PATTERN_EXCLUDED_POOL,B,67.59,72.58,85.5,0.9392,True,False,84.11402877807616,82.46386179033281,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,AAXJ,US,,PATTERN_EXCLUDED_POOL,B,67.4,63.87,41.52,0.9841,True,True,106.74663938903808,104.83505509918645,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ABNB,US,Consumer Cyclical,PATTERN_EXCLUDED_POOL,B,65.91,60.28,40.85,0.9578,False,True,140.0899469451904,135.67174971403145,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ACIW,US,Technology,PATTERN_EXCLUDED_POOL,Discard,56.64,63.63,71.83,0.7719,False,True,43.18313938903808,41.9541191240058,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,AAPU,US,,PATTERN_EXCLUDED_POOL,Discard,56.53,50.77,39.12,0.7386,False,True,30.94090984725952,29.668023441817933,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,AAT,US,Real Estate,PATTERN_EXCLUDED_POOL,Discard,54.71,59.28,52.29,0.95,True,True,20.380360610961908,19.976360519409173,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ACI,US,Consumer Defensive,PATTERN_EXCLUDED_POOL,Discard,41.51,31.15,19.86,0.7186,False,True,18.23821931266784,17.70031958007812,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
2026-04-16,ABT,US,Healthcare,PATTERN_EXCLUDED_POOL,Discard,37.04,30.37,23.87,0.6865,False,True,106.08598336029051,103.74749217186267,RISK_ON,RISK_ON,82.0,78.0,86.0,74.0
