as_of_ts,symbol,market,sector,setup_scope,stock_grade,a_pp_score,focus_seed_score,compression_score,high_52w_proximity,breakout_universe_pass,ep_universe_pass,pivot_price,stop_price,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score
2026-03-11,AAAU,US,,PATTERN_EXCLUDED_POOL,A+,83.7,80.67,82.76,0.9346,True,True,52.87281969451904,52.01919012168962,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-13,ADEA,US,Technology,PATTERN_EXCLUDED_POOL,A+,83.13,71.97,57.84,0.969,True,True,23.543419267654418,22.52342872810364,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-11,ADC,US,Real Estate,PATTERN_EXCLUDED_POOL,A+,77.58,69.89,61.06,0.9728,True,True,82.16208183288573,80.77564815805148,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-11,AAUC,US,Basic Materials,PATTERN_EXCLUDED_POOL,A+,75.37,75.52,76.0,0.9866,True,True,31.791760229110718,31.47384262681961,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-13,AA,US,Basic Materials,PATTERN_EXCLUDED_POOL,B,74.87,63.12,52.5,0.9297,True,True,68.46840152740478,64.39665184020996,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-11,ACLX,US,Healthcare,PATTERN_EXCLUDED_POOL,B,73.47,78.03,86.5,0.9962,True,True,114.91480305480954,113.68000030517578,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-13,AAOI,US,Technology,PATTERN_EXCLUDED_POOL,B,73.28,58.82,46.98,0.7507,False,True,129.08896672058103,117.12701660919187,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-13,ADM,US,Consumer Defensive,PATTERN_EXCLUDED_POOL,B,66.59,59.35,45.56,0.9764,True,True,73.79372122192382,71.62886030578612,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-11,AAXJ,US,,PATTERN_EXCLUDED_POOL,B,65.35,48.19,22.0,0.9324,False,True,107.9578484725952,105.70203388849465,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-11,ACWX,US,,PATTERN_EXCLUDED_POOL,B,64.72,48.01,22.0,0.9373,False,True,74.99491816711425,73.92948210102237,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-11,ABNB,US,Consumer Cyclical,PATTERN_EXCLUDED_POOL,B,63.18,54.88,32.5,0.9271,True,False,139.13899999999998,133.86684334577177,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2025-08-19,AACT,US,,PATTERN_EXCLUDED_POOL,B,62.18,62.38,57.27,0.9802,True,True,11.491479541778563,11.376564746360778,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-13,ACWI,US,,PATTERN_EXCLUDED_POOL,Discard,59.58,41.12,15.0,0.9381,False,True,148.89874999999998,146.95829572571915,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-11,ABCB,US,Financial Services,PATTERN_EXCLUDED_POOL,Discard,50.3,37.84,21.49,0.8592,False,True,84.05397122192382,81.41647918689148,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-13,ADPT,US,Healthcare,PATTERN_EXCLUDED_POOL,Discard,43.24,30.76,6.63,0.6344,False,True,16.96695076370239,16.077270854949948,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
2026-03-13,ABM,US,Industrials,PATTERN_EXCLUDED_POOL,Discard,35.02,24.68,8.65,0.7323,False,True,45.72568030548095,44.29018035125731,RISK_OFF,RISK_OFF,1.64,1.64,1.64,1.64
