symbol,market,setup_family,candidate_stage,stock_grade,setup_grade,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score,current_price,short_term_rise,consecutive_up_days,volume_ratio,rsi14,ma20_deviation,first_down_candle,stop_loss,risk_reward_ratio,reason_codes,fail_codes,data_flags,data_confidence_score,score,passed
POM,US,PARABOLIC_SHORT,PATTERN_INCLUDED,Discard,3-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,0.42,23.74,8,1.17,,31.9,True,0.42,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,82.32,True
KLIC,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,3-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,85.2,30.47,4,0.86,,16.05,True,86.17,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,80.96,True
CTOS,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,8.43,33.6,5,1.31,,18.81,True,8.65,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,79.46,True
ATEX,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,44.75,15.87,5,1.39,,12.75,True,46.4,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,78.49,True
AVT,US,PARABOLIC_SHORT,PATTERN_INCLUDED,A+,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,75.63,26.62,5,1.08,,12.89,True,76.2,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,77.07,True
ALGM,US,PARABOLIC_SHORT,PATTERN_INCLUDED,A+,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,42.27,33.18,5,1.04,,18.75,True,42.6,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,76.82,True
PSI,US,PARABOLIC_SHORT,PATTERN_INCLUDED,A+,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,124.1,28.18,5,1.2,,16.25,True,124.81,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",45.0,75.89,True
PLAB,US,PARABOLIC_SHORT,PATTERN_INCLUDED,A+,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,50.07,27.5,4,0.96,,14.38,True,51.05,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,75.59,True
ALAB,US,PARABOLIC_SHORT,PATTERN_INCLUDED,A+,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,194.06,56.66,4,1.14,,36.81,True,200.21,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,75.0,True
CEVA,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,24.71,31.16,9,1.22,,18.93,True,25.37,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,75.0,True
CORZ,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,21.19,27.8,6,1.22,,20.06,True,21.61,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,75.0,True
GLUE,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,20.98,39.59,6,1.03,,18.82,True,21.62,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,75.0,True
KLTO,US,PARABOLIC_SHORT,PATTERN_INCLUDED,Discard,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,0.52,117.51,5,0.27,,34.29,True,0.53,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,75.0,True
LABX,US,PARABOLIC_SHORT,PATTERN_INCLUDED,Discard,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,44.59,127.27,4,1.45,,75.12,True,47.25,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",30.0,75.0,True
OUST,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,27.76,31.07,4,1.36,,28.94,True,30.0,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",55.0,75.0,True
WDCX,US,PARABOLIC_SHORT,PATTERN_INCLUDED,B,2-star,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,55.09,66.44,4,1.46,,37.23,True,58.59,,"['OVEREXTENDED_RUN', 'FIRST_DOWN_DAY']",[],"['HAS_DAILY', 'LEGACY_MODULE']",30.0,75.0,True
