symbol,price,avg_volume_value,volatility,entry_price,stop_loss,profit_protection,position_size
ASST,8.039999961853027,210919741.96614593,412.6324984659533,10.0,3.3450002670288095,7.5,0.03005259324190957
GPUS,7.070000171661377,186755189.86679077,406.9047499067824,5.260000228881836,-3.3624995946884155,3.945000171661377,0.012200638646586527
BULL,12.59000015258789,145334054.79653835,352.42310046623425,12.220000267028809,1.863999605178833,9.165000200271606,0.02359984450763033
KDLY,22.82999992370605,89995511.74780607,338.53705374991233,19.049999237060547,3.0009994208812714,14.28749942779541,0.02373979619322559
CONL,27.31999969482422,186145120.43416977,180.53312014661043,27.649999618530277,15.207249164581302,20.73749971389771,0.04444354923111868
TSLR,22.399999618530277,80664341.7517662,176.65307991393394,23.809999465942383,14.323748826980589,17.857499599456787,0.05019896768940574
TSLL,14.06999969482422,2603722172.9817915,176.21058098994507,14.94499969482422,8.977999925613403,11.208749771118166,0.05009217453615158
TSLT,19.190000534057617,133744868.34604263,176.2018648490771,20.31999969482422,12.164000034332277,15.239999771118164,0.0498283485548811
ETHU,60.15999984741211,128170243.45867157,173.5433553461199,60.869998931884766,33.81074905395508,45.652499198913574,0.04499015989466294
UVXY,23.790000915527344,330067990.7159805,172.84407006386695,22.31999969482422,12.937500953674316,16.739999771118164,0.047577943382891875
CORT,75.80000305175781,90855624.05475616,167.1867359188945,75.08000183105469,58.454999923706055,56.310001373291016,0.09032179635163542
QBTS,15.359999656677246,1060614489.0397644,166.92444465573627,17.299999237060547,10.485749721527101,12.97499942779541,0.050775948833761596
HTZ,6.25,97729073.15639973,160.6179549230217,6.460000038146973,3.2329996824264517,4.8450000286102295,0.04003718206411286
FL,23.940000534057617,190054135.08156303,150.30262614955072,23.90999984741211,18.11500024795532,17.932499885559082,0.08251941846433734
LUNR,11.229999542236328,79880886.24836445,144.08248946664807,11.720000267028809,7.689750313758851,8.790000200271606,0.058160165761032986
QUBT,10.539999961853027,207848081.9675231,141.21250258224464,11.40999984741211,6.487749695777893,8.557499885559082,0.04636091013628765
GDXU,65.12999725341797,50630111.165275574,139.32368470849278,63.22999954223633,33.80649948120117,47.422499656677246,0.04297925087842987
SMMT,25.40999984741211,129050144.16305542,137.4226768423781,24.1299991607666,9.940498352050785,18.09749937057495,0.034011061398220424
NVDU,70.73999786376953,67231232.84122467,136.4092738839546,72.25,50.67549991607666,54.1875,0.06697721821497825
NVDL,50.0,904543774.5095634,135.73283420030378,51.1349983215332,35.684499740600586,38.3512487411499,0.06619203652707836
