symbol,price,avg_volume,atr_percentage,decline_percentage,entry_price,stop_loss,target_price,max_hold_days,position_size,position_value
TSSI,11.34000015258789,1689828.0,16.208113178096912,26.554401160764975,10.55,5.95,10.97,3,435.0,4589.25
AEVA,14.199999809265137,1899862.0,14.064084497157413,22.99349567241847,13.21,8.21,13.73,3,401.0,5297.21
ACHR,10.81999969482422,26926430.0,9.69316277193821,18.646620002594265,10.06,7.44,10.47,3,763.0,7675.780000000001
QUBT,10.539999961853027,20551834.0,12.637571366100461,18.104117672296603,9.8,6.47,10.19,3,601.0,5889.8
RR,2.150000095367432,7960458.0,11.520930821577076,16.66666050597967,2.0,1.38,2.08,3,3226.0,6452.0
MIRA,1.2100000381469729,1570888.0,11.322316687644868,16.551724251328675,1.13,0.78,1.17,3,5882.0,6646.659999999999
EOSE,5.929999828338623,6710334.0,8.779090987528175,15.042982634178253,5.51,4.21,5.74,3,1538.0,8474.38
ABAT,1.3200000524520874,1488464.0,11.787877373021118,14.838703673538198,1.23,0.84,1.28,3,5128.0,6307.44
PTIR,239.0200042724609,1170334.0,10.109823443773672,13.658196053097932,222.29,161.88,231.18,3,33.0,7335.57
RUN,10.65999984741211,13745070.0,11.509378393998116,12.979593082350128,9.91,6.85,10.31,3,651.0,6451.41
RUM,9.149999618530272,2368322.0,8.629507414166703,12.607455729063973,8.51,6.54,8.85,3,1015.0,8637.65
