ticker,symbol,market,sector,industry,industry_key,group_name,leader_score,rs_rank,weighted_rs_score,rs_rank_true,rs_rank_proxy,rs_proxy_sample_count,rs_proxy_component_coverage,rs_proxy_confidence,rs_line_20d_slope,rs_new_high_before_price_flag,distance_to_52w_high,group_rank,top_reason_1,top_reason_2,reason_codes,hard_gate_pass,hybrid_gate_pass,strict_rs_gate_pass,extended_flag,leader_tier,entry_suitability,label,legacy_label,leader_sort_score,phase_bucket,tier1_boost_count,group_strength_score,trend_integrity_score,structure_quality_score,structure_readiness_score,breakout_confirmation_score,rs_line_score,rs_quality_score,leadership_freshness_score,early_leader_score,momentum_persistence_score,near_high_leadership_score,hidden_rs_score,hidden_rs_weak_day_count,hidden_rs_down_day_excess_return,hidden_rs_drawdown_resilience,hidden_rs_weak_window_excess_return,hidden_rs_confidence,leader_rs_state,fading_risk_score,extension_risk_score,source_evidence_tags,box_touch_count,support_hold_count,dry_volume_score,failed_breakout_risk_score,breakout_quality_score,structure_confidence,base_depth_pct,loose_base_risk_score,support_violation_count,breakout_failure_count,breakout_volume_quality_score,structure_reject_reason_codes,volume_demand_score,liquidity_quality_score,event_proxy_score,ret_20d,ret_60d,as_of_ts,risk_flag,leader_state,breakdown_status,leader_confidence_score,confidence_bucket,low_confidence_reason_codes,reject_reason_codes,extended_reason_codes,threshold_proximity_codes,threshold_margin_min,rs_rank_true_threshold_distance,structure_threshold_distance,extension_threshold_distance,candidate_family
A,A,US,Healthcare,Diagnostics & Research,healthcare__diagnostics_&_research,Diagnostics & Research,41.41,25.0,-15.72,25.0,29.9,78.0,4.0,100.0,0.01,False,22.47,3.0,VOLUME_SUPPORT,BREAKOUT_CONFIRMED,"['VOLUME_SUPPORT', 'BREAKOUT_CONFIRMED']",True,True,False,False,emerging,watch,emerging_leader,Emerging Leader,41.41,FORMING,1.0,0.0,68.39,47.89,64.91,98.5,18.98,17.89,25.63,31.29,33.66,77.53,22.92,56.0,0.001948,-0.129277,-0.146859,100.0,fading,44.4,15.87,"rs_state_fading,breakout_confirmed",3.0,19.0,0.0,0.0,92.28,90.0,9.78,0.0,0.0,0.0,100.0,,83.01,57.9,72.17,0.09055930869424644,-0.12806754653155394,2026-04-17,,,,89.08,high,,,,,19.91,-60.0,19.909999999999997,-59.13,LEADER
AA,AA,US,Basic Materials,Aluminum,basic_materials__aluminum,Aluminum,64.19,100.0,63.54,100.0,21.1,78.0,4.0,100.0,0.04,False,10.49,1.0,TOP_RS,VOLUME_SUPPORT,"['TOP_RS', 'VOLUME_SUPPORT', 'HIDDEN_RS']",True,True,False,False,emerging,watch,emerging_leader,Emerging Leader,64.19,FORMING,2.0,0.0,100.0,34.31,44.99,53.5,50.74,82.76,38.76,63.99,75.1,89.51,68.44,56.0,-0.000755,-0.065649,0.212774,100.0,fading,49.81,25.41,"hidden_rs,rs_state_fading",4.0,19.0,57.5,50.0,50.9,90.0,27.26,98.69,7.0,1.0,100.0,"loose_base,support_break,failed_breakout",82.68,69.17,28.37,0.11884059743165842,0.02739946522566239,2026-04-17,,,,91.33,high,,,,near_structure_threshold,0.01,15.0,-0.00999999999999801,-49.59,LEADER
