date,symbol,open,high,low,close,volume,adj_close,dividends,stock_splits,split_factor
2024-12-13,003380,6100.0,6270.0,6060.0,6150.0,415238,6150.0,0.0,0.0,1.0
2024-12-16,003380,6160.0,6200.0,6040.0,6040.0,187660,6040.0,0.0,0.0,1.0
2024-12-17,003380,6040.0,6070.0,5920.0,5930.0,142895,5930.0,0.0,0.0,1.0
2024-12-18,003380,5990.0,6100.0,5910.0,6080.0,143177,6080.0,0.0,0.0,1.0
2024-12-19,003380,6050.0,6080.0,5930.0,6020.0,176131,6020.0,0.0,0.0,1.0
2024-12-20,003380,5950.0,5980.0,5810.0,5950.0,199964,5950.0,0.0,0.0,1.0
2024-12-23,003380,5970.0,5970.0,5660.0,5680.0,542043,5680.0,0.0,0.0,1.0
2024-12-24,003380,5690.0,5820.0,5680.0,5700.0,163574,5700.0,0.0,0.0,1.0
2024-12-26,003380,5700.0,5760.0,5570.0,5630.0,205113,5630.0,0.0,0.0,1.0
2024-12-27,003380,5620.0,5620.0,5420.0,5500.0,242026,5500.0,0.0,0.0,1.0
2024-12-30,003380,5490.0,5580.0,5420.0,5440.0,99071,5440.0,0.0,0.0,1.0
2025-01-02,003380,5390.0,5440.0,5300.0,5440.0,153128,5440.0,0.0,0.0,1.0
2025-01-03,003380,5440.0,5520.0,5420.0,5470.0,107710,5470.0,0.0,0.0,1.0
2025-01-06,003380,5420.0,5550.0,5420.0,5490.0,59725,5490.0,0.0,0.0,1.0
2025-01-07,003380,5490.0,5610.0,5490.0,5510.0,75001,5510.0,0.0,0.0,1.0
2025-01-08,003380,5550.0,5580.0,5490.0,5530.0,70874,5530.0,0.0,0.0,1.0
2025-01-09,003380,5510.0,5540.0,5430.0,5480.0,304985,5480.0,0.0,0.0,1.0
2025-01-10,003380,5430.0,5560.0,5410.0,5530.0,214122,5530.0,0.0,0.0,1.0
2025-01-13,003380,5500.0,5550.0,5410.0,5430.0,105230,5430.0,0.0,0.0,1.0
2025-01-14,003380,5440.0,5530.0,5420.0,5500.0,57138,5500.0,0.0,0.0,1.0
2025-01-15,003380,5480.0,5550.0,5470.0,5500.0,61706,5500.0,0.0,0.0,1.0
2025-01-16,003380,5500.0,5570.0,5500.0,5540.0,62115,5540.0,0.0,0.0,1.0
2025-01-17,003380,5490.0,5630.0,5490.0,5580.0,130038,5580.0,0.0,0.0,1.0
2025-01-20,003380,5600.0,5600.0,5510.0,5560.0,131141,5560.0,0.0,0.0,1.0
2025-01-21,003380,5580.0,5610.0,5500.0,5530.0,65702,5530.0,0.0,0.0,1.0
2025-01-22,003380,5530.0,5570.0,5490.0,5540.0,63915,5540.0,0.0,0.0,1.0
2025-01-23,003380,5510.0,5530.0,5410.0,5450.0,114326,5450.0,0.0,0.0,1.0
2025-01-24,003380,5500.0,5500.0,5430.0,5480.0,88117,5480.0,0.0,0.0,1.0
2025-01-31,003380,5510.0,5510.0,5430.0,5450.0,55264,5450.0,0.0,0.0,1.0
2025-02-03,003380,5400.0,5410.0,5250.0,5330.0,156962,5330.0,0.0,0.0,1.0
2025-02-04,003380,5390.0,5430.0,5310.0,5330.0,77274,5330.0,0.0,0.0,1.0
2025-02-05,003380,5350.0,5480.0,5350.0,5400.0,84291,5400.0,0.0,0.0,1.0
2025-02-06,003380,5400.0,5490.0,5400.0,5490.0,89572,5490.0,0.0,0.0,1.0
2025-02-07,003380,5460.0,5480.0,5230.0,5240.0,381081,5240.0,0.0,0.0,1.0
2025-02-10,003380,5200.0,5270.0,5110.0,5230.0,175381,5230.0,0.0,0.0,1.0
2025-02-11,003380,5250.0,5250.0,5160.0,5220.0,149486,5220.0,0.0,0.0,1.0
2025-02-12,003380,5190.0,5250.0,5190.0,5230.0,87688,5230.0,0.0,0.0,1.0
2025-02-13,003380,5260.0,5350.0,5250.0,5330.0,129774,5330.0,0.0,0.0,1.0
2025-02-14,003380,5340.0,5380.0,5270.0,5310.0,90063,5310.0,0.0,0.0,1.0
2025-02-17,003380,5310.0,5400.0,5300.0,5340.0,84786,5340.0,0.0,0.0,1.0
2025-02-18,003380,5370.0,5380.0,5260.0,5300.0,259144,5300.0,0.0,0.0,1.0
2025-02-19,003380,5300.0,5430.0,5280.0,5390.0,385255,5390.0,0.0,0.0,1.0
2025-02-20,003380,5340.0,5520.0,5340.0,5430.0,186604,5430.0,0.0,0.0,1.0
2025-02-21,003380,5420.0,5460.0,5370.0,5450.0,188383,5450.0,0.0,0.0,1.0
2025-02-24,003380,5450.0,5480.0,5350.0,5460.0,259849,5460.0,0.0,0.0,1.0
2025-02-25,003380,5410.0,5490.0,5410.0,5430.0,141016,5430.0,0.0,0.0,1.0
2025-02-26,003380,5400.0,5480.0,5400.0,5450.0,153520,5450.0,0.0,0.0,1.0
2025-02-27,003380,5430.0,5480.0,5420.0,5430.0,120401,5430.0,0.0,0.0,1.0
2025-02-28,003380,5390.0,5400.0,5090.0,5090.0,947714,5090.0,0.0,0.0,1.0
2025-03-04,003380,5100.0,5230.0,5090.0,5160.0,213712,5160.0,0.0,0.0,1.0
2025-03-05,003380,5210.0,5330.0,5180.0,5280.0,247983,5280.0,0.0,0.0,1.0
