date,symbol,open,high,low,close,volume,adj_close,dividends,stock_splits,split_factor
2024-12-13,044990,15000.0,15680.0,14990.0,15680.0,12716,15680.0,0.0,0.0,1.0
2024-12-16,044990,15930.0,16400.0,15550.0,16380.0,27689,16380.0,0.0,0.0,1.0
2024-12-17,044990,16680.0,17250.0,15880.0,17050.0,45267,17050.0,0.0,0.0,1.0
2024-12-18,044990,16910.0,17100.0,16710.0,17020.0,9601,17020.0,0.0,0.0,1.0
2024-12-19,044990,16530.0,17100.0,16530.0,17000.0,13370,17000.0,0.0,0.0,1.0
2024-12-20,044990,16850.0,17000.0,16610.0,16750.0,6262,16750.0,0.0,0.0,1.0
2024-12-23,044990,16590.0,16890.0,16380.0,16530.0,11991,16530.0,0.0,0.0,1.0
2024-12-24,044990,16330.0,16520.0,16090.0,16240.0,16593,16240.0,0.0,0.0,1.0
2024-12-26,044990,16110.0,16290.0,15920.0,15980.0,10671,15980.0,0.0,0.0,1.0
2024-12-27,044990,15970.0,16250.0,15550.0,15550.0,10984,15550.0,0.0,0.0,1.0
2024-12-30,044990,15400.0,15840.0,15400.0,15840.0,4015,15840.0,0.0,0.0,1.0
2025-01-02,044990,15850.0,16180.0,15840.0,16040.0,4292,16040.0,0.0,0.0,1.0
2025-01-03,044990,16040.0,16270.0,15930.0,16270.0,4162,16270.0,0.0,0.0,1.0
2025-01-06,044990,16200.0,16390.0,16110.0,16390.0,4926,16390.0,0.0,0.0,1.0
2025-01-07,044990,16380.0,16380.0,16100.0,16340.0,6015,16340.0,0.0,0.0,1.0
2025-01-08,044990,16250.0,16250.0,15980.0,16250.0,16568,16250.0,0.0,0.0,1.0
2025-01-09,044990,16250.0,16250.0,16000.0,16200.0,4682,16200.0,0.0,0.0,1.0
2025-01-10,044990,16200.0,16270.0,16000.0,16260.0,4738,16260.0,0.0,0.0,1.0
2025-01-13,044990,16260.0,16300.0,15960.0,16160.0,9767,16160.0,0.0,0.0,1.0
2025-01-14,044990,16380.0,17170.0,16380.0,17120.0,41387,17120.0,0.0,0.0,1.0
2025-01-15,044990,17300.0,17570.0,17030.0,17250.0,44548,17250.0,0.0,0.0,1.0
2025-01-16,044990,17500.0,17510.0,16850.0,17290.0,40025,17290.0,0.0,0.0,1.0
2025-01-17,044990,17430.0,17430.0,17030.0,17180.0,15522,17180.0,0.0,0.0,1.0
2025-01-20,044990,17130.0,17350.0,17090.0,17230.0,18727,17230.0,0.0,0.0,1.0
2025-01-21,044990,17230.0,17340.0,17010.0,17150.0,13790,17150.0,0.0,0.0,1.0
2025-01-22,044990,17150.0,17260.0,16890.0,17070.0,22718,17070.0,0.0,0.0,1.0
2025-01-23,044990,17070.0,17070.0,16750.0,16960.0,30540,16960.0,0.0,0.0,1.0
2025-01-24,044990,17080.0,17280.0,16920.0,16960.0,19313,16960.0,0.0,0.0,1.0
2025-01-31,044990,16960.0,16990.0,16720.0,16810.0,22786,16810.0,0.0,0.0,1.0
2025-02-03,044990,16800.0,16890.0,16200.0,16560.0,24895,16560.0,0.0,0.0,1.0
2025-02-04,044990,16560.0,17100.0,16560.0,17050.0,25558,17050.0,0.0,0.0,1.0
2025-02-05,044990,17050.0,17250.0,16760.0,17140.0,19862,17140.0,0.0,0.0,1.0
2025-02-06,044990,17110.0,17110.0,16900.0,17000.0,16223,17000.0,0.0,0.0,1.0
2025-02-07,044990,17000.0,17200.0,16990.0,17160.0,15731,17160.0,0.0,0.0,1.0
2025-02-10,044990,17160.0,17250.0,16970.0,17070.0,22147,17070.0,0.0,0.0,1.0
2025-02-11,044990,17080.0,17100.0,16900.0,17000.0,14468,17000.0,0.0,0.0,1.0
2025-02-12,044990,17000.0,17180.0,17000.0,17120.0,15183,17120.0,0.0,0.0,1.0
2025-02-13,044990,17150.0,17410.0,17110.0,17340.0,39790,17340.0,0.0,0.0,1.0
2025-02-14,044990,17320.0,17580.0,17320.0,17450.0,28441,17450.0,0.0,0.0,1.0
2025-02-17,044990,17440.0,17510.0,17200.0,17300.0,18044,17300.0,0.0,0.0,1.0
2025-02-18,044990,17500.0,17500.0,17060.0,17130.0,14512,17130.0,0.0,0.0,1.0
2025-02-19,044990,17150.0,17310.0,16970.0,17040.0,16573,17040.0,0.0,0.0,1.0
2025-02-20,044990,17240.0,17240.0,16950.0,17050.0,13684,17050.0,0.0,0.0,1.0
2025-02-21,044990,17170.0,17170.0,16980.0,17140.0,17275,17140.0,0.0,0.0,1.0
2025-02-24,044990,17140.0,17590.0,16880.0,17400.0,22189,17400.0,0.0,0.0,1.0
2025-02-25,044990,17350.0,17650.0,17250.0,17490.0,20525,17490.0,0.0,0.0,1.0
2025-02-26,044990,17430.0,17550.0,17320.0,17380.0,9425,17380.0,0.0,0.0,1.0
2025-02-27,044990,17410.0,17500.0,17240.0,17380.0,15525,17380.0,0.0,0.0,1.0
2025-02-28,044990,17380.0,17380.0,17040.0,17380.0,8920,17380.0,0.0,0.0,1.0
2025-03-04,044990,17200.0,17200.0,16810.0,17190.0,6017,17190.0,0.0,0.0,1.0
2025-03-05,044990,17190.0,17190.0,16890.0,16890.0,4096,16890.0,0.0,0.0,1.0
2025-03-06,044990,16890.0,17090.0,16850.0,17080.0,1962,17080.0,0.0,0.0,1.0
2025-03-07,044990,17010.0,17010.0,16710.0,16730.0,4730,16730.0,0.0,0.0,1.0
2025-03-10,044990,16730.0,16860.0,16680.0,16730.0,2660,16730.0,0.0,0.0,1.0
2025-03-11,044990,16660.0,16730.0,16030.0,16650.0,4492,16650.0,0.0,0.0,1.0
2025-03-12,044990,16730.0,16730.0,16400.0,16570.0,3376,16570.0,0.0,0.0,1.0
2025-03-13,044990,16570.0,16820.0,16490.0,16550.0,3221,16550.0,0.0,0.0,1.0
2025-03-14,044990,16550.0,16550.0,16150.0,16230.0,3630,16230.0,0.0,0.0,1.0
2025-03-17,044990,16500.0,16550.0,16180.0,16280.0,5157,16280.0,0.0,0.0,1.0
2025-03-18,044990,16280.0,16480.0,16150.0,16280.0,2561,16280.0,0.0,0.0,1.0
2025-03-19,044990,16280.0,16390.0,16150.0,16200.0,3479,16200.0,0.0,0.0,1.0
2025-03-20,044990,16280.0,16280.0,15910.0,16100.0,4408,16100.0,0.0,0.0,1.0
2025-03-21,044990,16100.0,16150.0,15800.0,16070.0,4328,16070.0,0.0,0.0,1.0
2025-03-24,044990,16040.0,16040.0,15710.0,15840.0,2351,15840.0,0.0,0.0,1.0
2025-03-25,044990,16190.0,16190.0,15650.0,15650.0,4981,15650.0,0.0,0.0,1.0
2025-03-26,044990,16180.0,16190.0,15600.0,15650.0,2751,15650.0,0.0,0.0,1.0
2025-03-27,044990,16090.0,16090.0,15510.0,15510.0,3138,15510.0,0.0,0.0,1.0
2025-03-28,044990,15510.0,15650.0,15070.0,15070.0,13821,15070.0,0.0,0.0,1.0
2025-03-31,044990,15070.0,15230.0,14830.0,14970.0,3252,14970.0,0.0,0.0,1.0
2025-04-01,044990,15050.0,15050.0,14780.0,14930.0,2402,14930.0,0.0,0.0,1.0
2025-04-02,044990,14940.0,14950.0,14790.0,14930.0,2277,14930.0,0.0,0.0,1.0
2025-04-03,044990,14900.0,15470.0,14550.0,14920.0,15471,14920.0,0.0,0.0,1.0
2025-04-04,044990,14920.0,15270.0,14780.0,15260.0,3419,15260.0,0.0,0.0,1.0
2025-04-07,044990,14920.0,14920.0,14550.0,14900.0,2576,14900.0,0.0,0.0,1.0
2025-04-08,044990,14920.0,15580.0,14900.0,14950.0,3290,14950.0,0.0,0.0,1.0
2025-04-09,044990,14930.0,15290.0,14740.0,14980.0,4731,14980.0,0.0,0.0,1.0
2025-04-10,044990,14980.0,15400.0,14830.0,15180.0,5375,15180.0,0.0,0.0,1.0
2025-04-11,044990,14930.0,15800.0,14860.0,15480.0,14384,15480.0,0.0,0.0,1.0
2025-04-14,044990,15960.0,16900.0,15960.0,16560.0,28451,16560.0,0.0,0.0,1.0
2025-04-15,044990,16570.0,17600.0,16560.0,17590.0,63041,17590.0,0.0,0.0,1.0
2025-04-16,044990,17400.0,18080.0,17400.0,18050.0,42395,18050.0,0.0,0.0,1.0
2025-04-17,044990,18050.0,18240.0,17510.0,18120.0,38357,18120.0,0.0,0.0,1.0
2025-04-18,044990,18100.0,18150.0,17430.0,17740.0,25849,17740.0,0.0,0.0,1.0
2025-04-21,044990,17740.0,17740.0,17290.0,17490.0,16160,17490.0,0.0,0.0,1.0
2025-04-22,044990,17470.0,17520.0,17210.0,17210.0,20278,17210.0,0.0,0.0,1.0
2025-04-23,044990,17240.0,17520.0,16810.0,17390.0,22333,17390.0,0.0,0.0,1.0
2025-04-24,044990,17450.0,17600.0,17000.0,17500.0,23020,17500.0,0.0,0.0,1.0
2025-04-25,044990,17600.0,17600.0,17270.0,17550.0,34278,17550.0,0.0,0.0,1.0
2025-04-28,044990,17750.0,17910.0,17520.0,17800.0,31317,17800.0,0.0,0.0,1.0
2025-04-29,044990,17970.0,18000.0,17750.0,17860.0,16240,17860.0,0.0,0.0,1.0
2025-04-30,044990,17850.0,17850.0,17400.0,17650.0,28343,17650.0,0.0,0.0,1.0
2025-05-02,044990,17650.0,17910.0,17430.0,17870.0,15372,17870.0,0.0,0.0,1.0
2025-05-07,044990,17860.0,17880.0,17610.0,17700.0,13608,17700.0,0.0,0.0,1.0
2025-05-08,044990,17700.0,17810.0,17250.0,17600.0,30126,17600.0,0.0,0.0,1.0
2025-05-09,044990,17600.0,17620.0,17100.0,17330.0,16979,17330.0,0.0,0.0,1.0
2025-05-12,044990,17330.0,17390.0,16360.0,16990.0,31009,16990.0,0.0,0.0,1.0
2025-05-13,044990,17090.0,17090.0,16690.0,16750.0,20388,16750.0,0.0,0.0,1.0
2025-05-14,044990,17070.0,17300.0,16750.0,16850.0,35675,16850.0,0.0,0.0,1.0
2025-05-15,044990,17260.0,17260.0,16860.0,17100.0,22426,17100.0,0.0,0.0,1.0
2025-05-16,044990,16970.0,17160.0,16740.0,17100.0,12970,17100.0,0.0,0.0,1.0
