date,symbol,open,high,low,close,volume,adj_close,dividends,stock_splits,split_factor
2024-12-13,464930,16212,16231,16097,16102,88388,16102,0.0,0.0,1.0
2024-12-16,464930,16088,16112,15978,16078,31598,16078,0.0,0.0,1.0
2024-12-17,464930,16236,16236,16102,16197,66438,16197,0.0,0.0,1.0
2024-12-18,464930,16197,16246,16177,16231,23874,16231,0.0,0.0,1.0
2024-12-19,464930,15909,16048,15889,15924,31695,15924,0.0,0.0,1.0
2024-12-20,464930,15924,15983,15775,15810,70084,15810,0.0,0.0,1.0
2024-12-23,464930,15810,16068,15810,16018,15177,16018,0.0,0.0,1.0
2024-12-24,464930,16048,16241,16038,16222,21674,16222,0.0,0.0,1.0
2024-12-26,464930,16276,16460,16276,16415,43154,16415,0.0,0.0,1.0
2024-12-27,464930,16494,16549,16217,16346,37284,16346,0.0,0.0,1.0
2024-12-30,464930,16346,16395,16063,16236,24763,16236,0.0,0.0,1.0
2025-01-02,464930,16236,16276,15859,15924,210260,15924,0.0,0.0,1.0
2025-01-03,464930,15661,16192,15661,15904,12472,15904,0.0,0.0,1.0
2025-01-06,464930,15973,16212,15929,16152,19466,16152,0.0,0.0,1.0
2025-01-07,464930,16207,16370,15954,16078,107532,16078,0.0,0.0,1.0
2025-01-08,464930,15879,16053,15686,15889,21062,15889,0.0,0.0,1.0
2025-01-09,464930,15884,16078,15700,15745,25241,15745,0.0,0.0,1.0
2025-01-10,464930,15879,15879,15606,15810,15089,15810,0.0,0.0,1.0
2025-01-13,464930,15740,15879,15671,15676,38802,15676,0.0,0.0,1.0
2025-01-14,464930,15820,15820,15596,15705,17346,15705,0.0,0.0,1.0
2025-01-15,464930,15502,15502,15393,15452,16924,15452,0.0,0.0,1.0
2025-01-16,464930,15820,15820,15616,15656,17276,15656,0.0,0.0,1.0
2025-01-17,464930,15651,15651,15482,15636,19327,15636,0.0,0.0,1.0
2025-01-20,464930,15696,15780,15681,15696,15769,15696,0.0,0.0,1.0
2025-01-21,464930,15790,15790,15571,15641,23936,15641,0.0,0.0,1.0
2025-01-22,464930,15829,15839,15671,15715,62465,15715,0.0,0.0,1.0
2025-01-23,464930,15874,15874,15775,15844,55780,15844,0.0,0.0,1.0
2025-01-24,464930,16068,16068,15834,15849,40284,15849,0.0,0.0,1.0
2025-01-31,464930,15849,15939,15691,15924,31746,15924,0.0,0.0,1.0
2025-02-03,464930,15710,15710,15452,15562,46141,15562,0.0,0.0,1.0
2025-02-04,464930,15879,16177,15591,15596,30948,15596,0.0,0.0,1.0
2025-02-05,464930,15631,15700,15591,15591,13227,15591,0.0,0.0,1.0
2025-02-06,464930,15626,15844,15621,15820,44214,15820,0.0,0.0,1.0
2025-02-07,464930,15874,16097,15745,16023,50799,16023,0.0,0.0,1.0
2025-02-10,464930,16023,16117,16018,16092,19638,16092,0.0,0.0,1.0
2025-02-11,464930,16177,16177,16033,16048,72725,16048,0.0,0.0,1.0
2025-02-12,464930,15963,16112,15963,16083,20534,16083,0.0,0.0,1.0
2025-02-13,464930,16083,16246,16083,16132,23743,16132,0.0,0.0,1.0
2025-02-14,464930,16132,16306,16122,16212,44482,16212,0.0,0.0,1.0
2025-02-17,464930,16296,16380,16142,16222,20884,16222,0.0,0.0,1.0
2025-02-18,464930,16380,16380,16177,16251,92874,16251,0.0,0.0,1.0
2025-02-19,464930,16261,16276,16217,16266,21399,16266,0.0,0.0,1.0
2025-02-20,464930,16296,16331,16207,16236,17075,16236,0.0,0.0,1.0
2025-02-21,464930,16236,16321,16177,16276,53046,16276,0.0,0.0,1.0
2025-02-24,464930,16276,16311,16078,16157,56336,16157,0.0,0.0,1.0
2025-02-25,464930,16167,16167,14996,15993,37317,15993,0.0,0.0,1.0
2025-02-26,464930,15993,16092,15829,16083,10966,16083,0.0,0.0,1.0
2025-02-27,464930,16083,16231,15983,16167,32419,16167,0.0,0.0,1.0
2025-02-28,464930,15700,16107,15700,15849,47450,15849,0.0,0.0,1.0
2025-03-04,464930,15849,15849,15532,15805,25057,15805,0.0,0.0,1.0
2025-03-05,464930,16078,16078,15591,15735,13588,15735,0.0,0.0,1.0
2025-03-06,464930,15666,15735,15581,15651,16234,15651,0.0,0.0,1.0
2025-03-07,464930,15651,16529,15299,15303,32631,15303,0.0,0.0,1.0
2025-03-10,464930,15502,15542,15110,15279,22999,15279,0.0,0.0,1.0
2025-03-11,464930,14390,14946,14147,14842,51639,14842,0.0,0.0,1.0
2025-03-12,464930,15080,15080,14753,14782,12044,14782,0.0,0.0,1.0
2025-03-13,464930,14792,15060,14738,14738,17419,14738,0.0,0.0,1.0
2025-03-14,464930,14787,14897,14663,14832,38331,14832,0.0,0.0,1.0
2025-03-17,464930,14837,15368,14837,14931,7740,14931,0.0,0.0,1.0
2025-03-18,464930,15234,15234,14936,15080,11970,15080,0.0,0.0,1.0
2025-03-19,464930,15045,15169,14902,15080,6601,15080,0.0,0.0,1.0
2025-03-20,464930,15115,15611,15115,15562,10677,15562,0.0,0.0,1.0
2025-03-21,464930,15318,15661,15318,15492,9304,15492,0.0,0.0,1.0
2025-03-24,464930,15581,15705,15393,15482,12439,15482,0.0,0.0,1.0
2025-03-25,464930,15482,15636,15482,15532,9697,15532,0.0,0.0,1.0
2025-03-26,464930,15681,15705,15566,15596,8719,15596,0.0,0.0,1.0
2025-03-27,464930,15482,15482,15075,15274,11291,15274,0.0,0.0,1.0
2025-03-28,464930,15234,15472,15085,15160,6845,15160,0.0,0.0,1.0
2025-03-31,464930,15155,15155,14291,14639,33250,14639,0.0,0.0,1.0
2025-04-01,464930,14639,15001,14639,14847,8108,14847,0.0,0.0,1.0
2025-04-02,464930,14887,14887,14777,14787,5018,14787,0.0,0.0,1.0
2025-04-03,464930,13944,14410,13944,14331,23010,14331,0.0,0.0,1.0
2025-04-04,464930,14584,14589,13646,13760,38220,13760,0.0,0.0,1.0
