date,symbol,open,high,low,close,volume,adj_close,dividends,stock_splits,split_factor
2024-11-20,KOSPI,2475.76,2489.15,2471.79,2482.29,408789732,2482.29,0.0,0.0,1.0
2024-11-21,KOSPI,2474.62,2496.97,2474.62,2480.63,451118534,2480.63,0.0,0.0,1.0
2024-11-22,KOSPI,2493.42,2511.23,2492.21,2501.24,543517791,2501.24,0.0,0.0,1.0
2024-11-25,KOSPI,2524.11,2541.76,2517.98,2534.34,564692445,2534.34,0.0,0.0,1.0
2024-11-26,KOSPI,2521.39,2526.62,2512.21,2520.36,441708781,2520.36,0.0,0.0,1.0
2024-11-27,KOSPI,2518.82,2526.32,2498.32,2503.06,414339138,2503.06,0.0,0.0,1.0
2024-11-28,KOSPI,2499.69,2513.63,2495.64,2504.67,342571105,2504.67,0.0,0.0,1.0
2024-11-29,KOSPI,2496.93,2496.93,2446.96,2455.91,384278001,2455.91,0.0,0.0,1.0
2024-12-02,KOSPI,2479.02,2483.29,2448.45,2454.48,328109545,2454.48,0.0,0.0,1.0
2024-12-03,KOSPI,2472.06,2500.67,2471.55,2500.1,324137730,2500.1,0.0,0.0,1.0
2024-12-04,KOSPI,2450.76,2483.04,2442.46,2464.0,670284268,2464.0,0.0,0.0,1.0
2024-12-05,KOSPI,2471.45,2471.45,2434.78,2441.85,519351593,2441.85,0.0,0.0,1.0
2024-12-06,KOSPI,2451.6,2459.24,2397.73,2428.16,630408602,2428.16,0.0,0.0,1.0
2024-12-09,KOSPI,2392.37,2399.52,2360.18,2360.58,591644435,2360.58,0.0,0.0,1.0
2024-12-10,KOSPI,2384.51,2419.06,2384.51,2417.84,598770280,2417.84,0.0,0.0,1.0
2024-12-11,KOSPI,2412.15,2443.34,2411.38,2442.51,617716470,2442.51,0.0,0.0,1.0
2024-12-12,KOSPI,2456.63,2487.95,2448.76,2482.12,664187237,2482.12,0.0,0.0,1.0
2024-12-13,KOSPI,2473.75,2500.32,2470.24,2494.46,577737398,2494.46,0.0,0.0,1.0
2024-12-16,KOSPI,2511.08,2515.62,2483.43,2488.97,526708153,2488.97,0.0,0.0,1.0
2024-12-17,KOSPI,2487.31,2487.31,2455.05,2456.81,559039721,2456.81,0.0,0.0,1.0
2024-12-18,KOSPI,2463.06,2492.0,2462.82,2484.43,441677820,2484.43,0.0,0.0,1.0
2024-12-19,KOSPI,2426.55,2450.05,2423.59,2435.93,504467068,2435.93,0.0,0.0,1.0
