date,symbol,open,high,low,close,volume,adj_close,dividends,stock_splits,split_factor
2024-12-13,079190,512.0,664.0,512.0,664.0,5723517,664.0,0.0,0.0,1.0
2024-12-16,079190,705.0,706.0,505.0,600.0,3392573,600.0,0.0,0.0,1.0
2024-12-17,079190,591.0,620.0,572.0,573.0,686543,573.0,0.0,0.0,1.0
2024-12-18,079190,585.0,605.0,567.0,576.0,430143,576.0,0.0,0.0,1.0
2024-12-19,079190,588.0,589.0,555.0,581.0,263970,581.0,0.0,0.0,1.0
2024-12-20,079190,594.0,594.0,550.0,560.0,200007,560.0,0.0,0.0,1.0
2024-12-23,079190,560.0,594.0,546.0,559.0,174620,559.0,0.0,0.0,1.0
2024-12-24,079190,562.0,565.0,541.0,542.0,93867,542.0,0.0,0.0,1.0
2024-12-26,079190,542.0,560.0,525.0,542.0,140515,542.0,0.0,0.0,1.0
2024-12-27,079190,539.0,550.0,521.0,542.0,122414,542.0,0.0,0.0,1.0
2024-12-30,079190,555.0,555.0,539.0,541.0,69237,541.0,0.0,0.0,1.0
2025-01-02,079190,545.0,566.0,544.0,562.0,131505,562.0,0.0,0.0,1.0
2025-01-03,079190,566.0,576.0,559.0,563.0,163863,563.0,0.0,0.0,1.0
2025-01-06,079190,564.0,574.0,560.0,574.0,105451,574.0,0.0,0.0,1.0
2025-01-07,079190,574.0,579.0,563.0,572.0,86592,572.0,0.0,0.0,1.0
2025-01-08,079190,576.0,609.0,565.0,581.0,405121,581.0,0.0,0.0,1.0
2025-01-09,079190,581.0,581.0,550.0,573.0,250741,573.0,0.0,0.0,1.0
2025-01-10,079190,576.0,576.0,556.0,559.0,132736,559.0,0.0,0.0,1.0
2025-01-13,079190,559.0,607.0,553.0,558.0,332897,558.0,0.0,0.0,1.0
2025-01-14,079190,575.0,575.0,555.0,558.0,94819,558.0,0.0,0.0,1.0
2025-01-15,079190,553.0,566.0,548.0,548.0,76036,548.0,0.0,0.0,1.0
2025-01-16,079190,549.0,556.0,548.0,552.0,98275,552.0,0.0,0.0,1.0
2025-01-17,079190,554.0,554.0,540.0,541.0,124027,541.0,0.0,0.0,1.0
2025-01-20,079190,538.0,549.0,538.0,545.0,45101,545.0,0.0,0.0,1.0
2025-01-21,079190,545.0,587.0,545.0,556.0,63758,556.0,0.0,0.0,1.0
2025-01-22,079190,550.0,564.0,534.0,535.0,125337,535.0,0.0,0.0,1.0
2025-01-23,079190,537.0,548.0,525.0,526.0,101454,526.0,0.0,0.0,1.0
2025-01-24,079190,530.0,542.0,521.0,534.0,96176,534.0,0.0,0.0,1.0
2025-01-31,079190,548.0,548.0,518.0,518.0,57334,518.0,0.0,0.0,1.0
2025-02-03,079190,519.0,524.0,497.0,511.0,161569,511.0,0.0,0.0,1.0
2025-02-04,079190,506.0,523.0,498.0,513.0,49127,513.0,0.0,0.0,1.0
2025-02-05,079190,513.0,524.0,505.0,520.0,25400,520.0,0.0,0.0,1.0
2025-02-06,079190,515.0,525.0,496.0,499.0,134882,499.0,0.0,0.0,1.0
2025-02-07,079190,499.0,517.0,499.0,504.0,51938,504.0,0.0,0.0,1.0
2025-02-10,079190,504.0,512.0,489.0,505.0,84890,505.0,0.0,0.0,1.0
2025-02-11,079190,490.0,505.0,485.0,494.0,170973,494.0,0.0,0.0,1.0
2025-02-12,079190,494.0,501.0,489.0,491.0,35059,491.0,0.0,0.0,1.0
2025-02-13,079190,488.0,491.0,480.0,484.0,90640,484.0,0.0,0.0,1.0
2025-02-14,079190,485.0,486.0,475.0,482.0,125577,482.0,0.0,0.0,1.0
2025-02-17,079190,480.0,495.0,478.0,486.0,58462,486.0,0.0,0.0,1.0
2025-02-18,079190,493.0,495.0,481.0,482.0,70542,482.0,0.0,0.0,1.0
2025-02-19,079190,482.0,495.0,477.0,481.0,67278,481.0,0.0,0.0,1.0
2025-02-20,079190,488.0,488.0,469.0,476.0,132531,476.0,0.0,0.0,1.0
2025-02-21,079190,488.0,488.0,473.0,473.0,141719,473.0,0.0,0.0,1.0
2025-02-24,079190,471.0,513.0,471.0,491.0,151468,491.0,0.0,0.0,1.0
2025-02-25,079190,491.0,495.0,486.0,491.0,28297,491.0,0.0,0.0,1.0
2025-02-26,079190,491.0,495.0,484.0,491.0,61644,491.0,0.0,0.0,1.0
2025-02-27,079190,495.0,495.0,482.0,494.0,39694,494.0,0.0,0.0,1.0
2025-02-28,079190,492.0,492.0,473.0,476.0,71021,476.0,0.0,0.0,1.0
2025-03-04,079190,480.0,485.0,466.0,466.0,82663,466.0,0.0,0.0,1.0
2025-03-05,079190,466.0,470.0,461.0,468.0,54067,468.0,0.0,0.0,1.0
2025-03-06,079190,468.0,472.0,460.0,461.0,33263,461.0,0.0,0.0,1.0
2025-03-07,079190,461.0,472.0,451.0,467.0,39482,467.0,0.0,0.0,1.0
2025-03-10,079190,467.0,474.0,461.0,467.0,28113,467.0,0.0,0.0,1.0
2025-03-11,079190,466.0,474.0,449.0,467.0,45888,467.0,0.0,0.0,1.0
