group_name,sector,industry,group_member_count,group_return_20d,group_return_60d,group_mansfield_rs,group_rs_slope_20d,group_pct_above_50dma,group_new_high_share,group_return_20d_score,group_return_60d_score,group_mansfield_score,group_rs_slope_score,industry_rs_pct,sector_rs_pct,group_strength_score,group_rank
Silver,Basic Materials,Silver,6,0.2272800369768052,0.4921012104154723,75.01200775965849,0.22265164463919085,1.0,0.8333333333333334,80.84195862438484,91.71556744921948,100.0,81.17581836318058,97.48427672955975,95.0,94.08558638763628,1
Aluminum,Basic Materials,Aluminum,4,0.21562387470413868,0.5675554141665833,53.40550485011592,0.20967950544624459,1.0,0.75,78.86452701616712,98.820477513524,97.66955607541935,78.97714452119114,98.11320754716981,93.75,93.58643990565379,2
Other Precious Metals & Mining,Basic Materials,Other Precious Metals & Mining,14,0.17410055898086332,0.45202245770591326,74.66305375088548,0.16984217968421586,1.0,0.9285714285714286,71.82022589299606,87.9416765414286,100.0,72.225036423599,96.22641509433963,89.375,91.67291245453433,3
Financial Conglomerates,Financial Services,Financial Conglomerates,8,0.47872380301818535,0.4476974839337823,40.85852470627454,0.46959955019369426,0.75,0.625,100.0,87.53442885801489,86.92620735194204,100.0,95.59748427672956,99.375,90.56930542537229,4
CLUSTER_3_2,FALLBACK_CLUSTER,CLUSTER_3_2,104,0.21590462416308015,0.8328730629358376,52.578327173606766,0.20393942834338277,0.7980769230769231,0.38461538461538464,78.91215528704343,100.0,96.9612853893152,78.00424736141295,100.0,94.375,90.28917652476571,5
Uranium,Energy,Uranium,10,0.3734975592558839,0.20925422758822404,53.94018496192963,0.3656577544230443,1.0,0.4,100.0,65.08216234993246,98.12737579226508,100.0,88.0503144654088,98.75,89.95877000979847,6
Technology,Technology,Technology,1,0.5390333748778438,0.7806450673453,,0.5365120513533395,1.0,1.0,100.0,100.0,50.0,100.0,99.37106918238993,100.0,89.84276729559748,7
Copper,Basic Materials,Copper,7,0.19547047771246076,0.4228543899271378,55.062762524772786,0.1892905708000415,0.8571428571428571,0.7142857142857143,75.44556601579086,85.19515629450748,99.08858255983098,75.5213831694308,94.33962264150944,90.625,88.97557984702007,8
Gold,Basic Materials,Gold,57,0.1941241761001375,0.36655367333387867,54.47827378992642,0.18783665394599697,0.8421052631578947,0.6842105263157895,75.21717014242134,79.89377468732151,98.58811422152085,75.27495589110238,93.08176100628931,90.0,87.60212134912975,9
Semiconductor Equipment & Materials,Technology,Semiconductor Equipment & Materials,30,0.20846387059446403,0.4345877110501173,40.53264397177667,0.20202129704448077,0.8333333333333334,0.6,77.64985462998726,86.29998792999004,86.64717205158796,77.67913944746994,94.9685534591195,91.875,86.46363309592789,10
Coking Coal,Basic Materials,Coking Coal,6,0.25692386629113767,0.24414566915579194,40.46926808873621,0.25229194374398367,1.0,0.3333333333333333,85.87094189551104,68.36760626196707,86.59290646701253,86.19961199822633,91.19496855345912,96.875,86.03264200895731,11
Oil & Gas Drilling,Energy,Oil & Gas Drilling,9,0.266661640103411,0.25542581598787767,14.945558112914,0.2578244521713178,1.0,0.5555555555555556,87.52292487924306,69.42976615193791,64.7382359531878,87.13732792763759,91.82389937106919,97.5,83.37781515826289,12
Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,51,0.2132750137491191,0.26982684984625993,38.511482121774314,0.204668566867376,0.7647058823529411,0.27450980392156865,78.4660500743476,70.78579464750473,84.91655270476274,78.12783050957731,92.45283018867924,93.125,81.93336290716223,13
Aerospace & Defense,Industrials,Aerospace & Defense,83,0.22923928047333858,0.22648356682236964,19.504099146893143,0.22067860593504557,0.7228915662650602,0.46987951807228917,81.17433817844487,66.70450941133387,68.6414856146099,80.84140408319846,90.56603773584906,95.625,79.13847147779641,14
CLUSTER_3_1,FALLBACK_CLUSTER,CLUSTER_3_1,388,0.08135849837328188,0.16256738126625322,13.67410117187848,0.0726964664311834,0.9742268041237113,0.884020618556701,56.08682430105666,60.68604089064631,63.649551253934874,55.7596149989667,84.27672955974843,79.375,74.34934150896784,15
Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,40,0.20693840634623936,0.6450019037905926,0.7906548698891409,0.19650680447703578,0.275,0.125,77.3910643737192,100.0,52.61810346365491,76.74447706221899,98.74213836477988,91.25,73.88031493998383,16
Tools & Accessories,Industrials,Tools & Accessories,10,0.08105052117122094,0.18772222255580054,6.44303447030466,0.07472865027974702,0.9,0.7,56.03457692840349,63.054668165988225,57.45795213389769,56.104053907884655,86.79245283018868,78.75,72.21285699018605,17
Leisure,Consumer Cyclical,Leisure,31,0.08749473012801623,0.49099309244997685,0.12081378790023128,0.07968763726360514,0.6129032258064516,0.22580645161290322,57.127816897360404,91.61122497266967,52.044552198679774,56.944562539653255,96.85534591194968,80.625,71.70485646572344,18
Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services,51,0.12454608979944667,0.15765320638678343,5.791930931649418,0.1193302017342617,0.8431372549019608,0.3333333333333333,63.41346461123436,60.223312920259595,56.90044488588496,63.6636601560593,83.64779874213836,86.875,70.95567886210897,19
Semiconductors,Technology,Semiconductors,68,0.1170466035811735,0.11483697807673823,18.997817092567363,0.1108973369697637,0.7058823529411765,0.3382352941176471,62.14120014317852,56.191656149497895,68.20798172764232,62.234357024558975,77.9874213836478,86.25,69.76629732786698,20
Electronic Components,Technology,Electronic Components,52,0.1666162883193825,0.10260277612805108,16.46756229784792,0.15588457927926122,0.6538461538461539,0.40384615384615385,70.55054269673742,55.03966063125373,66.04145166962957,69.85933478789637,74.21383647798741,88.75,69.71848922875107,21
Apparel Retail,Consumer Cyclical,Apparel Retail,33,0.09628315520134156,0.16839153013370387,13.017029366785346,0.0902207339515789,0.6060606060606061,0.2727272727272727,58.61874582576071,61.23445372713786,63.08693367922346,58.7298381845204,85.53459119496856,83.75,68.90403420540716,22
Engineering & Construction,Industrials,Engineering & Construction,53,0.2128136012524348,0.0889751568041843,0.5419291660188008,0.20767780012411874,0.7358490566037735,0.37735849056603776,78.3877728820757,53.756458306224545,52.40513213967597,78.63787147873703,71.69811320754717,92.5,68.65964951162373,23
