symbol,price,market_cap,adr_percent,perf_1w_pct,perf_1m_pct,volume,avg_volume60
ABCL,4.46999979019165,1265576320,4.921695761024139,-12.524468230935126,19.199994405110687,4700100,6256060.416666667
ABVX,71.7699966430664,5499209728,8.144073420780634,7.941042185194513,824.8710634820172,1465000,1192634.2666666666
ACAD,23.82999992370605,3938028032,3.357109692076437,2.494623327767953,12.193974484452363,1617200,2230575.183333333
ACMR,30.36000061035156,1882725376,6.166006926766371,1.4366866047155202,10.199642290773525,1059300,959412.3666666667
AEHR,16.899999618530273,503770304,8.994085751913527,-22.263110411886412,11.698608662930333,1284600,1306685.0
AGX,244.97999572753903,3072862976,5.588206148000303,3.8446831099288925,18.83580062124699,599000,454186.6666666667
ALAB,136.72999572753906,21620619264,8.301024792938348,11.862874885360908,54.37506627374322,8323700,5019913.333333333
AMD,176.30999755859375,278394372096,5.388236703277606,5.910972707235662,27.281253335656896,71361500,51149973.35
AMLX,8.029999732971191,687723648,5.603982867115634,-1.4723913027706592,22.222214964427,1158800,1489994.5333333334
AMPX,6.929999828338623,766672576,7.215007393728443,-15.48780500569704,58.21917002902175,6322500,6706835.733333333
ASPI,9.06999969482422,816250240,8.599776838099531,-13.371542850990604,29.01848398481748,3683100,4355635.316666666
ASPN,7.659999847412109,624525440,7.180153065975838,-1.4157031375087281,20.820183959860252,2128000,2094850.5333333334
ASTS,53.16999816894531,18247686144,4.777131846904721,-2.14410773011362,16.32027835022811,6591100,13831560.0
ATAI,4.099999904632568,884640512,15.48780500569704,14.845937851554702,49.09090562300249,15860800,4927455.8
ATRO,36.119998931884766,1221701248,4.457366162683747,4.725999345009102,11.035967683074976,478500,588795.35
AUPH,9.244999885559082,1380798720,10.600319679474667,3.527430790799957,23.43124389947635,5919800,1657705.0
AVDL,10.510000228881836,1073657472,3.044725418931605,-4.714410849303629,19.29625117247269,708800,1389015.0
AXGN,13.09000015258789,577042496,6.875474469359283,-2.094238858398334,18.354427269014018,1559300,946875.0
BBIO,47.27000045776367,8994662400,5.30991812402437,2.0950350684384,10.366561841913535,2820500,2856656.6666666665
BCYC,8.520000457763672,553338688,3.990600711808144,-2.068958108594132,14.516134304260952,249100,305883.86666666664
BE,37.38999938964844,8592406528,6.097883970354119,8.881768268806178,65.73581682080317,18419600,7195900.0
BKD,7.75,1783388288,3.096771240234375,3.1957358695566596,12.645346963483007,2623000,2922618.3333333335
BMBL,7.78000020980835,1134712576,5.462721111008484,-5.352798575753582,17.345400837363446,3900900,3110660.0
BTU,16.149999618530273,1953581696,14.551086297075638,-3.293419875942394,10.013619092611403,13362200,4935216.666666667
BURL,272.9599914550781,17234024448,3.007763669434782,-2.3084399708291237,12.663031546293247,829100,1084131.6833333333
CDTX,63.310001373291016,1391197056,5.559937713966642,2.3605544627148367,32.25402712746277,362300,702438.4
CENX,21.18000030517578,1909914496,3.5882918693637307,-7.510914157233028,12.24165004348896,2067900,1636536.6666666667
CG,60.65999984741211,21202294784,3.2640942090618985,-4.397164510606211,11.404956836473357,1836400,2516308.3333333335
CLF,10.520000457763672,4976631808,4.372623746489445,-8.041950667526198,20.091326288772148,20660100,34678040.0
COGT,11.420000076293944,1589296768,3.721542801186966,-5.385249668307823,54.11606358240748,2703700,2887386.6666666665
COHR,107.5999984741211,15977779200,4.442378110671189,7.449569732315986,21.774556055758467,3411200,2988213.3333333335
COUR,12.640000343322754,1992228992,7.35758960633848,2.182703801629571,49.585806256035944,5611000,2581268.3333333335
CRDO,111.5500030517578,18461812736,7.234423553605704,10.205494671483773,24.81817122471113,5493900,5274483.333333333
CTOS,6.190000057220459,1395609600,11.567044805976193,3.8590606980095865,23.800001144409187,2081900,638547.6666666666
CVLT,189.9499969482422,7990741504,3.406160213030196,15.576507389115912,11.414153808481387,657100,505986.25
CX,8.699999809265137,12669466624,4.482762665206266,3.448275471042539,21.338908182578752,16040700,13419550.0
DNTH,20.670000076293945,662174400,8.466376359654898,-3.86046476142351,12.459200326926624,218500,313266.6666666667
DOMO,16.459999084472656,648187456,4.25273877201968,3.13282609730956,13.204945857337801,519800,718986.6666666666
DQ,21.76000022888184,1386061952,8.180150128320893,-6.529211395752288,22.868443556047644,1649200,1144025.0
EME,627.489990234375,27962914816,8.223244581450698,-1.1920145109628466,15.815799994840507,731400,432233.3333333333
ENVX,13.399999618530272,2104603008,4.179107728050225,-8.781483993884287,20.503594931975645,7647200,6671843.333333333
EOSE,5.699999809265137,1431795584,20.000006692451567,-10.518054761866624,16.326524455663627,24919300,15872882.216666667
ETSY,58.27000045776367,5824612352,9.610438038141867,-6.708291207373074,10.02643781171788,9793800,5798111.55
EVLV,6.554999828338623,1106973056,6.84973140355039,-3.8856354347891253,13.212433014261471,2649000,3402906.816666667
EXPI,10.779999732971191,1481125504,3.5714219364030146,-3.1881498752900583,13.235285867869639,1623000,1186431.6666666667
FDP,37.59000015258789,1788984064,4.788505532731756,5.5009795838222075,13.086637347973017,536300,373904.05
FN,323.7300109863281,11293837312,3.438042191801742,4.8042978517064405,12.083241365705799,946200,576928.3333333334
FUTU,153.67999267578125,19724431360,5.055963458335998,-6.0693159938427605,27.726058066464642,2844500,2354053.3333333335
FWRD,30.38999938964844,888053248,5.133272144198811,-5.356590432915254,15.463524855680678,408200,575649.6
GCL,4.010000228881836,506253120,14.463831725246672,-1.7156788267935763,15.895959094538624,275500,493728.3333333333
GDS,36.06999969482422,6780223488,3.118935429770545,-1.9303945297364011,16.977463161293606,2571600,2042110.0166666666
GENI,11.25,2766711808,4.391114976671007,5.733079295059018,15.503082796361145,6072000,5147470.0
GEV,660.2899780273438,178715049984,3.213735087502153,2.4356490975302236,30.732367484154487,3338000,3090924.3333333335
GNK,15.93000030517578,679619264,3.0759618041769623,-1.484228633183604,15.434783224647841,736000,742565.0
GPRE,8.270000457763672,515348064,3.748481847438871,-0.3614425576119795,26.646251026788104,796000,1670688.3333333333
HALO,59.970001220703125,7272503296,3.151574705981435,2.970466161363383,11.385588875821329,2496000,2635621.6666666665
