청산일시,종목명,포지션,매수가,청산가,수익률,청산사유
2025-06-09 00:41:28,SBET,BUY,57.42,41.47999954223633,-27.76%,기본 5% 손절매
2025-06-10 18:40:47,QUBT,BUY,12.649999618530272,14.34000015258789,13.36%,기본 10% 익절
2025-06-10 18:40:48,KDLY,BUY,17.149999618530273,13.350000381469728,-22.16%,기본 5% 손절매
2025-06-10 18:40:48,NAKA,BUY,17.149999618530273,13.350000381469728,-22.16%,기본 5% 손절매
2025-06-10 18:40:49,SBET,BUY,58.959999084472656,29.43000030517578,-50.08%,기본 5% 손절매
2025-06-10 18:40:50,ASST,BUY,7.639999866485596,5.460000038146973,-28.53%,기본 5% 손절매
2025-06-10 18:40:50,OKLO,BUY,48.27999877929688,54.2599983215332,12.39%,기본 10% 익절
2025-06-12 21:37:55,SBET,BUY,27.37,37.06999969482422,35.44%,기본 10% 익절
2025-06-12 21:37:56,ASST,BUY,5.08,6.599999904632568,29.92%,기본 10% 익절
2025-06-12 21:37:56,CAPT,BUY,0.94,1.25,32.98%,기본 10% 익절
2025-06-12 21:37:57,HOTH,BUY,1.11,1.3200000524520874,18.92%,기본 10% 익절
2025-06-12 21:37:57,NAKA,BUY,12.42,18.34000015258789,47.67%,기본 10% 익절
2025-06-12 21:37:57,IMNN,BUY,1.24,1.659999966621399,33.87%,기본 10% 익절
2025-06-12 21:37:58,LYRA,BUY,17.13,13.5,-21.19%,기본 5% 손절매
2025-06-12 21:37:58,TOI,BUY,2.42,2.859999895095825,18.18%,기본 10% 익절
2025-06-12 21:37:59,ELF,BUY,113.01,124.5199966430664,10.18%,기본 10% 익절
2025-06-12 21:38:00,LYRA,BUY,17.86,13.5,-24.41%,기본 5% 손절매
2025-06-12 21:38:04,KDLY,SELL,26.19,18.34000015258789,29.97%,기본 10% 익절
2025-06-12 21:38:04,UMAC,SELL,9.64,7.980000019073486,17.22%,기본 10% 익절
2025-06-12 21:38:04,LVWR,SELL,6.28,7.110000133514404,-13.22%,기본 5% 손절매
2025-06-12 21:38:07,CRWV,SELL,170.21,149.6999969482422,12.05%,기본 10% 익절
