signal_date,intended_action_date,symbol,market,engine,family,family_cycle_id,signal_kind,signal_code,display_label,action_type,conviction_grade,screen_stage,signal_score,gp_score,gp_health,sigma_score,sigma_health,traffic_light,technical_light,growth_score,growth_health,eps_health,sales_health,growth_data_status,dashboard_score,dashboard_light,dashboard_position_bias,primary_source_tag,primary_source_stage,primary_source_style,source_priority_score,source_style_tags,trend_source_bonus,ug_source_bonus,source_fit_score,source_fit_label,cooldown_bucket,cooldown_blocked,support_zone_low,support_zone_high,stop_level,break_even_level,tp1_level,tp2_level,trailing_mode,tp_plan,trim_count,risk_free_armed,protected_stop_level,add_on_count,add_on_slot,max_add_ons,tranche_pct,next_addon_allowed,pyramid_state,base_position_units,current_position_units,blended_entry_price,last_trailing_confirmed_level,last_protected_stop_level,last_pyramid_reference_level,strategy_combo,signal_phase,reference_target_level,reference_exit_signal,contract_version,cycle_effect,position_units_before,position_units_after,position_delta_units,indicator_dog_rule_ids,source_tags,reason_codes,quality_flags,scope,is_screened,buy_eligible,source_buy_eligible,ema_alignment_state,ema_alignment_transition,market_condition_state,market_condition_reason,pullback_quality,pullback_context,industry_key,group_state,leader_state,breakdown_status,group_strength_score,leader_score,breakdown_score,buy_warning_summary,aux_signal_summary,conviction_reason,sizing_entry_price,sizing_stop_price,sizing_stop_distance_pct,sizing_risk_budget_pct,sizing_position_cap_pct,sizing_raw_position_pct,sizing_recommended_position_pct,sizing_tier,sizing_reason,sizing_status
2026-04-17,2026-04-20,001790,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,C,,40.0,40.0,GREEN,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,43.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,2957.6651,3024.8349,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_40', 'GP_NH60', 'GP_W', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']",['BREAKOUT_FAKEOUT_RISK'],all,False,True,False,BULLISH,BULLISH_HOLD,UNKNOWN,,LOW,PRIOR_EXPANSION EMA_RISING,Confectioners,,,,,,,,NH60 W SQUEEZE,,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,004780,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,40.0,40.0,GREEN,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,43.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,3849.2634,3928.2366,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_40', 'GP_NH60', 'GP_W', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['LIQUIDITY_FAIL', 'NO_PRIOR_EXPANSION', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,BULLISH,BULLISH_HOLD,UNKNOWN,,LOW,EMA_RISING REVERSAL_CONFIRMED,Packaging & Containers,,,,,,,LIQUIDITY_FAIL,NH60 W SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,005750,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_PULLBACK,UG Combo Pullback | UG_COMBO_PULLBACK,STATE,D,,15.0,0.0,RED,15.0,GREEN,RED,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,25.5,RED,AVOID,,,,0.0,[],0.0,0.0,0.0,NONE,,False,5598.7048,5894.2952,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_PULLBACK,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_PBB'],[],"['GP_ABOVE_200MA', 'SIGMA_PBB', 'PULLBACK_STRATEGY', 'VALIDATION_15', 'UG_GROWTH_DATA_MISSING', 'UG_DASHBOARD_SCORE_UNDER30', 'SOURCE_FIT_NONE']","['LIQUIDITY_FAIL', 'CHANNEL_8_ACTIVE']",all,False,True,False,BULLISH,BULLISH_HOLD,UNKNOWN,,HIGH,PRIOR_EXPANSION EMA_ZONE_TOUCH DRY_PULLBACK EMA_RISING REVERSAL_CONFIRMED,Building Products & Equipment,,,,,,,LIQUIDITY_FAIL CHANNEL_8_ACTIVE,W PBB,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,011040,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,30.0,30.0,ORANGE,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,36.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,5423.715,5533.285,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_30', 'GP_VOL2X', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['BELOW_200MA', 'LIQUIDITY_FAIL', 'NO_PRIOR_EXPANSION', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,MIXED,MIXED_FROM_BEARISH,UNKNOWN,,LOW,EMA_RISING REVERSAL_CONFIRMED,,,,,,,,BELOW_200MA MIXED_ALIGNMENT LIQUIDITY_FAIL,W SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,014570,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,30.0,30.0,ORANGE,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,36.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,3959.4682,4040.0318,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_30', 'GP_VOL2X', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['BELOW_200MA', 'LIQUIDITY_FAIL', 'NO_PRIOR_EXPANSION', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,BULLISH,BULLISH_FROM_MIXED,UNKNOWN,,MEDIUM,EMA_ZONE_TOUCH EMA_RISING REVERSAL_CONFIRMED,Drug Manufacturers - General,,,,,,,BELOW_200MA LIQUIDITY_FAIL,SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,016090,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,40.0,40.0,GREEN,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,43.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,1698.9885,1733.3115,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_40', 'GP_NH60', 'GP_W', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['LIQUIDITY_FAIL', 'NO_PRIOR_EXPANSION', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,BULLISH,BULLISH_HOLD,UNKNOWN,,LOW,EMA_RISING REVERSAL_CONFIRMED,Apparel Manufacturing,,,,,,,LIQUIDITY_FAIL,NH60 W SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,032280,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,30.0,30.0,ORANGE,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,36.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,1391.0985,1419.2015,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_30', 'GP_VOL2X', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['LIQUIDITY_FAIL', 'NO_PRIOR_EXPANSION', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,MIXED,MIXED_HOLD,UNKNOWN,,MEDIUM,EMA_ZONE_TOUCH EMA_RISING REVERSAL_CONFIRMED,Trucking,,,,,,,MIXED_ALIGNMENT LIQUIDITY_FAIL,W SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,033270,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,40.0,40.0,GREEN,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,43.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,20064.3938,20569.6062,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_40', 'GP_NH60', 'GP_W', 'SIGMA_MR_SHORT', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['LIQUIDITY_FAIL', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,BULLISH,BULLISH_HOLD,UNKNOWN,,LOW,PRIOR_EXPANSION EMA_RISING,Drug Manufacturers - Specialty & Generic,,,,,,,LIQUIDITY_FAIL,NH60 W SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,053620,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,40.0,40.0,GREEN,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,43.0,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,7024.545,7166.455,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_40', 'GP_NH60', 'GP_W', 'SIGMA_MR_SHORT', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['LIQUIDITY_FAIL', 'NO_PRIOR_EXPANSION', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,BULLISH,BULLISH_HOLD,UNKNOWN,,LOW,EMA_RISING,Specialty Chemicals,,,,,,,LIQUIDITY_FAIL,NH60 W SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
2026-04-17,2026-04-20,060380,KR,UG,UG_STRATEGY,,STATE,UG_COMBO_SQUEEZE,UG Combo Squeeze | UG_COMBO_SQUEEZE,STATE,D,,45.0,45.0,GREEN,0.0,ORANGE,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,46.5,ORANGE,WATCH,,,,0.0,[],0.0,0.0,0.0,NONE,,False,1396.9159,1430.0841,,,,,,,,,,,,,,,,,,,,,,UG_COMBO_SQUEEZE,STATE,,,v2,STATE,,,,['IDOG.UG.SIGMA_SQUEEZE'],[],"['ORANGE', 'SIGMA_SQUEEZE_READY', 'SQUEEZE_STRATEGY', 'VALIDATION_45', 'GP_NH60', 'GP_VOL2X', 'UG_GROWTH_DATA_MISSING', 'SOURCE_FIT_NONE']","['LIQUIDITY_FAIL', 'BREAKOUT_FAKEOUT_RISK']",all,False,True,False,BULLISH,BULLISH_FROM_MIXED,UNKNOWN,,MEDIUM,PRIOR_EXPANSION EMA_RISING REVERSAL_CONFIRMED,,,,,,,,LIQUIDITY_FAIL,NH60 W SQUEEZE,LIQUIDITY_FAIL,,,,,,,,,NON_BUY,NON_BUY
