family_cycle_id,scope,engine,family,symbol,opened_on,last_signal_date,buy_signal_code,screen_stage,entry_price,break_even_level,support_zone_low,support_zone_high,stop_level,trailing_level,trailing_mode,tp1_level,tp2_level,tp_plan,tp1_hit,tp2_hit,trim_count,last_trim_date,partial_exit_active,risk_free_armed,add_on_count,add_on_slot,max_add_ons,tranche_pct,next_addon_allowed,last_addon_date,pyramid_state,protected_stop_level,base_position_units,current_position_units,blended_entry_price,last_trailing_confirmed_level,last_protected_stop_level,last_pyramid_reference_level,source_tags,primary_source_style,source_fit_score,source_fit_label,addon_block_reason,trailing_ratcheted,blended_entry_protected,addon_reason_codes,addon_next_slot,addon_tranche_pct,contract_version,reference_exit_signal
TREND:TF_MOMENTUM:036170:2026-04-17,all,TREND,TF_MOMENTUM,036170,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,7700.0,7700.0,3505.0,6196.0363,3505.0,6010.239179856632,MOMENTUM_RATCHET,13992.5,18187.5,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,6010.239179856632,1.0,1.0,7700.0,6010.239179856632,6010.239179856632,6010.239179856632,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:040160:2026-04-17,all,TREND,TF_MOMENTUM,040160,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,17000.0,17000.0,9460.0,12825.2715,9460.0,14362.857142857143,MOMENTUM_SWING_ATR_CHANDELIER,32080.0,39620.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,14362.857142857143,1.0,1.0,17000.0,14362.857142857143,14362.857142857143,14362.857142857143,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING_ATR_CHANDELIER']",1.0,0.5,v2,
TREND:TF_MOMENTUM:041960:2026-04-17,all,TREND,TF_MOMENTUM,041960,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,10310.0,10310.0,7630.0,8861.6551,7630.0,9009.285714285714,MOMENTUM_SWING_ATR_CHANDELIER,15670.0,18350.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,9009.285714285714,1.0,1.0,10310.0,9009.285714285714,9009.285714285714,9009.285714285714,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING_ATR_CHANDELIER']",1.0,0.5,v2,
TREND:TF_MOMENTUM:046940:2026-04-17,all,TREND,TF_MOMENTUM,046940,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,5410.0,5410.0,4105.0,4861.1015,4105.0,4861.101539158122,MOMENTUM_SWING,8020.0,9325.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,4861.101539158122,1.0,1.0,5410.0,4861.101539158122,4861.101539158122,4861.101539158122,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING']",1.0,0.5,v2,
TREND:TF_MOMENTUM:048770:2026-04-17,all,TREND,TF_MOMENTUM,048770,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,3830.0,3830.0,2810.0,3286.8706,2810.0,3319.642857142857,MOMENTUM_SWING_ATR_CHANDELIER,5870.0,6890.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,3319.642857142857,1.0,1.0,3830.0,3319.642857142857,3319.642857142857,3319.642857142857,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING_ATR_CHANDELIER']",1.0,0.5,v2,
TREND:TF_MOMENTUM:052420:2026-04-17,all,TREND,TF_MOMENTUM,052420,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,1539.0,1539.0,1282.0,1440.8098,1282.0,1440.8097676249304,MOMENTUM_SWING,2053.0,2310.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,1440.8097676249304,1.0,1.0,1539.0,1440.8097676249304,1440.8097676249304,1440.8097676249304,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING']",1.0,0.5,v2,
TREND:TF_MOMENTUM:052860:2026-04-17,all,TREND,TF_MOMENTUM,052860,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,5970.0,5970.0,3755.0,4990.0471,3755.0,4905.088239978419,MOMENTUM_RATCHET,9292.5,11507.5,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,4905.088239978419,1.0,1.0,5970.0,4905.088239978419,4905.088239978419,4905.088239978419,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:064290:2026-04-17,all,TREND,TF_MOMENTUM,064290,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,27750.0,27750.0,16090.0,24729.7016,16090.0,24156.09079355566,MOMENTUM_RATCHET,45240.0,56900.0,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,24156.09079355566,1.0,1.0,27750.0,24156.09079355566,24156.09079355566,24156.09079355566,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:064820:2026-04-17,all,TREND,TF_MOMENTUM,064820,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,12100.0,12100.0,9750.0,11049.8451,9750.0,11049.845125202544,MOMENTUM_SWING,16800.0,19150.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,11049.845125202544,1.0,1.0,12100.0,11049.845125202544,11049.845125202544,11049.845125202544,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING']",1.0,0.5,v2,
TREND:TF_MOMENTUM:067170:2026-04-17,all,TREND,TF_MOMENTUM,067170,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,2695.0,2695.0,1759.0,2257.2952,1759.0,2257.295170295571,MOMENTUM_SWING,4567.0,5503.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,2257.295170295571,1.0,1.0,2695.0,2257.295170295571,2257.295170295571,2257.295170295571,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING']",1.0,0.5,v2,
