screen_date,scope,symbol,market,screen_stage,buy_eligible,source_buy_eligible,is_screened,source_tags,addon_ready,addon_block_reason,trailing_ratcheted,blended_entry_protected
2026-04-22,all,A,US,,True,False,False,[],False,,,
2026-04-22,all,AA,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,AAA,US,,True,False,False,[],False,,,
2026-04-22,all,AAAA,US,,True,False,False,[],False,,,
2026-04-22,all,AAAU,US,,True,False,False,[],False,,,
2026-04-22,all,AACB,US,,True,False,False,[],False,,,
2026-04-22,all,AACBR,US,,True,False,False,[],False,,,
2026-04-22,all,AACBU,US,,True,False,False,[],False,,,
2026-04-22,all,AACG,US,,True,False,False,[],False,,,
2026-04-22,all,AACI,US,,True,False,False,[],False,,,
2026-04-22,all,AACIU,US,,True,False,False,[],False,,,
2026-04-22,all,AACIW,US,,True,False,False,[],False,,,
2026-04-22,all,AACO,US,,True,False,False,[],False,,,
2026-04-22,all,AADR,US,,True,False,False,[],False,,,
2026-04-22,all,AAL,US,,True,False,False,[],False,,,
2026-04-22,all,AALG,US,,True,False,False,[],False,,,
2026-04-22,all,AAME,US,,True,False,False,[],False,,,
2026-04-22,all,AAMI,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,AAOI,US,TV_HIGH_VOLATILITY,True,True,True,"['TV_HIGH_VOLATILITY', 'MM_INTEGRATED']",False,,,
2026-04-22,all,AAON,US,,True,False,False,[],False,,,
2026-04-22,all,AAOX,US,,True,False,False,[],False,,,
2026-04-22,all,AAP,US,,True,False,False,[],False,,,
2026-04-22,all,AAPB,US,,True,False,False,[],False,,,
2026-04-22,all,AAPD,US,,True,False,False,[],False,,,
2026-04-22,all,AAPG,US,,True,False,False,[],False,,,
2026-04-22,all,AAPL,US,,True,False,False,[],False,,,
2026-04-22,all,AAPR,US,,True,False,False,[],False,,,
2026-04-22,all,AAPU,US,,True,False,False,[],False,,,
2026-04-22,all,AAPW,US,,True,False,False,[],False,,,
2026-04-22,all,AAPX,US,,True,False,False,[],False,,,
2026-04-22,all,AAPY,US,,True,False,False,[],False,,,
2026-04-22,all,AARD,US,,True,False,False,[],False,,,
2026-04-22,all,AAT,US,,True,False,False,[],False,,,
2026-04-22,all,AAUA,US,,True,False,False,[],False,,,
2026-04-22,all,AAUC,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,AAVM,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,AAXJ,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,AB,US,,True,False,False,[],False,,,
2026-04-22,all,ABAT,US,,True,False,False,[],False,,,
2026-04-22,all,ABBV,US,,True,False,False,[],False,,,
2026-04-22,all,ABCB,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,ABCL,US,,True,False,False,[],False,,,
2026-04-22,all,ABCS,US,,True,False,False,[],False,,,
2026-04-22,all,ABEO,US,,True,False,False,[],False,,,
2026-04-22,all,ABEQ,US,,True,False,False,[],False,,,
2026-04-22,all,ABEV,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,ABFL,US,INTEGRATED,True,True,True,['MM_INTEGRATED'],False,,,
2026-04-22,all,ABG,US,,True,False,False,[],False,,,
2026-04-22,all,ABHY,US,,True,False,False,[],False,,,
