as_of_ts,scope,symbol,market,screen_stage,source_disposition,buy_eligible,source_buy_eligible,watch_only,is_screened,peg_ready,open_cycle,source_count,source_tags,primary_source_tag,primary_source_stage,primary_source_style,source_style_tags,source_overlap_bonus,source_priority_score,trend_source_bonus,ug_source_bonus,sector,industry,group_name,industry_key,group_state,leader_state,breakdown_status,group_strength_score,leader_score,breakdown_score,ug_signal_score,gp_score,gp_health,sigma_score,sigma_health,technical_light,growth_score,growth_health,eps_health,sales_health,growth_data_status,dashboard_score,dashboard_light,dashboard_position_bias,registry_as_of_ts,ema_alignment_state,ema_alignment_transition,market_condition_state,market_condition_reason,pullback_quality,pullback_context,buy_warning_summary,aux_signal_summary,conviction_reason
2026-04-22,all,AA,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,Basic Materials,Aluminum,Aluminum,Aluminum,,,,,,,0.0,0.0,RED,0.0,ORANGE,RED,75.0,GREEN,GREEN,GREEN,COMPLETE,22.5,RED,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,LOW,PRIOR_EXPANSION EMA_ZONE_TOUCH REVERSAL_CONFIRMED,EMA_TURN_DOWN CHANNEL_8_ACTIVE,W,EMA_TURN_DOWN
2026-04-22,all,AAMI,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,Financial Services,Asset Management,Asset Management,Asset Management,,,,,,,25.0,25.0,ORANGE,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,32.5,ORANGE,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,LOW,PRIOR_EXPANSION EMA_RISING,,SETUP W,
2026-04-22,all,AAOI,US,TV_HIGH_VOLATILITY,buy_eligible,True,True,False,True,False,False,2,"['TV_HIGH_VOLATILITY', 'MM_INTEGRATED']",TV_HIGH_VOLATILITY,TV_HIGH_VOLATILITY,VOLATILITY,"['VOLATILITY', 'LEADERSHIP']",5.0,9.3,2.0,3.5,Technology,Communication Equipment,Communication Equipment,Communication Equipment,,,,,,,0.0,0.0,RED,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,15.0,RED,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,MEDIUM,PRIOR_EXPANSION EMA_ZONE_TOUCH EMA_RISING,CHANNEL_8_ACTIVE,,
2026-04-22,all,AAUC,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,Basic Materials,Gold,Gold,Gold,,,,,,,0.0,0.0,RED,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,15.0,RED,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,LOW,EMA_ZONE_TOUCH EMA_RISING,,SETUP BUILDUP SQUEEZE,
2026-04-22,all,AAVM,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,,,,,,,,,,,0.0,0.0,RED,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,15.0,RED,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,LOW,EMA_RISING,LIQUIDITY_FAIL CHANNEL_8_ACTIVE,SETUP W,LIQUIDITY_FAIL
2026-04-22,all,AAXJ,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,,,,,,,,,,,25.0,25.0,ORANGE,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,32.5,ORANGE,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,LOW,EMA_RISING REVERSAL_CONFIRMED,CHANNEL_8_ACTIVE,SETUP W,
2026-04-22,all,ABCB,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,Financial Services,Banks - Regional,Banks - Regional,Banks - Regional,,,,,,,0.0,0.0,RED,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,15.0,RED,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,NONE,,CHANNEL_8_ACTIVE,W,
2026-04-22,all,ABEV,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,Consumer Defensive,Beverages - Brewers,Beverages - Brewers,Beverages - Brewers,,,,,,,0.0,0.0,RED,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,15.0,RED,AVOID,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,LOW,PRIOR_EXPANSION EMA_ZONE_TOUCH EMA_RISING,EMA_TURN_DOWN,,EMA_TURN_DOWN
2026-04-22,all,ABFL,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,,,,,,,,,,,40.0,40.0,GREEN,0.0,ORANGE,ORANGE,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,43.0,ORANGE,WATCH,2026-04-22,BULLISH,BULLISH_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,MEDIUM,DRY_PULLBACK EMA_RISING REVERSAL_CONFIRMED,LIQUIDITY_FAIL,SETUP NH60 W DRY_PULLBACK,LIQUIDITY_FAIL
2026-04-22,all,ABLLL,US,INTEGRATED,buy_eligible,True,True,False,True,False,False,1,['MM_INTEGRATED'],MM_INTEGRATED,INTEGRATED,LEADERSHIP,['LEADERSHIP'],0.0,3.8,1.5,2.5,,,,,,,,,,,0.0,0.0,RED,0.0,ORANGE,RED,,UNKNOWN,UNKNOWN,UNKNOWN,MISSING,15.0,RED,AVOID,2026-04-22,MIXED,MIXED_HOLD,RISK_ON,CORE_RISK_ON|TOP_RISK_ON|MARKET_UPTREND|BREADTH_BENCHMARK_ONLY|LEADERSHIP_LOCAL_SCREENERS,LOW,EMA_ZONE_TOUCH,MIXED_ALIGNMENT LIQUIDITY_FAIL,SQUEEZE,LIQUIDITY_FAIL
