symbol,label,leader_tier,entry_suitability,leader_score,leader_sort_score,leader_confidence_score,confidence_bucket,low_confidence_reason_codes,reject_reason_codes,extended_reason_codes,threshold_proximity_codes,threshold_margin_min,rs_rank_true_threshold_distance,structure_threshold_distance,extension_threshold_distance,rs_rank_true,rs_proxy_confidence,hidden_rs_confidence,structure_confidence,liquidity_quality_score,bars,group_strength_score,trend_integrity_score,structure_readiness_score,extension_risk_score
000050,reject,reject,avoid,46.88,1.88,89.53,high,,"group_fail,near_high_fail",,,15.0,15.0,34.260000000000005,-75.0,100.0,100.0,100.0,90.0,60.15,330,0.0,100.0,79.26,0.0
000040,reject,reject,avoid,36.93,0.0,81.14,high,low_liquidity,"liquidity_fail,rs_fail,group_fail,near_high_fail",,,7.5,-10.0,7.5,-44.230000000000004,75.0,100.0,100.0,76.67,34.87,330,0.0,50.2,52.5,30.77
000020,reject,reject,avoid,30.4,0.0,86.42,high,,"trend_fail,rs_fail,group_fail,near_high_fail",,,21.3,-35.0,21.299999999999997,-75.0,50.0,100.0,100.0,90.0,44.58,330,0.0,20.0,66.3,0.0
000070,reject,reject,avoid,29.6,0.0,89.58,high,,"trend_fail,rs_fail,group_fail,near_high_fail",,,38.32,-60.0,38.31999999999999,-75.0,25.0,100.0,100.0,90.0,60.4,330,0.0,20.0,83.32,0.0
