symbol,setup_type,passed,current_price,volume_ratio,adr,vcp_pattern,breakout_level,stop_loss,risk_reward_ratio,score
ZEPP,Breakout,True,39.18000030517578,1.564880942235252,14.3334386048597,False,44.8086003112793,36.0,1.2320753630559813,5
WULF,Breakout,True,8.779999732971191,1.6909450588613952,8.763237569543746,False,10.924200038909913,8.680000305175781,8.780049972820137,5
TE,Breakout,True,8.279999732971191,1.8357846345976325,11.334461158601929,False,9.261599922180178,7.800000190734863,1.7250015894587105,5
STOK,Breakout,True,18.489999771118164,1.5269202682068646,6.48535821565501,False,19.22700038909912,18.049999237060547,4.202267574679111,5
SLVR,Breakout,True,71.62999725341797,1.551559115409803,4.133060732410681,False,73.44,70.0,4.394485763900271,5
RBLX,Breakout,True,137.7899932861328,2.80101647683492,4.274074258201783,False,153.60179626464844,135.64999389648438,6.438786569409684,5
RAPT,Breakout,True,57.56999969482422,16.415648248595122,6.225217094713892,False,58.762200622558595,57.459999084472656,52.33607296435018,5
NGD,Breakout,True,11.199999809265137,1.5686273347537738,5.731163317994578,False,11.832000389099123,11.010000228881836,5.894749760326064,5
MU,Breakout,True,365.0,1.5689291788455124,4.48335524891195,False,389.19119750976563,361.3500061035156,10.000016721988594,5
FLYE,Breakout,True,5.980000019073486,1.6968485418626529,11.025612936057971,False,6.474960050582886,5.809999942779541,3.5176454913664474,5
CTMX,Breakout,True,5.369999885559082,1.522153265730419,7.619811215775506,False,5.81399980545044,5.099999904632568,1.98888898700354,5
