종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
SBAC,2025-08-03,시장가,7.0,0.0,15% 수익,15% 손절,없음,True
ES,2025-08-03,시장가,7.0,0.0,15% 수익,15% 손절,없음,True
CMS,2025-08-03,시장가,7.0,0.0,15% 수익,15% 손절,없음,True
APTV,2025-08-03,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
IVZ,2025-08-03,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
PODD,2025-08-03,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
LDOS,2025-08-03,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
ON,2025-08-03,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
NOC,2025-08-03,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
AXON,2025-08-03,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
