종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
EVRG,2025-07-28,시장가,7.0,0.0,15% 수익,15% 손절,없음,True
WDC,2025-07-28,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
SYY,2025-07-28,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
BSX,2025-07-28,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
RMD,2025-07-28,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
JBL,2025-07-28,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
ABNB,2025-07-28,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
DPZ,2025-07-28,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
GEV,2025-07-28,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
NOC,2025-07-28,시장가,9.0,0.0,13% 수익,15% 손절,없음,True
