symbol,added_date,added_timestamp,company_name,skew_index,expected_return,confidence_score,base_confidence,data_source,data_quality_grade,confidence_numeric,quality_description
WRB,2025-08-18 00:00:00+00:00,1755448680.449835,W. R. Berkley Corporation,-2.026346923828121,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
SYF,2025-08-18 00:00:00+00:00,1755448680.449872,Synchrony Financial,-0.7568283691406219,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
ORLY,2025-08-18 00:00:00+00:00,1755448680.449884,"O'Reilly Automotive, Inc.",-0.3662072753906231,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
MTCH,2025-08-18 00:00:00+00:00,1755448680.449893,"Match Group, Inc.",-0.8788974609375,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
PSKY,2025-08-18 00:00:00+00:00,1755448680.4499,Paramount Skydance Corporation,-19.14043359375,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
PEP,2025-08-18 00:00:00+00:00,1755448680.449908,"PepsiCo, Inc.",-1.440415283203128,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
LVS,2025-08-18 00:00:00+00:00,1755448680.449915,Las Vegas Sands Corp.,-6.445248046874996,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
ED,2025-08-18 00:00:00+00:00,1755448680.449922,"Consolidated Edison, Inc.",-1.8066225585937512,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
STT,2025-08-18 00:00:00+00:00,1755448680.44993,State Street Corporation,-1.3427600097656311,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
EXC,2025-08-18 00:00:00+00:00,1755448680.44994,Exelon Corporation,-0.1464829101562509,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
ACGL,2025-08-18 00:00:00+00:00,1755448680.449962,Arch Capital Group Ltd.,-0.5859316406249926,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
LYV,2025-08-18 00:00:00+00:00,1755448680.449969,"Live Nation Entertainment, Inc.",-2.7343476562500024,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
WEC,2025-08-18 00:00:00+00:00,1755448680.449977,"WEC Energy Group, Inc.",-0.7080007324218707,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
NKE,2025-08-18 00:00:00+00:00,1755448680.449986,"NIKE, Inc.",-0.1953105468750049,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
SJM,2025-08-18 00:00:00+00:00,1755448680.449992,The J. M. Smucker Company,-6.701593139648438,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CI,2025-08-18 00:00:00+00:00,1755448680.450001,The Cigna Group,-0.1464829101562426,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
COR,2025-08-18 00:00:00+00:00,1755448680.450008,"Cencora, Inc.",-1.4098980102539072,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
CSGP,2025-08-18 00:00:00+00:00,1755448680.450016,"CoStar Group, Inc.",-0.2685520019531207,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
LEN,2025-08-18 00:00:00+00:00,1755448680.450024,Lennar Corporation,-0.7202076416015557,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
WAB,2025-08-18 00:00:00+00:00,1755448680.450032,Westinghouse Air Brake Technologies Corporation,-0.573724731445302,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
